/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 51 | 배송 32/50 | 재적재 5 | 도착  31 | 2홉+ 0.66 | 도달  898 | 차단 1405
Ep 52 | 배송 36/50 | 재적재 6 | 도착  41 | 2홉+ 0.63 | 도달  773 | 차단 1083
Ep 53 | 배송 25/50 | 재적재 2 | 도착  26 | 2홉+ 0.70 | 도달  854 | 차단 1797
Ep 54 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.65 | 도달  771 | 차단 1688
Ep 55 | 배송 27/50 | 재적재 4 | 도착  31 | 2홉+ 0.69 | 도달  732 | 차단 1343
Ep 56 | 배송 30/50 | 재적재 5 | 도착  33 | 2홉+ 0.59 | 도달  801 | 차단 1127
Ep 57 | 배송 37/50 | 재적재 6 | 도착  42 | 2홉+ 0.63 | 도달  886 | 차단 1162
Ep 58 | 배송 37/50 | 재적재 5 | 도착  38 | 2홉+ 0.59 | 도달  800 | 차단 1770
Ep 59 | 배송 35/50 | 재적재 6 | 도착  40 | 2홉+ 0.60 | 도달  814 | 차단 1087
Ep 60 | 배송 38/50 | 재적재 4 | 도착  41 | 2홉+ 0.65 | 도달  883 | 차단 1625
Ep 61 | 배송 36/50 | 재적재 5 | 도착  41 | 2홉+ 0.66 | 도달  865 | 차단 1060
Ep 62 | 배송 33/50 | 재적재 6 | 도착  38 | 2홉+ 0.61 | 도달  820 | 차단 1248
Ep 63 | 배송 32/50 | 재적재 5 | 도착  36 | 2홉+ 0.57 | 도달  738 | 차단 1023
Ep 64 | 배송 36/50 | 재적재 6 | 도착  40 | 2홉+ 0.65 | 도달  833 | 차단 1220
Ep 65 | 배송 39/50 | 재적재 6 | 도착  43 | 2홉+ 0.63 | 도달  913 | 차단 1032
Ep 66 | 배송 36/50 | 재적재 7 | 도착  41 | 2홉+ 0.55 | 도달  798 | 차단 1503
Ep 67 | 배송 30/50 | 재적재 4 | 도착  32 | 2홉+ 0.62 | 도달  791 | 차단 1305
Ep 68 | 배송 37/50 | 재적재 5 | 도착  39 | 2홉+ 0.61 | 도달  825 | 차단 1264
Ep 69 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.67 | 도달  898 | 차단  663
Ep 70 | 배송 37/50 | 재적재 6 | 도착  42 | 2홉+ 0.57 | 도달  790 | 차단 1058
Ep 71 | 배송 28/50 | 재적재 4 | 도착  31 | 2홉+ 0.65 | 도달  702 | 차단 2469
Ep 72 | 배송 24/50 | 재적재 2 | 도착  24 | 2홉+ 0.60 | 도달  717 | 차단 1961
Ep 73 | 배송 30/50 | 재적재 4 | 도착  32 | 2홉+ 0.69 | 도달  890 | 차단 1726
Ep 74 | 배송 25/50 | 재적재 4 | 도착  29 | 2홉+ 0.51 | 도달  743 | 차단  781
Ep 75 | 배송 38/50 | 재적재 6 | 도착  41 | 2홉+ 0.64 | 도달  826 | 차단 1162
Ep 76 | 배송 30/50 | 재적재 4 | 도착  29 | 2홉+ 0.59 | 도달  697 | 차단 1909
Ep 77 | 배송 36/50 | 재적재 6 | 도착  41 | 2홉+ 0.62 | 도달  766 | 차단  603
Ep 78 | 배송 30/50 | 재적재 4 | 도착  32 | 2홉+ 0.69 | 도달  830 | 차단 1410
Ep 79 | 배송 38/50 | 재적재 5 | 도착  40 | 2홉+ 0.66 | 도달  895 | 차단  925
Ep 80 | 배송 33/50 | 재적재 5 | 도착  37 | 2홉+ 0.67 | 도달  818 | 차단 1613
Ep 81 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.61 | 도달  863 | 차단 1257
Ep 82 | 배송 30/50 | 재적재 5 | 도착  35 | 2홉+ 0.61 | 도달  848 | 차단 1205
Ep 83 | 배송 31/50 | 재적재 4 | 도착  34 | 2홉+ 0.63 | 도달  716 | 차단 1234
Ep 84 | 배송 36/50 | 재적재 6 | 도착  43 | 2홉+ 0.64 | 도달  896 | 차단 1245
Ep 85 | 배송 31/50 | 재적재 4 | 도착  33 | 2홉+ 0.63 | 도달  903 | 차단 1717
Ep 86 | 배송 29/50 | 재적재 5 | 도착  33 | 2홉+ 0.67 | 도달  777 | 차단 1198
Ep 87 | 배송 36/50 | 재적재 6 | 도착  42 | 2홉+ 0.63 | 도달  882 | 차단 1170
Ep 88 | 배송 35/50 | 재적재 6 | 도착  42 | 2홉+ 0.64 | 도달  827 | 차단  835
Ep 89 | 배송 34/50 | 재적재 5 | 도착  38 | 2홉+ 0.68 | 도달 1001 | 차단 1006
Ep 90 | 배송 36/50 | 재적재 6 | 도착  42 | 2홉+ 0.65 | 도달  860 | 차단 1256
Ep 91 | 배송 40/50 | 재적재 7 | 도착  45 | 2홉+ 0.63 | 도달  883 | 차단  877
Ep 92 | 배송 32/50 | 재적재 3 | 도착  34 | 2홉+ 0.67 | 도달  768 | 차단 1616
Ep 93 | 배송 33/50 | 재적재 5 | 도착  38 | 2홉+ 0.64 | 도달  774 | 차단 1223
Ep 94 | 배송 34/50 | 재적재 5 | 도착  39 | 2홉+ 0.66 | 도달  761 | 차단 1502
Ep 95 | 배송 33/50 | 재적재 4 | 도착  35 | 2홉+ 0.56 | 도달  785 | 차단 1135
Ep 96 | 배송 32/50 | 재적재 5 | 도착  36 | 2홉+ 0.60 | 도달  746 | 차단  805
Ep 97 | 배송 35/50 | 재적재 5 | 도착  41 | 2홉+ 0.64 | 도달  914 | 차단 1855
Ep 98 | 배송 28/50 | 재적재 4 | 도착  31 | 2홉+ 0.55 | 도달  692 | 차단 1542
Ep 99 | 배송 25/50 | 재적재 3 | 도착  27 | 2홉+ 0.51 | 도달  602 | 차단 2146
Ep 100 | 배송 37/50 | 재적재 5 | 도착  37 | 2홉+ 0.64 | 도달  876 | 차단 1145
  [홀드아웃] 배송 16.7±13.9 재적재 1.8 2홉+ 0.45 | 최고 17.0@ep50 정체 1/15
Ep 101 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.62 | 도달  911 | 차단  895
Ep 102 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.60 | 도달  797 | 차단 1193
Ep 103 | 배송 34/50 | 재적재 5 | 도착  36 | 2홉+ 0.57 | 도달  873 | 차단 1432
