episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
69,1000,460.0,4.786,35,,861,0,5,39,663,0.6727,897.9,0,69000,657.7
70,1000,510.0,-4.545,37,,963,0,6,42,1058,0.573,790.1,0,70000,666.9
71,1000,360.0,-45.425,28,,848,0,4,31,2469,0.6495,701.9,0,71000,676.4
72,1000,260.0,-34.726,24,,995,0,2,24,1961,0.6,716.5,0,72000,688.3
73,1000,380.0,-22.493,30,,837,0,4,32,1726,0.6865,889.8,0,73000,697.6
74,1000,330.0,-13.62,25,,603,0,4,29,781,0.5088,743.4,0,74000,706.2
75,1000,520.0,-4.108,38,,929,0,6,41,1162,0.6418,826.3,0,75000,717.7
76,1000,380.0,-32.543,30,,888,0,4,29,1909,0.5913,696.7,0,76000,726.7
77,1000,500.0,6.397,36,,995,0,6,41,603,0.616,766.4,0,77000,735.3
78,1000,380.0,-15.452,30,,474,0,4,32,1410,0.6945,830.3,0,78000,744.3
79,1000,490.0,-1.034,38,,960,0,5,40,925,0.6597,895.0,0,79000,755.3
80,1000,440.0,-20.912,33,,609,0,5,37,1613,0.6703,818.0,0,80000,764.3
81,1000,460.0,-11.233,35,,975,0,5,39,1257,0.6092,862.6,0,81000,773.2
82,1000,410.0,-13.368,30,,855,0,5,35,1205,0.6108,847.5,0,82000,784.4
83,1000,390.0,-15.256,31,,575,0,4,34,1234,0.6262,716.1,0,83000,794.2
84,1000,500.0,-9.748,36,,867,0,6,43,1245,0.6415,895.9,0,84000,803.2
85,1000,390.0,-29.297,31,,966,0,4,33,1717,0.6335,902.9,0,85000,812.3
86,1000,400.0,-9.197,29,,913,0,5,33,1198,0.672,777.5,0,86000,823.8
87,1000,500.0,-11.418,36,,970,0,6,42,1170,0.6322,881.8,0,87000,832.9
88,1000,490.0,7.101,35,,514,0,6,42,835,0.639,827.1,0,88000,842.4
89,1000,450.0,-6.671,34,,932,0,5,38,1006,0.6765,1001.4,0,89000,854.5
90,1000,500.0,-8.108,36,,968,0,6,42,1256,0.6455,859.6,0,90000,863.9
91,1000,570.0,1.694,40,,975,0,7,45,877,0.6318,882.7,0,91000,873.3
92,1000,370.0,-25.127,32,,992,0,3,34,1616,0.6685,768.4,0,92000,882.4
93,1000,440.0,-13.642,33,,982,0,5,38,1223,0.6418,773.8,0,93000,893.7
94,1000,450.0,-13.861,34,,983,0,5,39,1502,0.6573,761.1,0,94000,903.3
95,1000,410.0,-14.096,33,,976,0,4,35,1135,0.564,784.7,0,95000,912.7
96,1000,430.0,0.679,32,,989,0,5,36,805,0.6,745.8,0,96000,924.2
97,1000,460.0,-22.223,35,,983,0,5,41,1855,0.6445,914.3,0,97000,933.7
98,1000,360.0,-20.768,28,,594,0,4,31,1542,0.5475,691.6,0,98000,942.9
99,1000,300.0,-40.034,25,,680,0,3,27,2146,0.512,602.3,0,99000,952.0
100,1000,480.0,-9.894,37,,890,0,5,37,1145,0.6402,875.8,0,100000,962.9
101,1000,530.0,-3.528,39,,978,0,6,45,895,0.6175,910.8,0,101000,981.4
102,1000,460.0,-4.741,35,,731,0,5,39,1193,0.5975,796.7,0,102000,992.5
103,1000,450.0,-12.045,34,,869,0,5,36,1432,0.575,873.4,0,103000,1001.8
104,1000,390.0,-30.128,31,,599,0,4,35,1910,0.6737,869.4,0,104000,1011.0
105,1000,470.0,-7.333,36,,852,0,5,38,1186,0.61,889.3,0,105000,1020.1
106,1000,280.0,-21.108,23,,784,0,3,25,1359,0.6382,918.9,0,106000,1031.7
107,1000,430.0,-14.281,35,,963,0,4,37,1398,0.6505,892.2,0,107000,1041.9
108,1000,490.0,-0.939,35,,781,0,6,42,744,0.6288,853.1,0,108000,1051.2
109,1000,500.0,-6.615,39,,929,0,5,42,1271,0.6432,800.1,0,109000,1062.8
110,1000,380.0,-25.136,30,,529,0,4,33,1765,0.5835,831.3,0,110000,1072.5
111,1000,520.0,-0.583,38,,929,0,6,44,1082,0.6482,899.6,0,111000,1081.5
112,1000,540.0,2.157,40,,984,0,6,44,1054,0.6338,952.6,0,112000,1092.3
113,1000,410.0,-11.206,33,,910,0,4,37,1190,0.572,790.1,0,113000,1101.7
114,1000,580.0,6.496,44,,926,0,6,49,986,0.664,913.9,0,114000,1111.0
115,1000,540.0,-0.799,40,,972,0,6,44,1047,0.6468,824.2,0,115000,1119.9
116,1000,580.0,3.212,41,,987,0,7,46,1058,0.6645,942.6,0,116000,1130.8
117,1000,480.0,-3.826,34,,954,0,6,37,944,0.6212,832.7,0,117000,1139.6
118,1000,390.0,-25.551,31,,1000,0,4,33,1779,0.6532,731.0,0,118000,1148.9
119,1000,600.0,7.055,43,,973,0,7,51,901,0.6425,890.3,0,119000,1157.9
120,1000,430.0,-0.521,32,,846,0,5,38,765,0.6562,889.8,0,120000,1168.9
121,1000,580.0,4.43,41,,973,0,7,44,961,0.6345,921.8,0,121000,1177.9
122,1000,590.0,13.838,42,,936,0,7,48,520,0.6603,897.6,0,122000,1187.3
123,1000,530.0,6.69,39,,992,0,6,43,830,0.6515,811.0,0,123000,1198.1
124,1000,530.0,-0.712,39,,978,0,6,43,910,0.6597,892.0,0,124000,1206.6
125,1000,530.0,-3.163,39,,713,0,6,44,1075,0.6492,916.1,0,125000,1215.8
126,1000,540.0,2.022,40,,965,0,6,43,798,0.6405,834.2,0,126000,1225.3
127,1000,610.0,12.218,41,,981,0,8,47,769,0.6392,897.1,0,127000,1237.0
128,1000,380.0,-23.228,27,,964,0,5,30,1643,0.618,716.1,0,128000,1246.6
129,1000,550.0,2.646,38,,991,0,7,46,990,0.6145,851.4,0,129000,1256.4
130,1000,480.0,4.095,37,,918,0,5,41,707,0.6625,830.5,0,130000,1268.2
131,1000,430.0,-6.17,35,,970,0,4,39,961,0.6777,818.1,0,131000,1277.4
132,1000,590.0,7.184,42,,894,0,7,46,704,0.6362,862.0,0,132000,1286.1
133,1000,540.0,2.45,40,,983,0,6,43,650,0.6542,857.8,0,133000,1294.8
134,1000,570.0,13.15,40,,988,0,7,44,412,0.645,869.4,0,134000,1305.6
135,1000,460.0,-13.622,35,,995,0,5,41,1199,0.6448,869.6,0,135000,1314.0
136,1000,570.0,4.865,43,,1000,0,6,48,698,0.647,940.1,0,136000,1322.8
137,1000,610.0,12.884,44,,980,0,7,49,590,0.6385,890.5,0,137000,1333.8
138,1000,530.0,1.476,39,,966,0,6,45,856,0.634,906.1,0,138000,1342.7
139,1000,560.0,3.743,42,,871,0,6,48,939,0.6402,902.5,0,139000,1351.5
140,1000,450.0,-9.027,34,,892,0,5,38,819,0.6275,780.3,0,140000,1360.2
141,1000,530.0,1.956,39,,979,0,6,46,1004,0.6488,988.3,0,141000,1372.0
142,1000,580.0,6.951,41,,842,0,7,48,790,0.6308,867.3,0,142000,1380.8
143,1000,300.0,-27.536,25,,972,0,3,27,1479,0.6152,700.4,0,143000,1389.7
144,1000,450.0,-12.555,34,,842,0,5,38,1178,0.6508,872.8,0,144000,1399.1
145,1000,470.0,-7.855,36,,963,0,5,40,1009,0.66,836.5,0,145000,1410.4
146,1000,460.0,-0.249,35,,973,0,5,41,762,0.661,886.4,0,146000,1419.6
147,1000,540.0,-2.217,40,,920,0,6,45,980,0.6252,879.1,0,147000,1428.9
148,1000,560.0,2.049,42,,989,0,6,49,870,0.6462,908.7,0,148000,1440.0
149,1000,490.0,-2.731,38,,741,0,5,42,674,0.6388,861.1,0,149000,1448.9
150,1000,530.0,-4.852,39,,922,0,6,44,1069,0.6208,903.2,0,150000,1457.8
151,1000,550.0,0.284,38,,761,0,7,44,781,0.6338,814.0,0,151000,1478.8
152,1000,520.0,-11.667,35,,886,0,7,40,950,0.5497,849.4,0,152000,1487.7
153,1000,470.0,-4.67,36,,910,0,5,42,927,0.5887,795.9,0,153000,1496.3
154,1000,600.0,8.869,43,,954,0,7,49,727,0.599,939.3,0,154000,1507.1
155,1000,530.0,-6.677,39,,995,0,6,43,851,0.6647,852.0,0,155000,1515.8
156,1000,490.0,-1.493,38,,932,0,5,44,726,0.6105,910.6,0,156000,1525.4
157,1000,540.0,-1.039,40,,981,0,6,45,982,0.6162,890.0,0,157000,1534.3
158,1000,630.0,6.651,43,,976,0,8,48,900,0.6238,913.0,0,158000,1545.3
159,1000,570.0,9.323,40,,973,0,7,44,652,0.6292,993.3,0,159000,1554.2
160,1000,550.0,-0.629,41,,991,0,6,44,958,0.6605,911.6,0,160000,1563.0
161,1000,590.0,5.836,42,,973,0,7,46,846,0.627,966.1,0,161000,1573.7
162,1000,590.0,-5.235,42,,1000,0,7,46,996,0.6528,924.6,0,162000,1582.6
163,1000,430.0,-1.969,32,,975,0,5,37,844,0.6415,774.4,0,163000,1591.6
164,1000,410.0,-14.455,33,,924,0,4,37,1198,0.668,810.6,0,164000,1600.2
165,1000,430.0,-2.719,32,,768,0,5,34,628,0.6525,801.8,0,165000,1611.7
166,1000,480.0,-0.427,37,,999,0,5,39,568,0.6452,780.7,0,166000,1620.3
167,1000,590.0,3.117,42,,956,0,7,48,826,0.6645,819.9,0,167000,1629.0
168,1000,470.0,-6.99,36,,981,0,5,40,795,0.6205,792.5,0,168000,1637.7
169,1000,490.0,-2.217,38,,885,0,5,42,852,0.654,804.8,0,169000,1648.7
170,1000,480.0,-5.208,37,,818,0,5,43,1094,0.636,867.3,0,170000,1657.5
171,1000,500.0,2.121,39,,994,0,5,44,637,0.573,854.4,0,171000,1666.1
172,1000,530.0,5.245,39,,983,0,6,45,891,0.6442,847.4,0,172000,1677.0
173,1000,480.0,1.545,37,,975,0,5,40,616,0.5917,858.8,0,173000,1686.1
174,1000,510.0,-7.198,37,,818,0,6,41,1023,0.599,792.5,0,174000,1695.2
175,1000,580.0,13.744,41,,995,0,7,44,516,0.648,888.4,0,175000,1704.6
176,1000,400.0,-16.685,32,,829,0,4,37,1139,0.6458,923.9,0,176000,1715.5
177,1000,450.0,-9.323,34,,913,0,5,38,772,0.598,882.5,0,177000,1724.0
178,1000,460.0,-12.24,35,,974,0,5,39,1219,0.6462,865.8,0,178000,1732.9
179,1000,520.0,-0.005,38,,976,0,6,44,765,0.6245,928.4,0,179000,1741.7
180,1000,510.0,4.984,37,,989,0,6,42,710,0.5948,848.5,0,180000,1752.7
181,1000,510.0,-4.775,37,,877,0,6,42,970,0.657,891.0,0,181000,1761.3
182,1000,480.0,-2.795,37,,868,0,5,42,667,0.6552,898.9,0,182000,1770.7
183,1000,620.0,10.172,45,,976,0,7,51,586,0.656,886.3,0,183000,1781.8
184,1000,520.0,4.28,38,,858,0,6,41,533,0.6232,831.7,0,184000,1790.3
185,1000,470.0,7.435,36,,968,0,5,39,411,0.6587,790.2,0,185000,1798.5
