/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=joint 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_worker.pth
상위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_manager.pth
  [홀드아웃] 배송 19.7±6.3 재적재 1.8 2홉+ 0.49 | 최고 19.7@ep50 정체 0/15  ← 갱신
Ep 51 | 배송 25/50 | 재적재 3 | 도착  14 | 2홉+ 0.55 | 도달  777 | 차단  480
Ep 52 | 배송 25/50 | 재적재 3 | 도착  19 | 2홉+ 0.52 | 도달  787 | 차단  580
Ep 53 | 배송 30/50 | 재적재 5 | 도착  36 | 2홉+ 0.63 | 도달  825 | 차단  578
Ep 54 | 배송 25/50 | 재적재 4 | 도착  49 | 2홉+ 0.52 | 도달  790 | 차단  742
Ep 55 | 배송 24/50 | 재적재 3 | 도착  20 | 2홉+ 0.56 | 도달  744 | 차단  518
Ep 56 | 배송 23/50 | 재적재 3 | 도착  11 | 2홉+ 0.60 | 도달  853 | 차단  801
Ep 57 | 배송 22/50 | 재적재 3 | 도착  14 | 2홉+ 0.47 | 도달  654 | 차단  632
Ep 58 | 배송 28/50 | 재적재 3 | 도착  12 | 2홉+ 0.61 | 도달  825 | 차단  809
Ep 59 | 배송 28/50 | 재적재 4 | 도착  18 | 2홉+ 0.56 | 도달  748 | 차단  534
Ep 60 | 배송 30/50 | 재적재 4 | 도착  16 | 2홉+ 0.63 | 도달  856 | 차단  751
Ep 61 | 배송 27/50 | 재적재 3 | 도착  37 | 2홉+ 0.56 | 도달  821 | 차단  393
Ep 62 | 배송 30/50 | 재적재 4 | 도착  18 | 2홉+ 0.57 | 도달  741 | 차단  930
Ep 63 | 배송 29/50 | 재적재 5 | 도착  17 | 2홉+ 0.51 | 도달  734 | 차단  644
Ep 64 | 배송 21/50 | 재적재 2 | 도착  41 | 2홉+ 0.43 | 도달  628 | 차단  568
Ep 65 | 배송 34/50 | 재적재 4 | 도착  18 | 2홉+ 0.62 | 도달  820 | 차단  706
Ep 66 | 배송 26/50 | 재적재 3 | 도착  10 | 2홉+ 0.52 | 도달  803 | 차단 1143
Ep 67 | 배송 22/50 | 재적재 3 | 도착  15 | 2홉+ 0.42 | 도달  649 | 차단  540
Ep 68 | 배송 21/50 | 재적재 2 | 도착  24 | 2홉+ 0.38 | 도달  640 | 차단  457
Ep 69 | 배송 21/50 | 재적재 2 | 도착  16 | 2홉+ 0.49 | 도달  666 | 차단  664
Ep 70 | 배송 20/50 | 재적재 2 | 도착  16 | 2홉+ 0.29 | 도달  597 | 차단  522
Ep 71 | 배송 24/50 | 재적재 3 | 도착  25 | 2홉+ 0.49 | 도달  626 | 차단  378
Ep 72 | 배송 24/50 | 재적재 3 | 도착  12 | 2홉+ 0.47 | 도달  690 | 차단  279
Ep 73 | 배송 19/50 | 재적재 2 | 도착  15 | 2홉+ 0.46 | 도달  662 | 차단  837
Ep 74 | 배송 20/50 | 재적재 3 | 도착  16 | 2홉+ 0.48 | 도달  551 | 차단  496
Ep 75 | 배송 23/50 | 재적재 3 | 도착  19 | 2홉+ 0.48 | 도달  712 | 차단  453
Ep 76 | 배송 17/50 | 재적재 1 | 도착  50 | 2홉+ 0.18 | 도달  555 | 차단   95
Ep 77 | 배송 22/50 | 재적재 3 | 도착  15 | 2홉+ 0.49 | 도달  655 | 차단  429
Ep 78 | 배송 17/50 | 재적재 1 | 도착  36 | 2홉+ 0.32 | 도달  653 | 차단  216
Ep 79 | 배송 17/50 | 재적재 1 | 도착  21 | 2홉+ 0.29 | 도달  539 | 차단  117
Ep 80 | 배송 20/50 | 재적재 2 | 도착  24 | 2홉+ 0.38 | 도달  572 | 차단  335
Ep 81 | 배송 20/50 | 재적재 2 | 도착  43 | 2홉+ 0.35 | 도달  575 | 차단  139
Ep 82 | 배송 20/50 | 재적재 2 | 도착  13 | 2홉+ 0.39 | 도달  621 | 차단  211
Ep 83 | 배송 18/50 | 재적재 2 | 도착  61 | 2홉+ 0.41 | 도달  585 | 차단  284
Ep 84 | 배송 14/50 | 재적재 1 | 도착  78 | 2홉+ 0.32 | 도달  565 | 차단  468
Ep 85 | 배송 17/50 | 재적재 2 | 도착  15 | 2홉+ 0.31 | 도달  566 | 차단  229
Ep 86 | 배송 23/50 | 재적재 3 | 도착  26 | 2홉+ 0.42 | 도달  706 | 차단  323
Ep 87 | 배송 22/50 | 재적재 3 | 도착  21 | 2홉+ 0.49 | 도달  674 | 차단  387
Ep 88 | 배송 14/50 | 재적재 0 | 도착  60 | 2홉+ 0.27 | 도달  539 | 차단   51
Ep 89 | 배송 18/50 | 재적재 2 | 도착  20 | 2홉+ 0.37 | 도달  548 | 차단  216
Ep 90 | 배송 14/50 | 재적재 1 | 도착  16 | 2홉+ 0.29 | 도달  533 | 차단  159
Ep 91 | 배송 24/50 | 재적재 3 | 도착  19 | 2홉+ 0.54 | 도달  756 | 차단  385
Ep 92 | 배송 25/50 | 재적재 2 | 도착  23 | 2홉+ 0.58 | 도달  824 | 차단  678
Ep 93 | 배송 17/50 | 재적재 2 | 도착  25 | 2홉+ 0.41 | 도달  558 | 차단  295
Ep 94 | 배송 17/50 | 재적재 1 | 도착   8 | 2홉+ 0.40 | 도달  710 | 차단  366
Ep 95 | 배송 20/50 | 재적재 2 | 도착  17 | 2홉+ 0.38 | 도달  577 | 차단  319
Ep 96 | 배송 21/50 | 재적재 3 | 도착  67 | 2홉+ 0.37 | 도달  645 | 차단  317
Ep 97 | 배송 17/50 | 재적재 2 | 도착  25 | 2홉+ 0.34 | 도달  551 | 차단  117
Ep 98 | 배송 19/50 | 재적재 3 | 도착  38 | 2홉+ 0.37 | 도달  588 | 차단  171
Ep 99 | 배송 18/50 | 재적재 2 | 도착  55 | 2홉+ 0.30 | 도달  641 | 차단  183
Ep 100 | 배송 15/50 | 재적재 1 | 도착  22 | 2홉+ 0.29 | 도달  568 | 차단  167
  [홀드아웃] 배송 12.1±2.7 재적재 0.2 2홉+ 0.31 | 최고 19.7@ep50 정체 1/15
Ep 101 | 배송 16/50 | 재적재 1 | 도착  24 | 2홉+ 0.28 | 도달  531 | 차단   90
Ep 102 | 배송 16/50 | 재적재 1 | 도착  28 | 2홉+ 0.33 | 도달  578 | 차단  255
Ep 103 | 배송 19/50 | 재적재 2 | 도착  30 | 2홉+ 0.30 | 도달  740 | 차단  110
Ep 104 | 배송 14/50 | 재적재 0 | 도착  32 | 2홉+ 0.19 | 도달  560 | 차단  150
Ep 105 | 배송 13/50 | 재적재 0 | 도착  79 | 2홉+ 0.11 | 도달  643 | 차단  105
Ep 106 | 배송 12/50 | 재적재 1 | 도착  55 | 2홉+ 0.18 | 도달  560 | 차단  251
Ep 107 | 배송 21/50 | 재적재 2 | 도착  37 | 2홉+ 0.30 | 도달  667 | 차단  118
Ep 108 | 배송  9/50 | 재적재 0 | 도착 110 | 2홉+ 0.07 | 도달  418 | 차단  113
Ep 109 | 배송 11/50 | 재적재 0 | 도착  71 | 2홉+ 0.13 | 도달  522 | 차단   18
Ep 110 | 배송 12/50 | 재적재 1 | 도착  38 | 2홉+ 0.09 | 도달  458 | 차단   29
Ep 111 | 배송  8/50 | 재적재 0 | 도착 110 | 2홉+ 0.10 | 도달  488 | 차단   30
Ep 112 | 배송 10/50 | 재적재 0 | 도착  28 | 2홉+ 0.21 | 도달  521 | 차단  146
Ep 113 | 배송 16/50 | 재적재 1 | 도착   6 | 2홉+ 0.23 | 도달  578 | 차단  283
Ep 114 | 배송 12/50 | 재적재 0 | 도착  20 | 2홉+ 0.30 | 도달  557 | 차단  146
Ep 115 | 배송 13/50 | 재적재 1 | 도착  51 | 2홉+ 0.21 | 도달  534 | 차단  102
Ep 116 | 배송  7/50 | 재적재 0 | 도착  70 | 2홉+ 0.01 | 도달  336 | 차단    2
Ep 117 | 배송 16/50 | 재적재 1 | 도착  40 | 2홉+ 0.34 | 도달  578 | 차단  517
Ep 118 | 배송 14/50 | 재적재 1 | 도착  54 | 2홉+ 0.13 | 도달  563 | 차단   57
Ep 119 | 배송 12/50 | 재적재 1 | 도착  39 | 2홉+ 0.12 | 도달  559 | 차단   40
Ep 120 | 배송  9/50 | 재적재 0 | 도착  85 | 2홉+ 0.09 | 도달  531 | 차단   14
Ep 121 | 배송  7/50 | 재적재 0 | 도착  64 | 2홉+ 0.04 | 도달  410 | 차단   94
Ep 122 | 배송 18/50 | 재적재 1 | 도착  19 | 2홉+ 0.24 | 도달  620 | 차단  214
Ep 123 | 배송 17/50 | 재적재 1 | 도착  36 | 2홉+ 0.28 | 도달  545 | 차단  174
Ep 124 | 배송  6/50 | 재적재 0 | 도착 100 | 2홉+ 0.01 | 도달  347 | 차단    0
Ep 125 | 배송  9/50 | 재적재 0 | 도착  84 | 2홉+ 0.11 | 도달  447 | 차단    0
Ep 126 | 배송 12/50 | 재적재 0 | 도착  50 | 2홉+ 0.13 | 도달  573 | 차단   34
Ep 127 | 배송 13/50 | 재적재 1 | 도착  74 | 2홉+ 0.11 | 도달  489 | 차단   38
Ep 128 | 배송 12/50 | 재적재 0 | 도착  58 | 2홉+ 0.10 | 도달  514 | 차단   24
Ep 129 | 배송  6/50 | 재적재 0 | 도착 140 | 2홉+ 0.01 | 도달  327 | 차단   15
Ep 130 | 배송  7/50 | 재적재 0 | 도착 135 | 2홉+ 0.03 | 도달  517 | 차단    0
Ep 131 | 배송  8/50 | 재적재 0 | 도착  84 | 2홉+ 0.06 | 도달  475 | 차단    3
Ep 132 | 배송  8/50 | 재적재 0 | 도착 112 | 2홉+ 0.07 | 도달  425 | 차단   23
Ep 133 | 배송 11/50 | 재적재 0 | 도착  45 | 2홉+ 0.27 | 도달  579 | 차단  262
