/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 54 |  1638스텝 | 배송 43/50 | 재적재  7 | 정지 0.28 교착최장 100 | deadlock
Ep 55 |  2832스텝 | 배송 42/50 | 재적재  8 | 정지 0.35 교착최장  70 | no_progress
Ep 56 |  2044스텝 | 배송 48/50 | 재적재  9 | 정지 0.38 교착최장 100 | deadlock
Ep 57 |  2856스텝 | 배송 46/50 | 재적재  9 | 정지 0.20 교착최장  29 | no_progress
Ep 58 |  3118스텝 | 배송 47/50 | 재적재  9 | 정지 0.27 교착최장  77 | no_progress
Ep 59 |  3073스텝 | 배송 45/50 | 재적재  8 | 정지 0.25 교착최장  11 | no_progress
Ep 60 |  2290스텝 | 배송 50/50 | 재적재  9 | 정지 0.25 교착최장  27 | complete
Ep 61 |  3553스텝 | 배송 47/50 | 재적재  9 | 정지 0.22 교착최장  13 | no_progress
Ep 62 |  2553스텝 | 배송 48/50 | 재적재  9 | 정지 0.27 교착최장 100 | deadlock
Ep 63 |  2121스텝 | 배송 38/50 | 재적재  6 | 정지 0.43 교착최장 100 | deadlock
Ep 64 |  1529스텝 | 배송 29/50 | 재적재  4 | 정지 0.26 교착최장 100 | deadlock
Ep 65 |  3842스텝 | 배송 44/50 | 재적재  8 | 정지 0.31 교착최장  50 | no_progress
Ep 66 |  2385스텝 | 배송 50/50 | 재적재  9 | 정지 0.27 교착최장  39 | complete
Ep 67 |  2652스텝 | 배송 37/50 | 재적재  7 | 정지 0.32 교착최장 100 | deadlock
Ep 68 |  3903스텝 | 배송 45/50 | 재적재  8 | 정지 0.28 교착최장  47 | no_progress
Ep 69 |  1874스텝 | 배송 42/50 | 재적재  7 | 정지 0.21 교착최장 100 | deadlock
Ep 70 |  2598스텝 | 배송 40/50 | 재적재  8 | 정지 0.32 교착최장 100 | deadlock
Ep 71 |  5584스텝 | 배송 50/50 | 재적재  9 | 정지 0.36 교착최장  91 | complete
Ep 72 |  3561스텝 | 배송 50/50 | 재적재  9 | 정지 0.22 교착최장  34 | complete
Ep 73 |  1561스텝 | 배송 37/50 | 재적재  6 | 정지 0.23 교착최장 100 | deadlock
Ep 74 |  3414스텝 | 배송 44/50 | 재적재  8 | 정지 0.42 교착최장  83 | no_progress
Ep 75 |  4334스텝 | 배송 45/50 | 재적재  9 | 정지 0.26 교착최장  70 | no_progress
Ep 76 |  3422스텝 | 배송 48/50 | 재적재  9 | 정지 0.19 교착최장  15 | no_progress
Ep 77 |  4607스텝 | 배송 44/50 | 재적재  8 | 정지 0.30 교착최장  31 | no_progress
Ep 78 |  1180스텝 | 배송 25/50 | 재적재  3 | 정지 0.35 교착최장 100 | deadlock
Ep 79 |  2964스텝 | 배송 41/50 | 재적재  8 | 정지 0.21 교착최장  93 | no_progress
Ep 80 |  1733스텝 | 배송 43/50 | 재적재  7 | 정지 0.29 교착최장 100 | deadlock
Ep 81 |  1150스텝 | 배송 23/50 | 재적재  3 | 정지 0.39 교착최장 100 | deadlock
Ep 82 |  3528스텝 | 배송 49/50 | 재적재  8 | 정지 0.36 교착최장  76 | no_progress
Ep 83 |   666스텝 | 배송 27/50 | 재적재  3 | 정지 0.32 교착최장 100 | deadlock
Ep 84 |  1769스텝 | 배송 37/50 | 재적재  6 | 정지 0.19 교착최장 100 | deadlock
Ep 85 |  2557스텝 | 배송 45/50 | 재적재  8 | 정지 0.29 교착최장 100 | deadlock
Ep 86 |  4272스텝 | 배송 44/50 | 재적재  8 | 정지 0.22 교착최장  20 | no_progress
Ep 87 |  2976스텝 | 배송 44/50 | 재적재  8 | 정지 0.18 교착최장  38 | no_progress
Ep 88 |  3131스텝 | 배송 43/50 | 재적재  6 | 정지 0.32 교착최장  33 | no_progress
Ep 89 |  3578스텝 | 배송 41/50 | 재적재  8 | 정지 0.19 교착최장  28 | no_progress
Ep 90 |  5036스텝 | 배송 47/50 | 재적재  9 | 정지 0.17 교착최장  68 | no_progress
Ep 91 |  2704스텝 | 배송 42/50 | 재적재  8 | 정지 0.16 교착최장  24 | no_progress
Ep 92 |  1900스텝 | 배송 34/50 | 재적재  5 | 정지 0.34 교착최장 100 | deadlock
Ep 93 |  3106스텝 | 배송 40/50 | 재적재  7 | 정지 0.23 교착최장 100 | deadlock
Ep 94 |  2823스텝 | 배송 40/50 | 재적재  7 | 정지 0.28 교착최장  28 | no_progress
Ep 95 |  3774스텝 | 배송 40/50 | 재적재  7 | 정지 0.23 교착최장 100 | deadlock
Ep 96 |  4620스텝 | 배송 44/50 | 재적재  8 | 정지 0.21 교착최장  60 | no_progress
Ep 97 |  2326스텝 | 배송 43/50 | 재적재  7 | 정지 0.18 교착최장 100 | deadlock
Ep 98 |  4256스텝 | 배송 41/50 | 재적재  8 | 정지 0.10 교착최장  19 | no_progress
Ep 99 |  2134스텝 | 배송 35/50 | 재적재  7 | 정지 0.09 교착최장  10 | no_progress
Ep 100 |  3336스텝 | 배송 45/50 | 재적재  9 | 정지 0.11 교착최장  16 | no_progress
  [홀드아웃] 배송 19.8±7.5 재적재 1.8 2홉+ 0.52 | 최고 23.8@ep50 정체 1/15
Ep 101 |  2599스텝 | 배송 38/50 | 재적재  7 | 정지 0.06 교착최장  28 | no_progress
Ep 102 |  4096스텝 | 배송 47/50 | 재적재  7 | 정지 0.25 교착최장  24 | no_progress
Ep 103 |  2683스텝 | 배송 42/50 | 재적재  7 | 정지 0.36 교착최장 100 | deadlock
Ep 104 |  3502스텝 | 배송 42/50 | 재적재  8 | 정지 0.33 교착최장  87 | no_progress
Ep 105 |  2553스텝 | 배송 37/50 | 재적재  7 | 정지 0.14 교착최장  49 | no_progress
Ep 106 |  4010스텝 | 배송 45/50 | 재적재  8 | 정지 0.26 교착최장  55 | no_progress
Ep 107 |  1904스텝 | 배송 27/50 | 재적재  4 | 정지 0.27 교착최장  14 | no_progress
Ep 108 |  2748스텝 | 배송 35/50 | 재적재  7 | 정지 0.14 교착최장  16 | no_progress
Ep 109 |  3570스텝 | 배송 32/50 | 재적재  6 | 정지 0.12 교착최장  14 | no_progress
Ep 110 |  3390스텝 | 배송 38/50 | 재적재  7 | 정지 0.11 교착최장  60 | no_progress
Ep 111 |   435스텝 | 배송 17/50 | 재적재  0 | 정지 0.56 교착최장 100 | deadlock
Ep 112 |  3788스텝 | 배송 37/50 | 재적재  7 | 정지 0.23 교착최장  40 | no_progress
Ep 113 |  1791스텝 | 배송 40/50 | 재적재  6 | 정지 0.23 교착최장 100 | deadlock
Ep 114 |  1268스텝 | 배송 34/50 | 재적재  3 | 정지 0.27 교착최장 100 | deadlock
Ep 115 |  1204스텝 | 배송 28/50 | 재적재  5 | 정지 0.24 교착최장 100 | deadlock
Ep 116 |  3931스텝 | 배송 41/50 | 재적재  7 | 정지 0.29 교착최장  54 | no_progress
Ep 117 |  2592스텝 | 배송 39/50 | 재적재  7 | 정지 0.17 교착최장 100 | deadlock
Ep 118 |  3783스텝 | 배송 42/50 | 재적재  8 | 정지 0.15 교착최장  99 | no_progress
Ep 119 |  3647스텝 | 배송 40/50 | 재적재  7 | 정지 0.23 교착최장  68 | no_progress
Ep 120 |  4940스텝 | 배송 44/50 | 재적재  7 | 정지 0.33 교착최장 100 | deadlock
Ep 121 |  3751스텝 | 배송 35/50 | 재적재  7 | 정지 0.13 교착최장  20 | no_progress
Ep 122 |  3089스텝 | 배송 44/50 | 재적재  8 | 정지 0.30 교착최장  68 | no_progress
Ep 123 |  2231스텝 | 배송 39/50 | 재적재  6 | 정지 0.25 교착최장 100 | deadlock
Ep 124 |  2136스텝 | 배송 34/50 | 재적재  5 | 정지 0.26 교착최장 100 | deadlock
Ep 125 |  2175스텝 | 배송 35/50 | 재적재  6 | 정지 0.28 교착최장 100 | deadlock
Ep 126 |  1229스텝 | 배송 20/50 | 재적재  3 | 정지 0.23 교착최장 100 | deadlock
Ep 127 |  2871스텝 | 배송 37/50 | 재적재  6 | 정지 0.24 교착최장  41 | no_progress
Ep 128 |  2573스텝 | 배송 40/50 | 재적재  6 | 정지 0.17 교착최장 100 | deadlock
Ep 129 |  1001스텝 | 배송 23/50 | 재적재  2 | 정지 0.26 교착최장 100 | deadlock
Ep 130 |  1594스텝 | 배송 28/50 | 재적재  3 | 정지 0.45 교착최장 100 | deadlock
Ep 131 |  1526스텝 | 배송 30/50 | 재적재  4 | 정지 0.36 교착최장 100 | deadlock
Ep 132 |  4834스텝 | 배송 48/50 | 재적재  7 | 정지 0.35 교착최장 100 | deadlock
Ep 133 |  4268스텝 | 배송 43/50 | 재적재  8 | 정지 0.21 교착최장  88 | no_progress
Ep 134 |  3271스텝 | 배송 35/50 | 재적재  7 | 정지 0.09 교착최장   9 | no_progress
Ep 135 |  3077스텝 | 배송 39/50 | 재적재  5 | 정지 0.18 교착최장 100 | deadlock
Ep 136 |  4318스텝 | 배송 43/50 | 재적재  8 | 정지 0.27 교착최장  99 | no_progress
Ep 137 |  1550스텝 | 배송 30/50 | 재적재  5 | 정지 0.13 교착최장 100 | deadlock
Ep 138 |  4408스텝 | 배송 42/50 | 재적재  6 | 정지 0.25 교착최장 100 | deadlock
Ep 139 |  1567스텝 | 배송 28/50 | 재적재  4 | 정지 0.20 교착최장 100 | deadlock
Ep 140 |  5581스텝 | 배송 43/50 | 재적재  7 | 정지 0.27 교착최장  80 | no_progress
Ep 141 |  5369스텝 | 배송 43/50 | 재적재  8 | 정지 0.16 교착최장  31 | no_progress
Ep 142 |   640스텝 | 배송 23/50 | 재적재  2 | 정지 0.22 교착최장 100 | deadlock
Ep 143 |  3558스텝 | 배송 41/50 | 재적재  7 | 정지 0.34 교착최장 100 | deadlock
Ep 144 |  5845스텝 | 배송 45/50 | 재적재  9 | 정지 0.20 교착최장  58 | no_progress
Ep 145 |  4501스텝 | 배송 39/50 | 재적재  7 | 정지 0.18 교착최장  93 | no_progress
Ep 146 |  5558스텝 | 배송 39/50 | 재적재  7 | 정지 0.10 교착최장  14 | no_progress
Ep 147 |  3251스텝 | 배송 32/50 | 재적재  6 | 정지 0.21 교착최장  17 | no_progress
Ep 148 |  6749스텝 | 배송 44/50 | 재적재  8 | 정지 0.24 교착최장  71 | no_progress
Ep 149 |  3028스텝 | 배송 29/50 | 재적재  5 | 정지 0.15 교착최장  90 | no_progress
Ep 150 |  4602스텝 | 배송 37/50 | 재적재  7 | 정지 0.15 교착최장  28 | no_progress
  [홀드아웃] 배송 1.9±5.5 재적재 0.2 2홉+ 0.04 | 최고 23.8@ep50 정체 2/15
Ep 151 |  5913스텝 | 배송 44/50 | 재적재  7 | 정지 0.18 교착최장 100 | deadlock
Ep 152 |  1632스텝 | 배송 30/50 | 재적재  4 | 정지 0.16 교착최장 100 | deadlock
Ep 153 |  3291스텝 | 배송 28/50 | 재적재  5 | 정지 0.07 교착최장   8 | no_progress
