episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
66,1000,320.0,-19.728,27,,990,0,3,32,1706,0.6475,798.5,,,0,66000,479.9
67,1000,340.0,-16.385,26,,903,0,4,30,1770,0.5353,699.6,,,0,67000,487.0
68,1000,390.0,-3.55,31,,900,0,4,35,1257,0.6188,845.2,,,0,68000,494.2
69,1000,440.0,1.775,36,,840,0,4,42,1153,0.6795,833.0,,,0,69000,502.0
70,1000,510.0,-3.272,37,,930,0,6,43,1396,0.6248,890.0,,,0,70000,509.2
71,1000,320.0,-4.74,27,,521,0,3,35,875,0.51,720.1,,,0,71000,516.3
72,1000,310.0,-15.13,26,,818,0,3,29,1468,0.657,757.0,,,0,72000,523.6
73,1000,340.0,-26.744,29,,892,0,3,32,2037,0.6245,813.9,,,0,73000,530.9
74,1000,210.0,-35.914,19,,681,0,2,23,2043,0.4913,653.2,,,0,74000,538.2
75,1000,270.0,-20.798,22,,419,0,3,23,1630,0.605,686.9,,,0,75000,545.6
76,1000,460.0,-0.913,35,,992,0,5,39,1164,0.6202,843.4,,,0,76000,553.8
77,1000,190.0,-10.925,20,,785,0,1,21,918,0.4123,677.3,,,0,77000,560.8
78,1000,280.0,-40.985,23,,316,0,3,26,2461,0.5697,743.7,,,0,78000,568.3
79,1000,540.0,14.899,37,,994,0,7,43,793,0.6282,804.3,,,0,79000,575.6
80,1000,340.0,-13.371,29,,928,0,3,30,1210,0.666,758.5,,,0,80000,583.4
81,1000,320.0,2.127,27,,988,0,3,29,553,0.549,757.9,,,0,81000,590.4
82,1000,330.0,-28.262,28,,926,0,3,29,1937,0.68,728.6,,,0,82000,597.9
83,1000,390.0,-13.697,31,,957,0,4,37,1490,0.6192,759.1,,,0,83000,605.3
84,1000,330.0,-13.803,28,,714,0,3,31,1382,0.6265,859.7,,,0,84000,612.7
85,1000,360.0,-17.836,25,,803,0,5,34,1797,0.555,674.3,,,0,85000,620.5
86,1000,350.0,-17.454,27,,553,0,4,33,1665,0.6603,730.3,,,0,86000,628.1
87,1000,540.0,14.575,37,,819,0,7,47,839,0.637,949.3,,,0,87000,635.4
88,1000,300.0,-11.695,25,,957,0,3,29,1168,0.485,714.1,,,0,88000,642.7
89,1000,380.0,2.199,30,,879,0,4,31,667,0.6005,944.5,,,0,89000,650.4
90,1000,400.0,1.296,32,,765,0,4,37,965,0.5713,802.1,,,0,90000,657.7
91,1000,360.0,-0.967,31,,857,0,3,36,934,0.6613,870.4,,,0,91000,665.1
