/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.21 | 도달  430 | 차단   16 | 정지 0.00 최장   0
Ep 42 | 배송 22/50 | 재적재 3 | 도착  28 | 2홉+ 0.62 | 도달  640 | 차단 1324 | 정지 0.41 최장   6
Ep 43 | 배송 24/50 | 재적재 2 | 도착  26 | 2홉+ 0.56 | 도달  757 | 차단 1936 | 정지 0.32 최장  10
Ep 44 | 배송 30/50 | 재적재 4 | 도착  34 | 2홉+ 0.53 | 도달  728 | 차단 1323 | 정지 0.31 최장   8
Ep 45 | 배송 21/50 | 재적재 3 | 도착  23 | 2홉+ 0.60 | 도달  867 | 차단 2229 | 정지 0.86 최장  25
Ep 46 | 배송 20/50 | 재적재 2 | 도착  22 | 2홉+ 0.50 | 도달  633 | 차단 1666 | 정지 0.33 최장   5
Ep 47 | 배송 27/50 | 재적재 4 | 도착  29 | 2홉+ 0.58 | 도달  741 | 차단 1394 | 정지 0.59 최장   4
Ep 48 | 배송 29/50 | 재적재 4 | 도착  36 | 2홉+ 0.68 | 도달  769 | 차단 2097 | 정지 0.18 최장  58
Ep 49 | 배송 22/50 | 재적재 3 | 도착  31 | 2홉+ 0.49 | 도달  681 | 차단  971 | 정지 0.42 최장   5
Ep 50 | 배송 31/50 | 재적재 5 | 도착  35 | 2홉+ 0.60 | 도달  751 | 차단  860 | 정지 0.17 최장   4
  [홀드아웃] 배송 14.8±5.7 재적재 0.8 2홉+ 0.67 | 최고 14.8@ep50 정체 0/15  ← 갱신
Ep 51 | 배송 38/50 | 재적재 6 | 도착  42 | 2홉+ 0.64 | 도달  800 | 차단 1232 | 정지 0.27 최장  10
Ep 52 | 배송 36/50 | 재적재 7 | 도착  44 | 2홉+ 0.64 | 도달  817 | 차단 1287 | 정지 0.31 최장  51
Ep 53 | 배송 33/50 | 재적재 5 | 도착  39 | 2홉+ 0.61 | 도달  764 | 차단 1282 | 정지 0.08 최장   4
Ep 54 | 배송 36/50 | 재적재 5 | 도착  40 | 2홉+ 0.64 | 도달  824 | 차단  925 | 정지 0.76 최장  11
Ep 55 | 배송 28/50 | 재적재 3 | 도착  34 | 2홉+ 0.59 | 도달  691 | 차단 1484 | 정지 0.06 최장   7
Ep 56 | 배송 21/50 | 재적재 2 | 도착  23 | 2홉+ 0.55 | 도달  613 | 차단 2188 | 정지 0.51 최장  12
Ep 57 | 배송 29/50 | 재적재 4 | 도착  36 | 2홉+ 0.62 | 도달  727 | 차단 1694 | 정지 0.13 최장   4
Ep 58 | 배송 33/50 | 재적재 5 | 도착  40 | 2홉+ 0.63 | 도달  895 | 차단 1025 | 정지 0.82 최장   4
Ep 59 | 배송 35/50 | 재적재 4 | 도착  41 | 2홉+ 0.66 | 도달  802 | 차단 1430 | 정지 0.27 최장  11
Ep 60 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.67 | 도달  836 | 차단 1626 | 정지 0.22 최장  57
