/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.21 | 도달  430 | 차단   16 | 정지 0.00 최장   0
Ep 160 | 배송 35/50 | 재적재 5 | 도착  38 | 2홉+ 0.64 | 도달  783 | 차단 1011 | 정지 0.45 최장   6
Ep 161 | 배송 34/50 | 재적재 4 | 도착  39 | 2홉+ 0.67 | 도달  791 | 차단 1251 | 정지 0.68 최장   5
Ep 162 | 배송 28/50 | 재적재 4 | 도착  34 | 2홉+ 0.60 | 도달  762 | 차단 1263 | 정지 0.14 최장  37
Ep 163 | 배송 32/50 | 재적재 5 | 도착  36 | 2홉+ 0.60 | 도달  786 | 차단 1279 | 정지 0.59 최장  12
Ep 164 | 배송 34/50 | 재적재 4 | 도착  41 | 2홉+ 0.65 | 도달  782 | 차단 1064 | 정지 0.05 최장   5
Ep 165 | 배송 28/50 | 재적재 4 | 도착  31 | 2홉+ 0.47 | 도달  677 | 차단  698 | 정지 0.40 최장   4
Ep 166 | 배송 35/50 | 재적재 5 | 도착  42 | 2홉+ 0.64 | 도달  777 | 차단  629 | 정지 0.08 최장   8
Ep 167 | 배송 35/50 | 재적재 4 | 도착  41 | 2홉+ 0.61 | 도달  839 | 차단  878 | 정지 0.69 최장   4
Ep 168 | 배송 34/50 | 재적재 5 | 도착  39 | 2홉+ 0.61 | 도달  779 | 차단  931 | 정지 0.34 최장   9
Ep 169 | 배송 38/50 | 재적재 5 | 도착  44 | 2홉+ 0.60 | 도달  929 | 차단  788 | 정지 0.73 최장   3
Ep 170 | 배송 27/50 | 재적재 4 | 도착  30 | 2홉+ 0.59 | 도달  758 | 차단 1629 | 정지 0.60 최장   8
Ep 171 | 배송 35/50 | 재적재 4 | 도착  38 | 2홉+ 0.67 | 도달 1056 | 차단 1567 | 정지 0.73 최장   7
Ep 172 | 배송 35/50 | 재적재 5 | 도착  38 | 2홉+ 0.63 | 도달  907 | 차단 1286 | 정지 0.64 최장   4
Ep 173 | 배송 29/50 | 재적재 3 | 도착  34 | 2홉+ 0.66 | 도달  764 | 차단 1740 | 정지 0.30 최장  13
Ep 174 | 배송 33/50 | 재적재 6 | 도착  40 | 2홉+ 0.64 | 도달  830 | 차단  758 | 정지 0.58 최장   3
Ep 175 | 배송 38/50 | 재적재 6 | 도착  45 | 2홉+ 0.64 | 도달  997 | 차단  995 | 정지 0.74 최장  34
Ep 176 | 배송 27/50 | 재적재 3 | 도착  30 | 2홉+ 0.61 | 도달  857 | 차단 1713 | 정지 0.84 최장  20
Ep 177 | 배송 33/50 | 재적재 6 | 도착  39 | 2홉+ 0.64 | 도달  763 | 차단 1138 | 정지 0.19 최장   3
Ep 178 | 배송 31/50 | 재적재 5 | 도착  36 | 2홉+ 0.59 | 도달  784 | 차단 1278 | 정지 0.34 최장   6
Ep 179 | 배송 27/50 | 재적재 3 | 도착  29 | 2홉+ 0.66 | 도달  993 | 차단 1569 | 정지 0.94 최장  17
Ep 180 | 배송 21/50 | 재적재 3 | 도착  24 | 2홉+ 0.66 | 도달  733 | 차단 1015 | 정지 0.65 최장   2
Ep 181 | 배송 39/50 | 재적재 6 | 도착  43 | 2홉+ 0.65 | 도달  929 | 차단  931 | 정지 0.45 최장   4
Ep 182 | 배송 36/50 | 재적재 6 | 도착  39 | 2홉+ 0.63 | 도달  844 | 차단  781 | 정지 0.15 최장  11
Ep 183 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.59 | 도달  872 | 차단  770 | 정지 0.48 최장   5
Ep 184 | 배송 35/50 | 재적재 5 | 도착  38 | 2홉+ 0.62 | 도달  745 | 차단  687 | 정지 0.20 최장   6
Ep 185 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.62 | 도달 1046 | 차단 1421 | 정지 0.73 최장   7
Ep 186 | 배송 33/50 | 재적재 4 | 도착  37 | 2홉+ 0.64 | 도달  940 | 차단 1011 | 정지 0.44 최장   3
Ep 187 | 배송 34/50 | 재적재 4 | 도착  39 | 2홉+ 0.57 | 도달  782 | 차단  703 | 정지 0.71 최장   3
Ep 188 | 배송 40/50 | 재적재 6 | 도착  48 | 2홉+ 0.64 | 도달  921 | 차단  770 | 정지 0.15 최장   7
Ep 189 | 배송 39/50 | 재적재 5 | 도착  47 | 2홉+ 0.62 | 도달  832 | 차단  663 | 정지 0.27 최장   5
Ep 190 | 배송 32/50 | 재적재 4 | 도착  34 | 2홉+ 0.63 | 도달 1050 | 차단 1745 | 정지 0.98 최장  42
Ep 191 | 배송 40/50 | 재적재 7 | 도착  48 | 2홉+ 0.62 | 도달  856 | 차단  892 | 정지 0.01 최장   3
Ep 192 | 배송 32/50 | 재적재 5 | 도착  35 | 2홉+ 0.66 | 도달  769 | 차단 1092 | 정지 0.78 최장   4
Ep 193 | 배송 39/50 | 재적재 6 | 도착  42 | 2홉+ 0.64 | 도달  993 | 차단  753 | 정지 0.52 최장   7
Ep 194 | 배송 30/50 | 재적재 4 | 도착  31 | 2홉+ 0.63 | 도달  920 | 차단 1235 | 정지 0.43 최장   4
Ep 195 | 배송 33/50 | 재적재 4 | 도착  39 | 2홉+ 0.57 | 도달  948 | 차단  982 | 정지 0.61 최장   5
Ep 196 | 배송 32/50 | 재적재 4 | 도착  34 | 2홉+ 0.63 | 도달  894 | 차단 1588 | 정지 0.15 최장  33
Ep 197 | 배송 34/50 | 재적재 4 | 도착  39 | 2홉+ 0.59 | 도달  864 | 차단  746 | 정지 0.36 최장   3
Ep 198 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.66 | 도달  845 | 차단 1454 | 정지 0.11 최장   7
Ep 199 | 배송 35/50 | 재적재 4 | 도착  40 | 2홉+ 0.64 | 도달  899 | 차단 1059 | 정지 0.01 최장   9
Ep 200 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.63 | 도달  960 | 차단  695 | 정지 0.46 최장  10
  [홀드아웃] 배송 19.3±7.8 재적재 1.8 2홉+ 0.56 | 최고 22.3@ep100 정체 2/15
Ep 201 | 배송 36/50 | 재적재 6 | 도착  38 | 2홉+ 0.63 | 도달  876 | 차단  790 | 정지 0.27 최장   5
Ep 202 | 배송 40/50 | 재적재 5 | 도착  45 | 2홉+ 0.64 | 도달  926 | 차단  953 | 정지 0.52 최장   6
Ep 203 | 배송 28/50 | 재적재 4 | 도착  34 | 2홉+ 0.56 | 도달  805 | 차단  774 | 정지 0.25 최장  10
Ep 204 | 배송 32/50 | 재적재 4 | 도착  33 | 2홉+ 0.64 | 도달 1001 | 차단  580 | 정지 0.09 최장   4
Ep 205 | 배송 38/50 | 재적재 5 | 도착  42 | 2홉+ 0.62 | 도달  885 | 차단  835 | 정지 0.69 최장   8
Ep 206 | 배송 37/50 | 재적재 5 | 도착  41 | 2홉+ 0.64 | 도달  985 | 차단 1121 | 정지 0.63 최장   6
Ep 207 | 배송 28/50 | 재적재 4 | 도착  29 | 2홉+ 0.68 | 도달  850 | 차단 1215 | 정지 0.46 최장   3
Ep 208 | 배송 32/50 | 재적재 4 | 도착  31 | 2홉+ 0.60 | 도달 1002 | 차단 1188 | 정지 0.27 최장   4
Ep 209 | 배송 21/50 | 재적재 2 | 도착  22 | 2홉+ 0.64 | 도달  656 | 차단 2147 | 정지 0.54 최장  64
Ep 210 | 배송 29/50 | 재적재 3 | 도착  32 | 2홉+ 0.58 | 도달  707 | 차단 1250 | 정지 0.07 최장   6
Ep 211 | 배송 19/50 | 재적재 0 | 도착  19 | 2홉+ 0.38 | 도달  667 | 차단  176 | 정지 0.16 최장   1
Ep 212 | 배송 34/50 | 재적재 4 | 도착  36 | 2홉+ 0.57 | 도달  828 | 차단  781 | 정지 0.41 최장   3
Ep 213 | 배송 27/50 | 재적재 3 | 도착  31 | 2홉+ 0.55 | 도달  870 | 차단 1714 | 정지 0.79 최장   4
Ep 214 | 배송 31/50 | 재적재 4 | 도착  36 | 2홉+ 0.52 | 도달  946 | 차단 1210 | 정지 0.14 최장   6
Ep 215 | 배송 38/50 | 재적재 5 | 도착  43 | 2홉+ 0.63 | 도달  848 | 차단  850 | 정지 0.23 최장   3
Ep 216 | 배송 36/50 | 재적재 4 | 도착  39 | 2홉+ 0.62 | 도달  863 | 차단  743 | 정지 0.70 최장   5
Ep 217 | 배송 25/50 | 재적재 3 | 도착  28 | 2홉+ 0.49 | 도달  639 | 차단  277 | 정지 0.04 최장   3
Ep 218 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.62 | 도달  852 | 차단  599 | 정지 0.20 최장   6
Ep 219 | 배송 36/50 | 재적재 5 | 도착  37 | 2홉+ 0.61 | 도달  854 | 차단  864 | 정지 0.83 최장   3
Ep 220 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.62 | 도달  920 | 차단  898 | 정지 0.49 최장   9
Ep 221 | 배송 30/50 | 재적재 4 | 도착  33 | 2홉+ 0.67 | 도달  878 | 차단  731 | 정지 0.20 최장   3
Ep 222 | 배송 26/50 | 재적재 3 | 도착  29 | 2홉+ 0.66 | 도달  903 | 차단 1477 | 정지 0.44 최장   4
Ep 223 | 배송 38/50 | 재적재 6 | 도착  42 | 2홉+ 0.60 | 도달  819 | 차단  838 | 정지 0.56 최장   6
Ep 224 | 배송 30/50 | 재적재 5 | 도착  34 | 2홉+ 0.48 | 도달  765 | 차단  565 | 정지 0.32 최장   7
Ep 225 | 배송 33/50 | 재적재 5 | 도착  41 | 2홉+ 0.61 | 도달  829 | 차단  742 | 정지 0.30 최장   4
Ep 226 | 배송 34/50 | 재적재 5 | 도착  41 | 2홉+ 0.56 | 도달  763 | 차단  938 | 정지 0.72 최장   8
Ep 227 | 배송 34/50 | 재적재 4 | 도착  36 | 2홉+ 0.63 | 도달  848 | 차단  842 | 정지 0.31 최장  10
Ep 228 | 배송 32/50 | 재적재 4 | 도착  35 | 2홉+ 0.59 | 도달  876 | 차단 1048 | 정지 0.22 최장   3
Ep 229 | 배송 39/50 | 재적재 5 | 도착  45 | 2홉+ 0.59 | 도달  873 | 차단  910 | 정지 0.21 최장   3
Ep 230 | 배송 36/50 | 재적재 5 | 도착  39 | 2홉+ 0.59 | 도달  798 | 차단  640 | 정지 0.05 최장   2
Ep 231 | 배송 39/50 | 재적재 5 | 도착  42 | 2홉+ 0.62 | 도달  868 | 차단  724 | 정지 0.55 최장   3
Ep 232 | 배송 20/50 | 재적재 1 | 도착  21 | 2홉+ 0.33 | 도달  628 | 차단  263 | 정지 0.05 최장   2
Ep 233 | 배송 36/50 | 재적재 5 | 도착  36 | 2홉+ 0.57 | 도달  936 | 차단  917 | 정지 0.19 최장  10
Ep 234 | 배송 31/50 | 재적재 5 | 도착  35 | 2홉+ 0.62 | 도달  827 | 차단 1007 | 정지 0.22 최장   4
Ep 235 | 배송 34/50 | 재적재 5 | 도착  37 | 2홉+ 0.54 | 도달  790 | 차단 1099 | 정지 0.03 최장   8
Ep 236 | 배송 35/50 | 재적재 5 | 도착  40 | 2홉+ 0.64 | 도달  867 | 차단  679 | 정지 0.14 최장   2
Ep 237 | 배송 33/50 | 재적재 6 | 도착  41 | 2홉+ 0.56 | 도달  733 | 차단  578 | 정지 0.14 최장   2
Ep 238 | 배송 33/50 | 재적재 5 | 도착  39 | 2홉+ 0.62 | 도달  950 | 차단 1138 | 정지 0.06 최장   8
Ep 239 | 배송 33/50 | 재적재 5 | 도착  38 | 2홉+ 0.62 | 도달  844 | 차단  926 | 정지 0.51 최장   6
Ep 240 | 배송 36/50 | 재적재 6 | 도착  44 | 2홉+ 0.56 | 도달  791 | 차단  654 | 정지 0.14 최장   6
Ep 241 | 배송 34/50 | 재적재 4 | 도착  37 | 2홉+ 0.57 | 도달  808 | 차단 1012 | 정지 0.36 최장  10
Ep 242 | 배송 39/50 | 재적재 5 | 도착  43 | 2홉+ 0.62 | 도달  889 | 차단  487 | 정지 0.12 최장   2
Ep 243 | 배송 37/50 | 재적재 6 | 도착  42 | 2홉+ 0.59 | 도달  761 | 차단  505 | 정지 0.08 최장   9
Ep 244 | 배송 33/50 | 재적재 4 | 도착  37 | 2홉+ 0.60 | 도달  802 | 차단  627 | 정지 0.53 최장   2
Ep 245 | 배송 38/50 | 재적재 7 | 도착  49 | 2홉+ 0.61 | 도달  796 | 차단  699 | 정지 0.11 최장   5
Ep 246 | 배송 36/50 | 재적재 4 | 도착  40 | 2홉+ 0.64 | 도달  908 | 차단  589 | 정지 0.52 최장   5
Ep 247 | 배송 37/50 | 재적재 5 | 도착  42 | 2홉+ 0.60 | 도달  850 | 차단  788 | 정지 0.20 최장   3
Ep 248 | 배송 34/50 | 재적재 6 | 도착  41 | 2홉+ 0.61 | 도달  781 | 차단  765 | 정지 0.03 최장   3
Ep 249 | 배송 34/50 | 재적재 4 | 도착  38 | 2홉+ 0.63 | 도달  908 | 차단 1109 | 정지 0.24 최장   3
Ep 250 | 배송 31/50 | 재적재 4 | 도착  36 | 2홉+ 0.61 | 도달  707 | 차단  692 | 정지 0.19 최장   2
  [홀드아웃] 배송 17.7±8.5 재적재 1.4 2홉+ 0.59 | 최고 22.3@ep100 정체 3/15
Ep 251 | 배송 33/50 | 재적재 4 | 도착  37 | 2홉+ 0.62 | 도달  821 | 차단  696 | 정지 0.47 최장   3
Ep 252 | 배송 34/50 | 재적재 5 | 도착  39 | 2홉+ 0.63 | 도달  852 | 차단  623 | 정지 0.00 최장   3
Ep 253 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.62 | 도달  798 | 차단  881 | 정지 0.29 최장   3
Ep 254 | 배송 36/50 | 재적재 5 | 도착  39 | 2홉+ 0.63 | 도달  762 | 차단  787 | 정지 0.67 최장   3
Ep 255 | 배송 29/50 | 재적재 5 | 도착  35 | 2홉+ 0.63 | 도달  717 | 차단  602 | 정지 0.28 최장   7
Ep 256 | 배송 35/50 | 재적재 6 | 도착  40 | 2홉+ 0.59 | 도달  736 | 차단  574 | 정지 0.25 최장   5
Ep 257 | 배송 35/50 | 재적재 4 | 도착  40 | 2홉+ 0.65 | 도달  896 | 차단  612 | 정지 0.02 최장   4
Ep 258 | 배송 34/50 | 재적재 4 | 도착  39 | 2홉+ 0.61 | 도달  862 | 차단  437 | 정지 0.02 최장   2
Ep 259 | 배송 34/50 | 재적재 6 | 도착  38 | 2홉+ 0.63 | 도달  810 | 차단  491 | 정지 0.02 최장   6
Ep 260 | 배송 34/50 | 재적재 4 | 도착  36 | 2홉+ 0.64 | 도달  998 | 차단  775 | 정지 0.04 최장   4
Ep 261 | 배송 34/50 | 재적재 5 | 도착  37 | 2홉+ 0.62 | 도달  812 | 차단  779 | 정지 0.21 최장   2
Ep 262 | 배송 36/50 | 재적재 5 | 도착  44 | 2홉+ 0.63 | 도달  811 | 차단  822 | 정지 0.14 최장   6
Ep 263 | 배송 33/50 | 재적재 5 | 도착  34 | 2홉+ 0.57 | 도달  823 | 차단  739 | 정지 0.04 최장   6
Ep 264 | 배송 35/50 | 재적재 6 | 도착  40 | 2홉+ 0.57 | 도달  877 | 차단  632 | 정지 0.42 최장   3
Ep 265 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.59 | 도달  711 | 차단  659 | 정지 0.49 최장   4
Ep 266 | 배송 32/50 | 재적재 6 | 도착  39 | 2홉+ 0.53 | 도달  760 | 차단  594 | 정지 0.19 최장   2
Ep 267 | 배송 36/50 | 재적재 6 | 도착  42 | 2홉+ 0.60 | 도달  823 | 차단  555 | 정지 0.47 최장   8
Ep 268 | 배송 37/50 | 재적재 4 | 도착  42 | 2홉+ 0.61 | 도달  786 | 차단  921 | 정지 0.06 최장  17
Ep 269 | 배송 35/50 | 재적재 5 | 도착  41 | 2홉+ 0.56 | 도달  819 | 차단  682 | 정지 0.18 최장   4
Ep 270 | 배송 31/50 | 재적재 4 | 도착  34 | 2홉+ 0.59 | 도달  768 | 차단  926 | 정지 0.69 최장  10
Ep 271 | 배송 24/50 | 재적재 2 | 도착  26 | 2홉+ 0.58 | 도달  670 | 차단 1092 | 정지 0.37 최장   3
Ep 272 | 배송 34/50 | 재적재 5 | 도착  40 | 2홉+ 0.60 | 도달  872 | 차단  556 | 정지 0.11 최장   3
Ep 273 | 배송 35/50 | 재적재 4 | 도착  39 | 2홉+ 0.59 | 도달  804 | 차단  404 | 정지 0.21 최장   3
Ep 274 | 배송 25/50 | 재적재 3 | 도착  30 | 2홉+ 0.66 | 도달 1074 | 차단 1577 | 정지 0.11 최장   6
Ep 275 | 배송 36/50 | 재적재 6 | 도착  44 | 2홉+ 0.63 | 도달  911 | 차단  529 | 정지 0.31 최장   3
Ep 276 | 배송 37/50 | 재적재 4 | 도착  40 | 2홉+ 0.62 | 도달  787 | 차단  628 | 정지 0.35 최장   2
Ep 277 | 배송 31/50 | 재적재 5 | 도착  37 | 2홉+ 0.59 | 도달  764 | 차단  803 | 정지 0.53 최장   3
Ep 278 | 배송 39/50 | 재적재 5 | 도착  44 | 2홉+ 0.59 | 도달  857 | 차단  554 | 정지 0.58 최장   3
Ep 279 | 배송 34/50 | 재적재 5 | 도착  39 | 2홉+ 0.55 | 도달  836 | 차단  568 | 정지 0.39 최장   5
Ep 280 | 배송 34/50 | 재적재 4 | 도착  37 | 2홉+ 0.61 | 도달  822 | 차단  977 | 정지 0.06 최장  10
Ep 281 | 배송 33/50 | 재적재 5 | 도착  39 | 2홉+ 0.55 | 도달  892 | 차단  950 | 정지 0.16 최장   7
Ep 282 | 배송 37/50 | 재적재 6 | 도착  46 | 2홉+ 0.56 | 도달  814 | 차단  601 | 정지 0.23 최장   5
Ep 283 | 배송 31/50 | 재적재 4 | 도착  34 | 2홉+ 0.54 | 도달  785 | 차단  516 | 정지 0.33 최장   3
Ep 284 | 배송 28/50 | 재적재 5 | 도착  34 | 2홉+ 0.57 | 도달  766 | 차단  856 | 정지 0.39 최장   6
Ep 285 | 배송 17/50 | 재적재 0 | 도착  16 | 2홉+ 0.41 | 도달  740 | 차단 1315 | 정지 0.26 최장   5
Ep 286 | 배송 22/50 | 재적재 3 | 도착  25 | 2홉+ 0.49 | 도달  662 | 차단 1635 | 정지 0.84 최장   3
Ep 287 | 배송 33/50 | 재적재 5 | 도착  35 | 2홉+ 0.60 | 도달  755 | 차단  427 | 정지 0.28 최장   3
Ep 288 | 배송 28/50 | 재적재 3 | 도착  31 | 2홉+ 0.65 | 도달  800 | 차단  773 | 정지 0.33 최장   3
Ep 289 | 배송 36/50 | 재적재 6 | 도착  41 | 2홉+ 0.60 | 도달  863 | 차단  792 | 정지 0.39 최장   3
Ep 290 | 배송 36/50 | 재적재 5 | 도착  39 | 2홉+ 0.63 | 도달  823 | 차단  670 | 정지 0.13 최장   8
Ep 291 | 배송 37/50 | 재적재 6 | 도착  43 | 2홉+ 0.59 | 도달  850 | 차단  662 | 정지 0.01 최장   3
Ep 292 | 배송 33/50 | 재적재 5 | 도착  40 | 2홉+ 0.59 | 도달  790 | 차단  518 | 정지 0.42 최장   2
Ep 293 | 배송 33/50 | 재적재 4 | 도착  33 | 2홉+ 0.61 | 도달  713 | 차단  896 | 정지 0.17 최장   4
Ep 294 | 배송 34/50 | 재적재 5 | 도착  40 | 2홉+ 0.61 | 도달  778 | 차단  574 | 정지 0.02 최장   7
Ep 295 | 배송 37/50 | 재적재 6 | 도착  45 | 2홉+ 0.62 | 도달  883 | 차단  993 | 정지 0.97 최장  31
Ep 296 | 배송 39/50 | 재적재 6 | 도착  43 | 2홉+ 0.63 | 도달  790 | 차단  726 | 정지 0.28 최장   4
Ep 297 | 배송 32/50 | 재적재 4 | 도착  38 | 2홉+ 0.56 | 도달  880 | 차단 1110 | 정지 0.91 최장   9
Ep 298 | 배송 33/50 | 재적재 5 | 도착  40 | 2홉+ 0.62 | 도달  755 | 차단  592 | 정지 0.32 최장   3
Ep 299 | 배송 35/50 | 재적재 4 | 도착  37 | 2홉+ 0.61 | 도달  915 | 차단  711 | 정지 0.07 최장  10
Ep 300 | 배송 39/50 | 재적재 7 | 도착  41 | 2홉+ 0.58 | 도달  872 | 차단  344 | 정지 0.35 최장   2
  [홀드아웃] 배송 23.4±8.6 재적재 2.2 2홉+ 0.62 | 최고 23.4@ep300 정체 0/15  ← 갱신
Ep 301 | 배송 30/50 | 재적재 4 | 도착  33 | 2홉+ 0.66 | 도달  885 | 차단 1388 | 정지 0.17 최장  10
Ep 302 | 배송 35/50 | 재적재 6 | 도착  41 | 2홉+ 0.60 | 도달  848 | 차단  561 | 정지 0.00 최장  10
Ep 303 | 배송 37/50 | 재적재 6 | 도착  44 | 2홉+ 0.60 | 도달  821 | 차단  597 | 정지 0.32 최장   4
Ep 304 | 배송 34/50 | 재적재 5 | 도착  41 | 2홉+ 0.59 | 도달 1049 | 차단  720 | 정지 0.38 최장   4
Ep 305 | 배송 33/50 | 재적재 5 | 도착  38 | 2홉+ 0.63 | 도달  872 | 차단  576 | 정지 0.01 최장  17
Ep 306 | 배송 37/50 | 재적재 5 | 도착  45 | 2홉+ 0.61 | 도달  889 | 차단  841 | 정지 0.29 최장   8
Ep 307 | 배송 38/50 | 재적재 5 | 도착  43 | 2홉+ 0.62 | 도달 1002 | 차단  774 | 정지 0.58 최장   3
Ep 308 | 배송 34/50 | 재적재 5 | 도착  40 | 2홉+ 0.63 | 도달  774 | 차단  812 | 정지 0.61 최장   2
Ep 309 | 배송 39/50 | 재적재 6 | 도착  46 | 2홉+ 0.62 | 도달  870 | 차단  733 | 정지 0.34 최장   6
Ep 310 | 배송 30/50 | 재적재 5 | 도착  37 | 2홉+ 0.62 | 도달  740 | 차단 1104 | 정지 0.01 최장   3
Ep 311 | 배송 36/50 | 재적재 5 | 도착  42 | 2홉+ 0.61 | 도달  816 | 차단  719 | 정지 0.31 최장   3
Ep 312 | 배송 35/50 | 재적재 5 | 도착  38 | 2홉+ 0.65 | 도달  846 | 차단  583 | 정지 0.29 최장   9
Ep 313 | 배송 29/50 | 재적재 3 | 도착  29 | 2홉+ 0.56 | 도달  654 | 차단  724 | 정지 0.29 최장   2
Ep 314 | 배송 41/50 | 재적재 6 | 도착  49 | 2홉+ 0.61 | 도달  886 | 차단  720 | 정지 0.11 최장   4
Ep 315 | 배송 30/50 | 재적재 3 | 도착  33 | 2홉+ 0.66 | 도달  896 | 차단  822 | 정지 0.01 최장   5
Ep 316 | 배송 35/50 | 재적재 5 | 도착  40 | 2홉+ 0.62 | 도달  785 | 차단  529 | 정지 0.06 최장   4
Ep 317 | 배송 34/50 | 재적재 6 | 도착  38 | 2홉+ 0.60 | 도달  789 | 차단  646 | 정지 0.39 최장   3
Ep 318 | 배송 37/50 | 재적재 5 | 도착  44 | 2홉+ 0.54 | 도달  862 | 차단  548 | 정지 0.58 최장   2
Ep 319 | 배송 36/50 | 재적재 5 | 도착  42 | 2홉+ 0.58 | 도달  891 | 차단 1042 | 정지 0.07 최장   3
Ep 320 | 배송 33/50 | 재적재 5 | 도착  39 | 2홉+ 0.61 | 도달  794 | 차단  645 | 정지 0.57 최장   1
Ep 321 | 배송 32/50 | 재적재 4 | 도착  37 | 2홉+ 0.60 | 도달  742 | 차단  844 | 정지 0.01 최장   8
Ep 322 | 배송 35/50 | 재적재 4 | 도착  39 | 2홉+ 0.64 | 도달  796 | 차단  845 | 정지 0.07 최장   7
Ep 323 | 배송 33/50 | 재적재 5 | 도착  41 | 2홉+ 0.61 | 도달  851 | 차단 1383 | 정지 0.99 최장 128
Ep 324 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.63 | 도달  825 | 차단  386 | 정지 0.00 최장   2
Ep 325 | 배송 30/50 | 재적재 5 | 도착  33 | 2홉+ 0.62 | 도달  845 | 차단  850 | 정지 0.04 최장   7
Ep 326 | 배송 29/50 | 재적재 4 | 도착  34 | 2홉+ 0.64 | 도달  778 | 차단  708 | 정지 0.01 최장   5
Ep 327 | 배송 33/50 | 재적재 4 | 도착  36 | 2홉+ 0.64 | 도달  769 | 차단  758 | 정지 0.04 최장   3
Ep 328 | 배송 28/50 | 재적재 4 | 도착  32 | 2홉+ 0.66 | 도달  936 | 차단 1074 | 정지 0.23 최장  10
Ep 329 | 배송 35/50 | 재적재 4 | 도착  38 | 2홉+ 0.61 | 도달  834 | 차단  872 | 정지 0.21 최장   3
Ep 330 | 배송 36/50 | 재적재 5 | 도착  44 | 2홉+ 0.63 | 도달  954 | 차단 1114 | 정지 0.56 최장   4
Ep 331 | 배송 38/50 | 재적재 7 | 도착  42 | 2홉+ 0.60 | 도달  965 | 차단  852 | 정지 0.12 최장   9
Ep 332 | 배송 36/50 | 재적재 5 | 도착  41 | 2홉+ 0.61 | 도달  771 | 차단  557 | 정지 0.05 최장   3
Ep 333 | 배송 36/50 | 재적재 6 | 도착  43 | 2홉+ 0.60 | 도달  914 | 차단  679 | 정지 0.80 최장   4
Ep 334 | 배송 35/50 | 재적재 5 | 도착  42 | 2홉+ 0.61 | 도달  793 | 차단  696 | 정지 0.61 최장   6
Ep 335 | 배송 41/50 | 재적재 6 | 도착  47 | 2홉+ 0.60 | 도달  893 | 차단  371 | 정지 0.19 최장   4
Ep 336 | 배송 34/50 | 재적재 5 | 도착  37 | 2홉+ 0.63 | 도달  893 | 차단  858 | 정지 0.03 최장   6
Ep 337 | 배송 39/50 | 재적재 7 | 도착  48 | 2홉+ 0.59 | 도달  906 | 차단  588 | 정지 0.35 최장   3
Ep 338 | 배송 33/50 | 재적재 4 | 도착  37 | 2홉+ 0.57 | 도달  976 | 차단 1156 | 정지 0.71 최장  10
Ep 339 | 배송 30/50 | 재적재 3 | 도착  34 | 2홉+ 0.67 | 도달  932 | 차단 1723 | 정지 0.42 최장   5
Ep 340 | 배송 36/50 | 재적재 5 | 도착  42 | 2홉+ 0.64 | 도달  844 | 차단  740 | 정지 0.32 최장  10
Ep 341 | 배송 35/50 | 재적재 5 | 도착  41 | 2홉+ 0.60 | 도달  769 | 차단  720 | 정지 0.24 최장   2
Ep 342 | 배송 30/50 | 재적재 4 | 도착  34 | 2홉+ 0.65 | 도달  816 | 차단 1195 | 정지 0.24 최장   1
Ep 343 | 배송 21/50 | 재적재 3 | 도착  24 | 2홉+ 0.52 | 도달  687 | 차단 1390 | 정지 0.17 최장  25
Ep 344 | 배송 37/50 | 재적재 5 | 도착  41 | 2홉+ 0.57 | 도달  784 | 차단  655 | 정지 0.19 최장   2
Ep 345 | 배송 38/50 | 재적재 6 | 도착  43 | 2홉+ 0.63 | 도달 1005 | 차단  725 | 정지 0.66 최장   7
Ep 346 | 배송 36/50 | 재적재 6 | 도착  41 | 2홉+ 0.62 | 도달  851 | 차단  761 | 정지 0.17 최장   3
Ep 347 | 배송 40/50 | 재적재 7 | 도착  46 | 2홉+ 0.62 | 도달  856 | 차단  668 | 정지 0.32 최장   1
Ep 348 | 배송 30/50 | 재적재 4 | 도착  37 | 2홉+ 0.63 | 도달  714 | 차단  751 | 정지 0.17 최장   5
Ep 349 | 배송 42/50 | 재적재 7 | 도착  49 | 2홉+ 0.58 | 도달  885 | 차단  488 | 정지 0.02 최장   4
Ep 350 | 배송 38/50 | 재적재 6 | 도착  45 | 2홉+ 0.61 | 도달  855 | 차단  734 | 정지 0.63 최장   8
