/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.15 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 46 | 드론6 목적지72 |  478스텝 | 배송 72/72 | 재적재 11 | 중계율 0.09 | alpha 0.816 | complete
Ep 47 | 드론4 목적지69 |  926스텝 | 배송 69/69 | 재적재 12 | 중계율 0.15 | alpha 0.869 | complete
Ep 48 | 드론4 목적지56 |  700스텝 | 배송 56/56 | 재적재 10 | 중계율 0.14 | alpha 0.912 | complete
Ep 49 | 드론6 목적지78 |  621스텝 | 배송 78/78 | 재적재 13 | 중계율 0.18 | alpha 0.951 | complete
Ep 50 | 드론5 목적지40 |  817스텝 | 배송 40/40 | 재적재  6 | 중계율 0.38 | alpha 1.003 | complete
  [홀드아웃] 배송 49.3±2.1 완주 0.85 스텝 1171 점수 91.1 재적재 8.2 2홉+ 0.64 | 최고 91.1@ep50 정체 0/15  ← 갱신
Ep 51 | 드론6 목적지51 |  359스텝 | 배송 51/51 | 재적재  7 | 중계율 0.12 | alpha 1.026 | complete
Ep 52 | 드론3 목적지42 |  733스텝 | 배송 42/42 | 재적재  8 | 중계율 0.17 | alpha 1.076 | complete
Ep 53 | 드론6 목적지60 |  446스텝 | 배송 60/60 | 재적재  9 | 중계율 0.12 | alpha 1.108 | complete
Ep 54 | 드론4 목적지49 |  579스텝 | 배송 49/49 | 재적재  8 | 중계율 0.16 | alpha 1.150 | complete
Ep 55 | 드론4 목적지40 |  606스텝 | 배송 40/40 | 재적재  6 | 중계율 0.15 | alpha 1.195 | complete
