/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=고정 드론 4 목적지 50 인스턴스=무작위 목표유지=off
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:282: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 42 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.21 | alpha 0.963 | step_limit
Ep 43 | 드론4 목적지50 | 1000스텝 | 배송 39/50 | 재적재  6 | 중계율 0.18 | alpha 0.971 | step_limit
Ep 44 | 드론4 목적지50 | 1000스텝 | 배송 40/50 | 재적재  6 | 중계율 0.17 | alpha 0.988 | step_limit
Ep 45 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.20 | alpha 1.014 | step_limit
Ep 46 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  7 | 중계율 0.18 | alpha 1.036 | step_limit
Ep 47 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.18 | alpha 1.056 | step_limit
Ep 48 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.19 | alpha 1.067 | step_limit
Ep 49 | 드론4 목적지50 | 1000스텝 | 배송 40/50 | 재적재  7 | 중계율 0.17 | alpha 1.081 | step_limit
Ep 50 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  7 | 중계율 0.22 | alpha 1.090 | step_limit
  [홀드아웃] 배송 45.3±4.0 완주 0.25 재적재 7.3 2홉+ 0.61 | 최고 45.3@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지50 |  750스텝 | 배송 50/50 | 재적재  8 | 중계율 0.15 | alpha 1.101 | complete
Ep 52 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  6 | 중계율 0.16 | alpha 1.114 | step_limit
Ep 53 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.14 | alpha 1.126 | step_limit
Ep 54 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.25 | alpha 1.116 | step_limit
Ep 55 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.19 | alpha 1.101 | step_limit
Ep 56 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.19 | alpha 1.092 | step_limit
Ep 57 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.19 | alpha 1.057 | step_limit
Ep 58 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.24 | alpha 1.029 | step_limit
Ep 59 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.22 | alpha 0.982 | step_limit
Ep 60 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.21 | alpha 0.950 | step_limit
Ep 61 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.20 | alpha 0.944 | step_limit
Ep 62 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.19 | alpha 0.975 | step_limit
Ep 63 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  7 | 중계율 0.20 | alpha 1.016 | step_limit
Ep 64 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.19 | alpha 1.048 | step_limit
Ep 65 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  8 | 중계율 0.17 | alpha 1.062 | step_limit
Ep 66 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  9 | 중계율 0.15 | alpha 1.075 | step_limit
Ep 67 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.21 | alpha 1.083 | step_limit
Ep 68 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  6 | 중계율 0.16 | alpha 1.081 | step_limit
Ep 69 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.16 | alpha 1.078 | step_limit
Ep 70 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  9 | 중계율 0.16 | alpha 1.079 | step_limit
Ep 71 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.14 | alpha 1.104 | step_limit
Ep 72 | 드론4 목적지50 |  971스텝 | 배송 50/50 | 재적재  9 | 중계율 0.12 | alpha 1.158 | complete
Ep 73 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.10 | alpha 1.190 | step_limit
Ep 74 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  7 | 중계율 0.14 | alpha 1.218 | step_limit
Ep 75 | 드론4 목적지50 |  985스텝 | 배송 50/50 | 재적재  9 | 중계율 0.19 | alpha 1.222 | complete
Ep 76 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  6 | 중계율 0.12 | alpha 1.234 | step_limit
Ep 77 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  8 | 중계율 0.14 | alpha 1.223 | step_limit
Ep 78 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.14 | alpha 1.212 | step_limit
Ep 79 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.13 | alpha 1.223 | step_limit
Ep 80 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.15 | alpha 1.237 | step_limit
Ep 81 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  8 | 중계율 0.15 | alpha 1.237 | step_limit
Ep 82 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.14 | alpha 1.233 | step_limit
Ep 83 | 드론4 목적지50 |  966스텝 | 배송 50/50 | 재적재  8 | 중계율 0.14 | alpha 1.258 | complete
Ep 84 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.20 | alpha 1.279 | step_limit
Ep 85 | 드론4 목적지50 |  966스텝 | 배송 50/50 | 재적재  9 | 중계율 0.09 | alpha 1.314 | complete
Ep 86 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.09 | alpha 1.318 | step_limit
Ep 87 | 드론4 목적지50 | 1000스텝 | 배송 40/50 | 재적재  6 | 중계율 0.08 | alpha 1.356 | step_limit
Ep 88 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  8 | 중계율 0.11 | alpha 1.345 | step_limit
Ep 89 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.16 | alpha 1.315 | step_limit
Ep 90 | 드론4 목적지50 | 1000스텝 | 배송 38/50 | 재적재  7 | 중계율 0.12 | alpha 1.307 | step_limit
