/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=off 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 52 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.41 교착최장  86 | step_limit
Ep 53 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.28 교착최장  21 | step_limit
Ep 54 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.31 교착최장  28 | step_limit
Ep 55 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.60 교착최장  84 | step_limit
Ep 56 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.71 교착최장 220 | step_limit
Ep 57 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.49 교착최장  77 | step_limit
Ep 58 |  1000스텝 | 배송 35/50 | 재적재  6 | 정지 0.53 교착최장  72 | step_limit
Ep 59 |   948스텝 | 배송 31/50 | 재적재  3 | 정지 0.68 교착최장 499 | no_progress
Ep 60 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.41 교착최장  59 | step_limit
Ep 61 |  1000스텝 | 배송 48/50 | 재적재  9 | 정지 0.34 교착최장  38 | step_limit
Ep 62 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.50 교착최장  39 | step_limit
Ep 63 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.34 교착최장  44 | step_limit
Ep 64 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.36 교착최장  19 | step_limit
Ep 65 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.29 교착최장  44 | step_limit
Ep 66 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.51 교착최장  59 | step_limit
Ep 67 |  1000스텝 | 배송 49/50 | 재적재  8 | 정지 0.27 교착최장  27 | step_limit
Ep 68 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.46 교착최장  91 | step_limit
Ep 69 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.23 교착최장  19 | step_limit
Ep 70 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.36 교착최장  47 | step_limit
Ep 71 |  1000스텝 | 배송 40/50 | 재적재  5 | 정지 0.39 교착최장  58 | step_limit
Ep 72 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.53 교착최장  94 | step_limit
Ep 73 |  1000스텝 | 배송 37/50 | 재적재  6 | 정지 0.50 교착최장  46 | step_limit
Ep 74 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.65 교착최장 177 | step_limit
Ep 75 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.36 교착최장  83 | step_limit
Ep 76 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.51 교착최장  39 | step_limit
Ep 77 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.49 교착최장 172 | step_limit
Ep 78 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.43 교착최장  31 | step_limit
Ep 79 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.33 교착최장  16 | step_limit
