/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=고정 드론 4 목적지 50 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan/속도가중치=40.0
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:354: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 41 | 드론4 목적지50 |  803스텝 | 배송 50/50 | 재적재  8 | 중계율 0.29 | alpha 0.917 | complete
Ep 42 | 드론4 목적지50 |  780스텝 | 배송 50/50 | 재적재  7 | 중계율 0.28 | alpha 0.965 | complete
Ep 43 | 드론4 목적지50 |  959스텝 | 배송 50/50 | 재적재  8 | 중계율 0.27 | alpha 1.024 | complete
Ep 44 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  6 | 중계율 0.26 | alpha 1.089 | step_limit
Ep 45 | 드론4 목적지50 |  782스텝 | 배송 50/50 | 재적재  6 | 중계율 0.28 | alpha 1.143 | complete
Ep 46 | 드론4 목적지50 |  885스텝 | 배송 50/50 | 재적재  8 | 중계율 0.30 | alpha 1.202 | complete
Ep 47 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.36 | alpha 1.270 | step_limit
Ep 48 | 드론4 목적지50 |  941스텝 | 배송 50/50 | 재적재  8 | 중계율 0.31 | alpha 1.336 | complete
Ep 49 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  7 | 중계율 0.31 | alpha 1.411 | step_limit
Ep 50 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  6 | 중계율 0.30 | alpha 1.489 | step_limit
  [홀드아웃] 배송 49.9±1.1 완주 0.99 스텝 936 점수 126.3 재적재 7.8 2홉+ 0.63 | 최고 126.3@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지50 |  908스텝 | 배송 50/50 | 재적재  8 | 중계율 0.28 | alpha 1.560 | complete
Ep 52 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.28 | alpha 1.641 | step_limit
Ep 53 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.30 | alpha 1.725 | step_limit
Ep 54 | 드론4 목적지50 |  748스텝 | 배송 50/50 | 재적재  8 | 중계율 0.25 | alpha 1.782 | complete
Ep 55 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.30 | alpha 1.861 | step_limit
Ep 56 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.27 | alpha 1.944 | step_limit
Ep 57 | 드론4 목적지50 |  930스텝 | 배송 50/50 | 재적재  9 | 중계율 0.29 | alpha 2.017 | complete
Ep 58 | 드론4 목적지50 |  873스텝 | 배송 50/50 | 재적재  7 | 중계율 0.31 | alpha 2.085 | complete
Ep 59 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  9 | 중계율 0.30 | alpha 2.159 | step_limit
Ep 60 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.30 | alpha 2.215 | step_limit
Ep 61 | 드론4 목적지50 |  853스텝 | 배송 50/50 | 재적재  7 | 중계율 0.21 | alpha 2.256 | complete
Ep 62 | 드론4 목적지50 |  983스텝 | 배송 50/50 | 재적재  8 | 중계율 0.30 | alpha 2.285 | complete
Ep 63 | 드론4 목적지50 |  985스텝 | 배송 50/50 | 재적재  8 | 중계율 0.31 | alpha 2.307 | complete
Ep 64 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  5 | 중계율 0.26 | alpha 2.321 | step_limit
Ep 65 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  9 | 중계율 0.28 | alpha 2.319 | step_limit
Ep 66 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  7 | 중계율 0.33 | alpha 2.305 | step_limit
Ep 67 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  9 | 중계율 0.29 | alpha 2.292 | step_limit
Ep 68 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.30 | alpha 2.282 | step_limit
Ep 69 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.23 | alpha 2.290 | step_limit
Ep 70 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.26 | alpha 2.264 | step_limit
Ep 71 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.25 | alpha 2.235 | step_limit
Ep 72 | 드론4 목적지50 |  952스텝 | 배송 50/50 | 재적재  8 | 중계율 0.29 | alpha 2.225 | complete
Ep 73 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  9 | 중계율 0.26 | alpha 2.233 | step_limit
Ep 74 | 드론4 목적지50 |  880스텝 | 배송 50/50 | 재적재  9 | 중계율 0.26 | alpha 2.236 | complete
Ep 75 | 드론4 목적지50 |  675스텝 | 배송 50/50 | 재적재  7 | 중계율 0.26 | alpha 2.235 | complete
Ep 76 | 드론4 목적지50 |  748스텝 | 배송 50/50 | 재적재  7 | 중계율 0.24 | alpha 2.233 | complete
Ep 77 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  7 | 중계율 0.28 | alpha 2.226 | step_limit
Ep 78 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  7 | 중계율 0.26 | alpha 2.200 | step_limit
Ep 79 | 드론4 목적지50 |  941스텝 | 배송 50/50 | 재적재  8 | 중계율 0.29 | alpha 2.177 | complete
Ep 80 | 드론4 목적지50 |  781스텝 | 배송 50/50 | 재적재  7 | 중계율 0.29 | alpha 2.179 | complete
Ep 81 | 드론4 목적지50 |  999스텝 | 배송 50/50 | 재적재  7 | 중계율 0.26 | alpha 2.199 | complete
Ep 82 | 드론4 목적지50 |  794스텝 | 배송 50/50 | 재적재  8 | 중계율 0.26 | alpha 2.187 | complete
Ep 83 | 드론4 목적지50 |  943스텝 | 배송 50/50 | 재적재  9 | 중계율 0.24 | alpha 2.180 | complete
Ep 84 | 드론4 목적지50 |  822스텝 | 배송 50/50 | 재적재  9 | 중계율 0.28 | alpha 2.179 | complete
Ep 85 | 드론4 목적지50 |  660스텝 | 배송 50/50 | 재적재  7 | 중계율 0.25 | alpha 2.161 | complete
Ep 86 | 드론4 목적지50 | 1000스텝 | 배송 38/50 | 재적재  6 | 중계율 0.26 | alpha 2.160 | step_limit
Ep 87 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.28 | alpha 2.121 | step_limit
Ep 88 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  7 | 중계율 0.31 | alpha 2.065 | step_limit
Ep 89 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  6 | 중계율 0.27 | alpha 2.032 | step_limit
Ep 90 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  9 | 중계율 0.24 | alpha 2.041 | step_limit
Ep 91 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.28 | alpha 2.059 | step_limit
Ep 92 | 드론4 목적지50 |  937스텝 | 배송 50/50 | 재적재  8 | 중계율 0.28 | alpha 2.057 | complete
Ep 93 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.21 | alpha 2.063 | step_limit
Ep 94 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  7 | 중계율 0.26 | alpha 2.037 | step_limit
Ep 95 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.32 | alpha 2.004 | step_limit
Ep 96 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.32 | alpha 2.012 | step_limit
Ep 97 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.31 | alpha 2.030 | step_limit
Ep 98 | 드론4 목적지50 |  879스텝 | 배송 50/50 | 재적재  9 | 중계율 0.24 | alpha 2.011 | complete
Ep 99 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.26 | alpha 2.002 | step_limit
Ep 100 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  9 | 중계율 0.28 | alpha 1.991 | step_limit
  [홀드아웃] 배송 49.4±3.1 완주 0.95 스텝 1040 점수 121.1 재적재 8.1 2홉+ 0.62 | 최고 126.3@ep50 정체 1/15
Ep 101 | 드론4 목적지50 |  786스텝 | 배송 50/50 | 재적재  8 | 중계율 0.25 | alpha 1.961 | complete
Ep 102 | 드론4 목적지50 |  977스텝 | 배송 50/50 | 재적재  8 | 중계율 0.30 | alpha 1.924 | complete
Ep 103 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  9 | 중계율 0.23 | alpha 1.907 | step_limit
Ep 104 | 드론4 목적지50 |  740스텝 | 배송 50/50 | 재적재  8 | 중계율 0.24 | alpha 1.915 | complete
Ep 105 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.26 | alpha 1.910 | step_limit
Ep 106 | 드론4 목적지50 |  904스텝 | 배송 50/50 | 재적재  9 | 중계율 0.25 | alpha 1.923 | complete
Ep 107 | 드론4 목적지50 |  983스텝 | 배송 50/50 | 재적재  9 | 중계율 0.27 | alpha 1.932 | complete
Ep 108 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  7 | 중계율 0.29 | alpha 1.929 | step_limit
Ep 109 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.25 | alpha 1.913 | step_limit
Ep 110 | 드론4 목적지50 |  677스텝 | 배송 50/50 | 재적재  7 | 중계율 0.26 | alpha 1.896 | complete
Ep 111 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.29 | alpha 1.856 | step_limit
Ep 112 | 드론4 목적지50 |  839스텝 | 배송 50/50 | 재적재  7 | 중계율 0.25 | alpha 1.820 | complete
Ep 113 | 드론4 목적지50 |  643스텝 | 배송 50/50 | 재적재  7 | 중계율 0.22 | alpha 1.786 | complete
