/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.2@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 40 | 드론4 목적지56 |  781스텝 | 배송 56/56 | 재적재  9 | 중계율 0.27 | alpha 0.754 | complete
Ep 41 | 드론4 목적지21 |  976스텝 | 배송 19/21 | 재적재  2 | 중계율 0.45 | alpha 0.808 | no_progress
Ep 42 | 드론3 목적지24 |  536스텝 | 배송 24/24 | 재적재  3 | 중계율 0.35 | alpha 0.839 | complete
Ep 43 | 드론3 목적지52 |  957스텝 | 배송 52/52 | 재적재  8 | 중계율 0.22 | alpha 0.897 | complete
Ep 44 | 드론3 목적지72 | 1000스텝 | 배송 62/72 | 재적재 11 | 중계율 0.18 | alpha 0.963 | step_limit
Ep 45 | 드론3 목적지52 | 1000스텝 | 배송 51/52 | 재적재  9 | 중계율 0.31 | alpha 1.033 | step_limit
Ep 46 | 드론4 목적지72 |  861스텝 | 배송 72/72 | 재적재 13 | 중계율 0.22 | alpha 1.095 | complete
Ep 47 | 드론3 목적지69 | 1000스텝 | 배송 68/69 | 재적재 12 | 중계율 0.22 | alpha 1.170 | step_limit
Ep 48 | 드론3 목적지56 | 1000스텝 | 배송 52/56 | 재적재  9 | 중계율 0.21 | alpha 1.249 | step_limit
Ep 49 | 드론4 목적지78 | 1000스텝 | 배송 76/78 | 재적재 13 | 중계율 0.25 | alpha 1.331 | step_limit
Ep 50 | 드론4 목적지40 | 1000스텝 | 배송 30/40 | 재적재  3 | 중계율 0.41 | alpha 1.418 | step_limit
  [홀드아웃] 배송 49.9±1.1 완주 0.99 스텝 975 점수 105.5 재적재 7.6 2홉+ 0.62 | 최고 105.5@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지51 |  585스텝 | 배송 51/51 | 재적재  9 | 중계율 0.23 | alpha 1.471 | complete
Ep 52 | 드론3 목적지42 |  656스텝 | 배송 42/42 | 재적재  7 | 중계율 0.22 | alpha 1.531 | complete
Ep 53 | 드론4 목적지60 |  673스텝 | 배송 60/60 | 재적재 10 | 중계율 0.17 | alpha 1.596 | complete
Ep 54 | 드론3 목적지49 |  722스텝 | 배송 49/49 | 재적재  8 | 중계율 0.18 | alpha 1.667 | complete
Ep 55 | 드론3 목적지40 |  857스텝 | 배송 40/40 | 재적재  7 | 중계율 0.24 | alpha 1.757 | complete
