/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.15->-1.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 22 | 드론4 목적지43 |  482스텝 | 배송 43/43 | 재적재  7 | 중계율 0.15 | alpha 0.110 | complete
Ep 23 | 드론3 목적지22 |  501스텝 | 배송 22/22 | 재적재  3 | 중계율 0.29 | alpha 0.110 | complete
Ep 24 | 드론4 목적지35 |  673스텝 | 배송 35/35 | 재적재  5 | 중계율 0.21 | alpha 0.112 | complete
Ep 25 | 드론5 목적지25 |  301스텝 | 배송 25/25 | 재적재  3 | 중계율 0.27 | alpha 0.112 | complete
Ep 26 | 드론4 목적지79 |  944스텝 | 배송 79/79 | 재적재 14 | 중계율 0.24 | alpha 0.113 | complete
Ep 27 | 드론6 목적지63 |  630스텝 | 배송 63/63 | 재적재 10 | 중계율 0.24 | alpha 0.113 | complete
Ep 28 | 드론3 목적지77 | 1000스텝 | 배송 63/77 | 재적재 11 | 중계율 0.26 | alpha 0.111 | step_limit
Ep 29 | 드론4 목적지34 |  570스텝 | 배송 34/34 | 재적재  6 | 중계율 0.21 | alpha 0.110 | complete
Ep 30 | 드론4 목적지25 |  392스텝 | 배송 25/25 | 재적재  2 | 중계율 0.26 | alpha 0.109 | complete
Ep 31 | 드론6 목적지68 |  477스텝 | 배송 68/68 | 재적재 10 | 중계율 0.14 | alpha 0.107 | complete
Ep 32 | 드론4 목적지79 | 1000스텝 | 배송 72/79 | 재적재 13 | 중계율 0.24 | alpha 0.101 | step_limit
Ep 33 | 드론4 목적지62 |  949스텝 | 배송 62/62 | 재적재  9 | 중계율 0.28 | alpha 0.095 | complete
Ep 34 | 드론4 목적지33 |  512스텝 | 배송 33/33 | 재적재  5 | 중계율 0.13 | alpha 0.092 | complete
Ep 35 | 드론4 목적지26 |  365스텝 | 배송 26/26 | 재적재  4 | 중계율 0.22 | alpha 0.090 | complete
Ep 36 | 드론4 목적지57 | 1000스텝 | 배송 55/57 | 재적재 11 | 중계율 0.35 | alpha 0.085 | step_limit
Ep 37 | 드론4 목적지29 |  653스텝 | 배송 29/29 | 재적재  4 | 중계율 0.25 | alpha 0.081 | complete
Ep 38 | 드론5 목적지63 |  745스텝 | 배송 63/63 | 재적재 11 | 중계율 0.24 | alpha 0.077 | complete
Ep 39 | 드론5 목적지44 |  740스텝 | 배송 44/44 | 재적재  6 | 중계율 0.25 | alpha 0.073 | complete
