/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->-1.0@0 자기회귀=True 홀드아웃상한=3000 선택=makespan/속도가중치=40.0
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:354: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론4 목적지43 | 1000스텝 | 배송 42/43 | 재적재  8 | 중계율 0.09 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지74 | 1000스텝 | 배송 61/74 | 재적재 10 | 중계율 0.07 | alpha 0.100 | step_limit
Ep 3 | 드론4 목적지43 | 1000스텝 | 배송 41/43 | 재적재  6 | 중계율 0.06 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지23 | 1000스텝 | 배송 21/23 | 재적재  2 | 중계율 0.11 | alpha 0.100 | step_limit
Ep 5 | 드론3 목적지31 | 1000스텝 | 배송 28/31 | 재적재  4 | 중계율 0.20 | alpha 0.101 | step_limit
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 59/68 | 재적재 10 | 중계율 0.21 | alpha 0.111 | step_limit
Ep 7 | 드론4 목적지44 |  638스텝 | 배송 44/44 | 재적재  6 | 중계율 0.36 | alpha 0.118 | complete
Ep 8 | 드론4 목적지30 |  381스텝 | 배송 30/30 | 재적재  4 | 중계율 0.29 | alpha 0.122 | complete
Ep 9 | 드론4 목적지42 |  786스텝 | 배송 42/42 | 재적재  6 | 중계율 0.36 | alpha 0.131 | complete
Ep 10 | 드론4 목적지47 |  886스텝 | 배송 37/47 | 재적재  6 | 중계율 0.33 | alpha 0.140 | no_progress
Ep 11 | 드론4 목적지21 |  411스텝 | 배송 21/21 | 재적재  2 | 중계율 0.28 | alpha 0.145 | complete
Ep 12 | 드론3 목적지37 |  563스텝 | 배송 37/37 | 재적재  6 | 중계율 0.25 | alpha 0.151 | complete
Ep 13 | 드론4 목적지28 |  450스텝 | 배송 28/28 | 재적재  4 | 중계율 0.25 | alpha 0.156 | complete
Ep 14 | 드론3 목적지41 |  645스텝 | 배송 41/41 | 재적재  7 | 중계율 0.33 | alpha 0.164 | complete
Ep 15 | 드론3 목적지66 | 1000스텝 | 배송 64/66 | 재적재 10 | 중계율 0.28 | alpha 0.176 | step_limit
Ep 16 | 드론3 목적지71 | 1000스텝 | 배송 54/71 | 재적재  9 | 중계율 0.28 | alpha 0.189 | step_limit
Ep 17 | 드론3 목적지24 |  791스텝 | 배송 24/24 | 재적재  2 | 중계율 0.40 | alpha 0.200 | complete
Ep 18 | 드론4 목적지49 |  651스텝 | 배송 49/49 | 재적재  6 | 중계율 0.31 | alpha 0.210 | complete
Ep 19 | 드론4 목적지34 |  487스텝 | 배송 34/34 | 재적재  5 | 중계율 0.32 | alpha 0.218 | complete
Ep 20 | 드론3 목적지48 | 1000스텝 | 배송 24/48 | 재적재  4 | 중계율 0.21 | alpha 0.234 | step_limit
Ep 21 | 드론3 목적지63 | 1000스텝 | 배송 62/63 | 재적재 10 | 중계율 0.30 | alpha 0.252 | step_limit
Ep 22 | 드론4 목적지46 |  713스텝 | 배송 46/46 | 재적재  7 | 중계율 0.34 | alpha 0.266 | complete
Ep 23 | 드론3 목적지44 |  911스텝 | 배송 44/44 | 재적재  6 | 중계율 0.33 | alpha 0.284 | complete
Ep 24 | 드론4 목적지41 |  822스텝 | 배송 41/41 | 재적재  5 | 중계율 0.30 | alpha 0.302 | complete
Ep 25 | 드론4 목적지38 |  576스텝 | 배송 38/38 | 재적재  5 | 중계율 0.29 | alpha 0.315 | complete
Ep 26 | 드론4 목적지77 | 1000스텝 | 배송 73/77 | 재적재 12 | 중계율 0.29 | alpha 0.339 | step_limit
Ep 27 | 드론3 목적지41 |  940스텝 | 배송 41/41 | 재적재  8 | 중계율 0.33 | alpha 0.363 | complete
Ep 28 | 드론4 목적지52 | 1000스텝 | 배송 48/52 | 재적재  7 | 중계율 0.42 | alpha 0.390 | step_limit
Ep 29 | 드론4 목적지72 | 1000스텝 | 배송 65/72 | 재적재 10 | 중계율 0.36 | alpha 0.419 | step_limit
Ep 30 | 드론4 목적지61 | 1000스텝 | 배송 58/61 | 재적재  9 | 중계율 0.40 | alpha 0.451 | step_limit
Ep 31 | 드론4 목적지45 |  847스텝 | 배송 45/45 | 재적재  8 | 중계율 0.31 | alpha 0.479 | complete
Ep 32 | 드론3 목적지68 | 1000스텝 | 배송 60/68 | 재적재 11 | 중계율 0.24 | alpha 0.514 | step_limit
Ep 33 | 드론3 목적지35 |  742스텝 | 배송 35/35 | 재적재  6 | 중계율 0.25 | alpha 0.542 | complete
Ep 34 | 드론3 목적지24 |  374스텝 | 배송 24/24 | 재적재  4 | 중계율 0.22 | alpha 0.557 | complete
Ep 35 | 드론3 목적지58 | 1000스텝 | 배송 54/58 | 재적재 10 | 중계율 0.23 | alpha 0.599 | step_limit
Ep 36 | 드론3 목적지64 | 1000스텝 | 배송 60/64 | 재적재 10 | 중계율 0.29 | alpha 0.643 | step_limit
Ep 37 | 드론4 목적지58 | 1000스텝 | 배송 54/58 | 재적재  8 | 중계율 0.41 | alpha 0.691 | step_limit
Ep 38 | 드론3 목적지77 | 1000스텝 | 배송 50/77 | 재적재  9 | 중계율 0.25 | alpha 0.741 | step_limit
Ep 39 | 드론3 목적지28 |  773스텝 | 배송 28/28 | 재적재  5 | 중계율 0.34 | alpha 0.782 | complete
Ep 40 | 드론3 목적지37 | 1000스텝 | 배송 34/37 | 재적재  6 | 중계율 0.27 | alpha 0.839 | step_limit
Ep 41 | 드론4 목적지59 |  593스텝 | 배송 59/59 | 재적재 10 | 중계율 0.18 | alpha 0.875 | complete
Ep 42 | 드론4 목적지58 |  956스텝 | 배송 58/58 | 재적재  9 | 중계율 0.38 | alpha 0.935 | complete
Ep 43 | 드론4 목적지20 |  355스텝 | 배송 20/20 | 재적재  3 | 중계율 0.23 | alpha 0.958 | complete
Ep 44 | 드론4 목적지30 |  471스텝 | 배송 30/30 | 재적재  4 | 중계율 0.18 | alpha 0.990 | complete
