/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:311: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 41 | 드론5 목적지59 |  856스텝 | 배송 59/59 | 재적재 10 | 중계율 0.14 | alpha 0.789 | complete
Ep 42 | 드론6 목적지58 |  708스텝 | 배송 58/58 | 재적재  9 | 중계율 0.07 | alpha 0.827 | complete
Ep 43 | 드론6 목적지20 |  275스텝 | 배송 20/20 | 재적재  1 | 중계율 0.02 | alpha 0.842 | complete
Ep 44 | 드론6 목적지30 |  443스텝 | 배송 30/30 | 재적재  3 | 중계율 0.04 | alpha 0.865 | complete
Ep 45 | 드론6 목적지39 |  630스텝 | 배송 39/39 | 재적재  5 | 중계율 0.06 | alpha 0.898 | complete
Ep 46 | 드론6 목적지32 |  433스텝 | 배송 32/32 | 재적재  4 | 중계율 0.09 | alpha 0.919 | complete
Ep 47 | 드론5 목적지35 |  642스텝 | 배송 35/35 | 재적재  6 | 중계율 0.18 | alpha 0.948 | complete
Ep 48 | 드론5 목적지39 | 1000스텝 | 배송 38/39 | 재적재  5 | 중계율 0.15 | alpha 0.991 | step_limit
Ep 49 | 드론5 목적지47 | 1000스텝 | 배송 44/47 | 재적재  7 | 중계율 0.15 | alpha 1.026 | step_limit
Ep 50 | 드론4 목적지72 | 1000스텝 | 배송 58/72 | 재적재 10 | 중계율 0.21 | alpha 1.057 | step_limit
  [홀드아웃] 배송 48.2±4.1 완주 0.67 스텝 1607 점수 71.3 재적재 7.8 2홉+ 0.66 | 최고 71.3@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지71 | 1000스텝 | 배송 67/71 | 재적재 12 | 중계율 0.15 | alpha 1.088 | step_limit
Ep 52 | 드론4 목적지45 |  645스텝 | 배송 45/45 | 재적재  7 | 중계율 0.13 | alpha 1.109 | complete
Ep 53 | 드론6 목적지64 |  656스텝 | 배송 64/64 | 재적재 11 | 중계율 0.11 | alpha 1.131 | complete
Ep 54 | 드론5 목적지24 |  349스텝 | 배송 24/24 | 재적재  3 | 중계율 0.12 | alpha 1.144 | complete
Ep 55 | 드론6 목적지60 |  595스텝 | 배송 60/60 | 재적재  9 | 중계율 0.12 | alpha 1.166 | complete
Ep 56 | 드론6 목적지20 |  179스텝 | 배송 20/20 | 재적재  0 | 중계율 0.02 | alpha 1.173 | complete
Ep 57 | 드론5 목적지61 |  849스텝 | 배송 61/61 | 재적재  9 | 중계율 0.12 | alpha 1.207 | complete
Ep 58 | 드론5 목적지77 | 1000스텝 | 배송 71/77 | 재적재 12 | 중계율 0.12 | alpha 1.243 | step_limit
Ep 59 | 드론5 목적지40 |  681스텝 | 배송 40/40 | 재적재  7 | 중계율 0.15 | alpha 1.264 | complete
Ep 60 | 드론3 목적지76 | 1000스텝 | 배송 46/76 | 재적재  8 | 중계율 0.19 | alpha 1.296 | step_limit
Ep 61 | 드론5 목적지66 | 1000스텝 | 배송 65/66 | 재적재 11 | 중계율 0.14 | alpha 1.316 | step_limit
Ep 62 | 드론5 목적지43 |  846스텝 | 배송 43/43 | 재적재  7 | 중계율 0.11 | alpha 1.332 | complete
Ep 63 | 드론5 목적지57 |  830스텝 | 배송 57/57 | 재적재 10 | 중계율 0.11 | alpha 1.347 | complete
Ep 64 | 드론3 목적지52 | 1000스텝 | 배송 49/52 | 재적재  8 | 중계율 0.15 | alpha 1.364 | step_limit
Ep 65 | 드론5 목적지42 |  505스텝 | 배송 42/42 | 재적재  6 | 중계율 0.08 | alpha 1.375 | complete
Ep 66 | 드론4 목적지41 |  932스텝 | 배송 31/41 | 재적재  4 | 중계율 0.09 | alpha 1.401 | no_progress
Ep 67 | 드론5 목적지23 |  252스텝 | 배송 23/23 | 재적재  2 | 중계율 0.05 | alpha 1.408 | complete
Ep 68 | 드론5 목적지77 |  761스텝 | 배송 77/77 | 재적재 15 | 중계율 0.10 | alpha 1.427 | complete
Ep 69 | 드론4 목적지48 |  740스텝 | 배송 48/48 | 재적재  8 | 중계율 0.10 | alpha 1.433 | complete
Ep 70 | 드론3 목적지69 | 1000스텝 | 배송 59/69 | 재적재 10 | 중계율 0.19 | alpha 1.426 | step_limit
Ep 71 | 드론5 목적지34 |  369스텝 | 배송 34/34 | 재적재  4 | 중계율 0.05 | alpha 1.423 | complete
Ep 72 | 드론5 목적지61 | 1000스텝 | 배송 61/61 | 재적재  9 | 중계율 0.21 | alpha 1.405 | complete
Ep 73 | 드론6 목적지50 |  906스텝 | 배송 50/50 | 재적재  8 | 중계율 0.12 | alpha 1.375 | complete
Ep 74 | 드론4 목적지70 | 1000스텝 | 배송 67/70 | 재적재 12 | 중계율 0.13 | alpha 1.348 | step_limit
Ep 75 | 드론6 목적지21 |  179스텝 | 배송 21/21 | 재적재  1 | 중계율 0.06 | alpha 1.341 | complete
Ep 76 | 드론3 목적지49 | 1000스텝 | 배송 43/49 | 재적재  7 | 중계율 0.18 | alpha 1.315 | step_limit
Ep 77 | 드론4 목적지67 | 1000스텝 | 배송 41/67 | 재적재  7 | 중계율 0.14 | alpha 1.307 | step_limit
Ep 78 | 드론3 목적지34 | 1000스텝 | 배송 32/34 | 재적재  5 | 중계율 0.15 | alpha 1.316 | step_limit
Ep 79 | 드론5 목적지31 |  358스텝 | 배송 31/31 | 재적재  4 | 중계율 0.07 | alpha 1.319 | complete
Ep 80 | 드론3 목적지44 | 1000스텝 | 배송 33/44 | 재적재  5 | 중계율 0.22 | alpha 1.330 | step_limit
Ep 81 | 드론6 목적지71 |  845스텝 | 배송 71/71 | 재적재 10 | 중계율 0.14 | alpha 1.363 | complete
Ep 82 | 드론4 목적지59 |  694스텝 | 배송 59/59 | 재적재 10 | 중계율 0.10 | alpha 1.383 | complete
Ep 83 | 드론6 목적지21 |  166스텝 | 배송 21/21 | 재적재  0 | 중계율 0.06 | alpha 1.389 | complete
Ep 84 | 드론4 목적지41 | 1000스텝 | 배송 34/41 | 재적재  5 | 중계율 0.13 | alpha 1.404 | step_limit
Ep 85 | 드론5 목적지38 |  565스텝 | 배송 38/38 | 재적재  6 | 중계율 0.09 | alpha 1.417 | complete
Ep 86 | 드론5 목적지64 |  888스텝 | 배송 64/64 | 재적재 11 | 중계율 0.11 | alpha 1.442 | complete
Ep 87 | 드론5 목적지24 |  454스텝 | 배송 24/24 | 재적재  3 | 중계율 0.07 | alpha 1.451 | complete
Ep 88 | 드론5 목적지66 | 1000스텝 | 배송 63/66 | 재적재 11 | 중계율 0.15 | alpha 1.492 | step_limit
Ep 89 | 드론6 목적지20 |  208스텝 | 배송 20/20 | 재적재  0 | 중계율 0.02 | alpha 1.489 | complete
Ep 90 | 드론6 목적지37 |  239스텝 | 배송 37/37 | 재적재  6 | 중계율 0.03 | alpha 1.487 | complete
Ep 91 | 드론4 목적지60 | 1000스텝 | 배송 54/60 | 재적재 10 | 중계율 0.14 | alpha 1.501 | step_limit
Ep 92 | 드론3 목적지37 | 1000스텝 | 배송 33/37 | 재적재  5 | 중계율 0.13 | alpha 1.555 | step_limit
Ep 93 | 드론4 목적지27 |  613스텝 | 배송 27/27 | 재적재  3 | 중계율 0.10 | alpha 1.587 | complete
Ep 94 | 드론4 목적지76 | 1000스텝 | 배송 72/76 | 재적재 13 | 중계율 0.12 | alpha 1.582 | step_limit
Ep 95 | 드론5 목적지30 |  313스텝 | 배송 30/30 | 재적재  5 | 중계율 0.08 | alpha 1.575 | complete
Ep 96 | 드론6 목적지34 |  581스텝 | 배송 34/34 | 재적재  5 | 중계율 0.12 | alpha 1.580 | complete
Ep 97 | 드론5 목적지35 |  585스텝 | 배송 35/35 | 재적재  5 | 중계율 0.08 | alpha 1.592 | complete
Ep 98 | 드론5 목적지39 |  368스텝 | 배송 39/39 | 재적재  6 | 중계율 0.06 | alpha 1.589 | complete
Ep 99 | 드론5 목적지69 | 1000스텝 | 배송 62/69 | 재적재  9 | 중계율 0.17 | alpha 1.590 | step_limit
Ep 100 | 드론6 목적지80 |  824스텝 | 배송 80/80 | 재적재 13 | 중계율 0.09 | alpha 1.622 | complete
  [홀드아웃] 배송 48.5±4.2 완주 0.83 스텝 1325 점수 88.9 재적재 7.8 2홉+ 0.65 | 최고 88.9@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지62 | 1000스텝 | 배송 44/62 | 재적재  8 | 중계율 0.13 | alpha 1.595 | step_limit
Ep 102 | 드론4 목적지30 |  718스텝 | 배송 30/30 | 재적재  5 | 중계율 0.10 | alpha 1.593 | complete
Ep 103 | 드론5 목적지75 |  765스텝 | 배송 75/75 | 재적재 13 | 중계율 0.12 | alpha 1.610 | complete
Ep 104 | 드론4 목적지39 |  712스텝 | 배송 39/39 | 재적재  7 | 중계율 0.11 | alpha 1.602 | complete
Ep 105 | 드론5 목적지24 |  480스텝 | 배송 24/24 | 재적재  3 | 중계율 0.05 | alpha 1.607 | complete
Ep 106 | 드론5 목적지73 |  809스텝 | 배송 73/73 | 재적재 14 | 중계율 0.11 | alpha 1.589 | complete
Ep 107 | 드론5 목적지25 |  315스텝 | 배송 25/25 | 재적재  3 | 중계율 0.06 | alpha 1.581 | complete
Ep 108 | 드론3 목적지69 | 1000스텝 | 배송 50/69 | 재적재  8 | 중계율 0.15 | alpha 1.566 | step_limit
Ep 109 | 드론4 목적지25 |  521스텝 | 배송 25/25 | 재적재  4 | 중계율 0.14 | alpha 1.577 | complete
Ep 110 | 드론3 목적지26 |  916스텝 | 배송 26/26 | 재적재  4 | 중계율 0.13 | alpha 1.609 | complete
Ep 111 | 드론3 목적지21 |  678스텝 | 배송 21/21 | 재적재  3 | 중계율 0.12 | alpha 1.590 | complete
Ep 112 | 드론6 목적지31 |  361스텝 | 배송 31/31 | 재적재  4 | 중계율 0.08 | alpha 1.569 | complete
Ep 113 | 드론4 목적지57 | 1000스텝 | 배송 47/57 | 재적재  8 | 중계율 0.18 | alpha 1.550 | step_limit
