episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,30.5833,7.2164,4.25,0.0,0.6307,921.3215,0,1,1248.4
100,28.1667,5.2573,3.5833,0.0,0.6449,921.9515,0,0,3640.9
150,30.25,4.6211,4.0833,0.0,0.645,901.3017,0,0,6038.4
