episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,22.0833,6.4866,1.75,0.0,0.6115,809.3531,0,1,925.7
100,29.4167,3.9255,3.8333,0.0,0.5934,815.5385,0,1,1943.4
150,20.4167,7.3763,1.4167,0.0833,0.6072,802.4983,0,0,2973.1
200,27.0833,4.8038,3.25,0.0,0.5739,837.9388,0,0,3988.9
250,18.5,6.9582,1.4167,0.0833,0.6336,815.7911,0,0,5015.9
300,22.9167,7.3763,2.25,0.0,0.6114,786.0157,0,0,6038.6
350,24.6667,4.4597,3.0833,0.0,0.581,815.218,0,0,7063.8
400,20.4167,6.8247,1.4167,0.0,0.6527,842.1641,0,0,8099.7
450,21.9167,6.7634,2.0,0.0833,0.5785,864.5551,0,0,9133.2
500,23.9167,11.2802,2.4167,0.3333,0.6147,835.0355,0,0,10160.7
550,16.9167,4.0303,0.5833,0.0,0.6765,935.413,0,0,11190.6
600,20.8333,5.4899,1.5,0.0,0.6019,835.6023,0,0,12223.1
650,17.4167,5.8518,0.8333,0.0,0.6574,926.4756,0,0,13260.6
700,16.5,6.1712,0.5833,0.0,0.6468,915.8628,0,0,14301.9
750,22.9167,5.9366,1.9167,0.0,0.6315,855.8742,0,0,15330.7
800,17.9167,5.9785,1.3333,0.0,0.6423,898.8411,0,0,16363.8
850,18.5833,6.639,1.25,0.0,0.6148,917.0418,0,0,17258.0
