/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_vec_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0 action_mode=vector projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 43 | Step 1000 | R   147.48 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  888 | 차단 1876
Ep 44 | Step 1000 | R   174.78 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  899 | 차단 1361
Ep 45 | Step 1000 | R    98.60 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  967 | 차단 2180
Ep 46 | Step 1000 | R   139.99 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  885 | 차단 2029
Ep 47 | Step 1000 | R   167.56 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  849 | 차단 1816
Ep 48 | Step 1000 | R   157.79 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달  892 | 차단 2223
Ep 49 | Step 1000 | R    48.27 | 배송 11/50 | 미활동 1 | 2홉+ 0.73 | 도달  754 | 차단 2635
Ep 50 | Step 1000 | R    76.76 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달  845 | 차단 2178
  [홀드아웃] 배송 7.7±2.2 미활동 0.67 2홉+ 0.69 도달 840 | 최고 7.7@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R    74.61 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달 1032 | 차단 2404
Ep 52 | Step 1000 | R    78.09 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1000 | 차단 2305
Ep 53 | Step 1000 | R    70.40 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달  870 | 차단 2784
Ep 54 | Step 1000 | R   194.98 | 배송 20/50 | 미활동 0 | 2홉+ 0.68 | 도달  900 | 차단 1820
Ep 55 | Step 1000 | R    48.45 | 배송 11/50 | 미활동 0 | 2홉+ 0.73 | 도달 1029 | 차단 2231
Ep 56 | Step 1000 | R    52.51 | 배송 12/50 | 미활동 0 | 2홉+ 0.73 | 도달  958 | 차단 2827
Ep 57 | Step 1000 | R    87.94 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달 1034 | 차단 1955
Ep 58 | Step 1000 | R    80.37 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달  938 | 차단 2137
Ep 59 | Step 1000 | R    80.80 | 배송 13/50 | 미활동 1 | 2홉+ 0.72 | 도달  931 | 차단 2205
Ep 60 | Step 1000 | R    69.30 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달  986 | 차단 2785
Ep 61 | Step 1000 | R    97.34 | 배송 13/50 | 미활동 1 | 2홉+ 0.70 | 도달  893 | 차단 1786
Ep 62 | Step 1000 | R    91.91 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달 1002 | 차단 1562
Ep 63 | Step 1000 | R    78.03 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1010 | 차단 2154
Ep 64 | Step 1000 | R    68.94 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달  917 | 차단 2730
Ep 65 | Step 1000 | R    26.33 | 배송  9/50 | 미활동 0 | 2홉+ 0.73 | 도달  962 | 차단 2473
Ep 66 | Step 1000 | R    90.87 | 배송 16/50 | 미활동 0 | 2홉+ 0.73 | 도달  810 | 차단 2547
Ep 67 | Step 1000 | R    43.90 | 배송 11/50 | 미활동 0 | 2홉+ 0.73 | 도달  982 | 차단 2735
Ep 68 | Step 1000 | R   117.10 | 배송 17/50 | 미활동 0 | 2홉+ 0.73 | 도달  980 | 차단 2270
Ep 69 | Step 1000 | R    80.96 | 배송 15/50 | 미활동 0 | 2홉+ 0.73 | 도달  978 | 차단 2865
Ep 70 | Step 1000 | R   101.13 | 배송 17/50 | 미활동 0 | 2홉+ 0.73 | 도달  922 | 차단 2958
Ep 71 | Step 1000 | R    82.20 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1017 | 차단 1720
Ep 72 | Step 1000 | R    96.71 | 배송 17/50 | 미활동 0 | 2홉+ 0.73 | 도달  853 | 차단 2968
Ep 73 | Step 1000 | R    18.99 | 배송  9/50 | 미활동 0 | 2홉+ 0.73 | 도달  950 | 차단 2855
Ep 74 | Step 1000 | R    80.38 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달  733 | 차단 2236
Ep 75 | Step 1000 | R    47.34 | 배송 11/50 | 미활동 0 | 2홉+ 0.73 | 도달 1027 | 차단 2618
Ep 76 | Step 1000 | R    76.34 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달  890 | 차단 2416
Ep 77 | Step 1000 | R    99.27 | 배송 15/50 | 미활동 0 | 2홉+ 0.73 | 도달  777 | 차단 2205
Ep 78 | Step 1000 | R    56.71 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달  823 | 차단 2485
Ep 79 | Step 1000 | R    25.88 | 배송 11/50 | 미활동 0 | 2홉+ 0.73 | 도달 1017 | 차단 3264
Ep 80 | Step 1000 | R    84.59 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  785 | 차단 2564
