episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,26.5,7.4889,2.8333,0.0,0.5905,796.5361,0,1,935.8
100,26.75,6.6474,3.0833,0.0,0.6301,880.6268,0,1,1960.1
150,19.75,8.2777,1.25,0.0833,0.6434,792.5743,0,0,2985.9
200,22.1667,8.1121,1.4167,0.0,0.6451,894.1974,0,0,4022.1
250,22.5833,7.3763,2.1667,0.0833,0.58,850.8293,0,0,5050.3
300,19.3333,6.2227,1.1667,0.0,0.588,806.3724,0,0,6079.5
350,23.25,7.3385,2.25,0.0,0.6023,821.1741,0,0,7112.7
400,22.6667,8.7781,2.3333,0.0833,0.6149,854.27,0,0,8151.5
450,23.0,7.5056,2.0,0.0,0.6448,890.5935,0,0,9182.3
500,18.25,6.8693,1.5833,0.0833,0.6455,858.7758,0,0,10224.9
550,18.1667,7.9983,1.3333,0.25,0.6356,939.0645,0,0,11254.3
600,16.6667,8.36,1.5,0.1667,0.6485,917.4079,0,0,12298.3
650,17.5,5.1072,1.25,0.0,0.6599,915.2096,0,0,13343.0
700,18.0833,3.8397,0.75,0.0,0.6774,969.5719,0,0,14393.1
750,17.9167,7.1584,0.9167,0.3333,0.5985,832.9543,0,0,15442.6
800,18.0833,6.0202,0.9167,0.0833,0.664,901.2625,0,0,16479.2
850,20.25,7.9595,1.5,0.0,0.642,898.1089,0,0,17328.8
