/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_04_15_w/best_worker.pth
Ep 42 | 배송 31/50 | 재적재 5 | 도착  19 | 2홉+ 0.62 | 도달  795 | 차단  788 | 정지 0.24 최장   5
Ep 43 | 배송 28/50 | 재적재 3 | 도착  13 | 2홉+ 0.66 | 도달  811 | 차단  561 | 정지 0.22 최장   5
Ep 44 | 배송 29/50 | 재적재 3 | 도착  22 | 2홉+ 0.58 | 도달  806 | 차단  258 | 정지 0.12 최장   1
Ep 45 | 배송 31/50 | 재적재 3 | 도착  15 | 2홉+ 0.66 | 도달  819 | 차단  581 | 정지 0.14 최장   1
Ep 46 | 배송 31/50 | 재적재 5 | 도착  23 | 2홉+ 0.60 | 도달  889 | 차단  601 | 정지 0.16 최장   4
Ep 47 | 배송 22/50 | 재적재 2 | 도착  26 | 2홉+ 0.55 | 도달  775 | 차단  496 | 정지 0.30 최장   4
Ep 48 | 배송 31/50 | 재적재 3 | 도착  21 | 2홉+ 0.60 | 도달  829 | 차단  628 | 정지 0.48 최장   5
Ep 49 | 배송 32/50 | 재적재 4 | 도착  19 | 2홉+ 0.62 | 도달  872 | 차단  397 | 정지 0.05 최장   2
Ep 50 | 배송 33/50 | 재적재 4 | 도착  23 | 2홉+ 0.63 | 도달  858 | 차단  527 | 정지 0.02 최장   6
  [홀드아웃] 배송 30.6±4.9 재적재 3.6 2홉+ 0.61 | 최고 30.6@ep50 정체 0/15  ← 갱신
Ep 51 | 배송 26/50 | 재적재 3 | 도착  17 | 2홉+ 0.59 | 도달  754 | 차단  508 | 정지 0.10 최장   2
Ep 52 | 배송 24/50 | 재적재 2 | 도착  16 | 2홉+ 0.61 | 도달  762 | 차단 1002 | 정지 0.55 최장   8
Ep 53 | 배송 28/50 | 재적재 4 | 도착  18 | 2홉+ 0.63 | 도달  805 | 차단  484 | 정지 0.37 최장   2
Ep 54 | 배송 33/50 | 재적재 5 | 도착  19 | 2홉+ 0.61 | 도달  780 | 차단  766 | 정지 0.10 최장   5
Ep 55 | 배송 24/50 | 재적재 4 | 도착  16 | 2홉+ 0.54 | 도달  727 | 차단  283 | 정지 0.03 최장   1
Ep 56 | 배송 34/50 | 재적재 4 | 도착  20 | 2홉+ 0.64 | 도달  866 | 차단  663 | 정지 0.52 최장   4
Ep 57 | 배송 33/50 | 재적재 6 | 도착  30 | 2홉+ 0.56 | 도달  793 | 차단  404 | 정지 0.23 최장   2
Ep 58 | 배송 33/50 | 재적재 5 | 도착  18 | 2홉+ 0.59 | 도달  893 | 차단  596 | 정지 0.26 최장   4
Ep 59 | 배송 32/50 | 재적재 4 | 도착  21 | 2홉+ 0.60 | 도달  964 | 차단  508 | 정지 0.07 최장   2
Ep 60 | 배송 32/50 | 재적재 4 | 도착  20 | 2홉+ 0.62 | 도달  884 | 차단  609 | 정지 0.25 최장   7
Ep 61 | 배송 34/50 | 재적재 5 | 도착  24 | 2홉+ 0.56 | 도달  854 | 차단  521 | 정지 0.04 최장   3
Ep 62 | 배송 30/50 | 재적재 4 | 도착  16 | 2홉+ 0.63 | 도달  895 | 차단  399 | 정지 0.07 최장   3
Ep 63 | 배송 30/50 | 재적재 3 | 도착  14 | 2홉+ 0.64 | 도달  845 | 차단  438 | 정지 0.26 최장   2
Ep 64 | 배송 28/50 | 재적재 3 | 도착  13 | 2홉+ 0.58 | 도달  749 | 차단  441 | 정지 0.23 최장   2
Ep 65 | 배송 31/50 | 재적재 4 | 도착  18 | 2홉+ 0.64 | 도달  865 | 차단  515 | 정지 0.26 최장   2
Ep 66 | 배송 35/50 | 재적재 5 | 도착  26 | 2홉+ 0.62 | 도달  875 | 차단  601 | 정지 0.14 최장   6
Ep 67 | 배송 29/50 | 재적재 3 | 도착  15 | 2홉+ 0.65 | 도달  786 | 차단  361 | 정지 0.02 최장   3
Ep 68 | 배송 29/50 | 재적재 4 | 도착  17 | 2홉+ 0.65 | 도달  966 | 차단  565 | 정지 0.26 최장   4
Ep 69 | 배송 28/50 | 재적재 3 | 도착  18 | 2홉+ 0.62 | 도달  794 | 차단  612 | 정지 0.36 최장   2
Ep 70 | 배송 28/50 | 재적재 3 | 도착  18 | 2홉+ 0.62 | 도달  912 | 차단  834 | 정지 0.30 최장   6
Ep 71 | 배송 29/50 | 재적재 3 | 도착  17 | 2홉+ 0.62 | 도달  962 | 차단  687 | 정지 0.21 최장   5
Ep 72 | 배송 30/50 | 재적재 4 | 도착  16 | 2홉+ 0.62 | 도달 1001 | 차단  863 | 정지 0.39 최장   3
Ep 73 | 배송 29/50 | 재적재 5 | 도착  20 | 2홉+ 0.56 | 도달  755 | 차단  510 | 정지 0.07 최장   3
Ep 74 | 배송 27/50 | 재적재 3 | 도착  17 | 2홉+ 0.66 | 도달  795 | 차단  459 | 정지 0.56 최장   6
Ep 75 | 배송 30/50 | 재적재 4 | 도착  25 | 2홉+ 0.63 | 도달  856 | 차단  620 | 정지 0.04 최장   2
Ep 76 | 배송 30/50 | 재적재 4 | 도착  13 | 2홉+ 0.61 | 도달  759 | 차단  224 | 정지 0.18 최장   1
Ep 77 | 배송 29/50 | 재적재 5 | 도착  16 | 2홉+ 0.62 | 도달  793 | 차단  764 | 정지 0.29 최장  10
Ep 78 | 배송 28/50 | 재적재 4 | 도착  20 | 2홉+ 0.63 | 도달  937 | 차단  616 | 정지 0.03 최장   2
Ep 79 | 배송 34/50 | 재적재 5 | 도착  22 | 2홉+ 0.60 | 도달  875 | 차단  488 | 정지 0.02 최장   2
Ep 80 | 배송 30/50 | 재적재 4 | 도착  19 | 2홉+ 0.59 | 도달  751 | 차단  361 | 정지 0.34 최장   2
Ep 81 | 배송 27/50 | 재적재 4 | 도착  16 | 2홉+ 0.62 | 도달  896 | 차단  638 | 정지 0.20 최장   1
Ep 82 | 배송 28/50 | 재적재 4 | 도착  14 | 2홉+ 0.62 | 도달  955 | 차단  528 | 정지 0.33 최장   2
Ep 83 | 배송 25/50 | 재적재 3 | 도착  12 | 2홉+ 0.63 | 도달  776 | 차단  587 | 정지 0.10 최장   2
Ep 84 | 배송 25/50 | 재적재 2 | 도착  13 | 2홉+ 0.59 | 도달  827 | 차단  233 | 정지 0.09 최장   2
Ep 85 | 배송 32/50 | 재적재 5 | 도착  21 | 2홉+ 0.61 | 도달  799 | 차단  778 | 정지 0.00 최장   4
Ep 86 | 배송 30/50 | 재적재 4 | 도착  17 | 2홉+ 0.63 | 도달  980 | 차단  506 | 정지 0.00 최장   6
Ep 87 | 배송 27/50 | 재적재 4 | 도착  19 | 2홉+ 0.64 | 도달  828 | 차단  952 | 정지 0.17 최장   2
Ep 88 | 배송 30/50 | 재적재 3 | 도착  19 | 2홉+ 0.66 | 도달  855 | 차단  476 | 정지 0.00 최장   4
Ep 89 | 배송 34/50 | 재적재 3 | 도착  21 | 2홉+ 0.59 | 도달  969 | 차단  375 | 정지 0.41 최장   6
Ep 90 | 배송 30/50 | 재적재 5 | 도착  18 | 2홉+ 0.57 | 도달  889 | 차단  328 | 정지 0.00 최장   1
Ep 91 | 배송 29/50 | 재적재 5 | 도착  17 | 2홉+ 0.55 | 도달  739 | 차단  481 | 정지 0.16 최장   4
Ep 92 | 배송 30/50 | 재적재 5 | 도착  18 | 2홉+ 0.62 | 도달  770 | 차단  485 | 정지 0.33 최장   2
Ep 93 | 배송 27/50 | 재적재 4 | 도착  18 | 2홉+ 0.62 | 도달  858 | 차단  970 | 정지 0.61 최장   6
