episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
68,1000,370.0,1.142,29,,994,0,4,17,565,0.647,965.6,,,0,68000,795.1
69,1000,330.0,0.248,28,,999,0,3,18,612,0.6175,794.3,,,0,69000,808.3
70,1000,330.0,-6.768,28,,943,0,3,18,834,0.6172,912.3,,,0,70000,819.9
71,1000,340.0,-3.113,29,,707,0,3,17,687,0.6198,962.3,,,0,71000,831.3
72,1000,380.0,-5.684,30,,901,0,4,16,863,0.624,1000.7,,,0,72000,844.1
73,1000,400.0,4.945,29,,820,0,5,20,510,0.5583,754.7,,,0,73000,855.3
74,1000,320.0,6.601,27,,919,0,3,17,459,0.6558,794.9,,,0,74000,867.5
75,1000,380.0,2.976,30,,889,0,4,25,620,0.6305,856.5,,,0,75000,880.4
76,1000,380.0,14.029,30,,973,0,4,13,224,0.6098,759.2,,,0,76000,892.2
77,1000,400.0,-2.336,29,,887,0,5,16,764,0.6175,793.0,,,0,77000,904.9
78,1000,360.0,3.581,28,,880,0,4,20,616,0.6282,937.1,,,0,78000,917.9
79,1000,450.0,8.815,34,,965,0,5,22,488,0.5995,875.4,,,0,79000,929.7
80,1000,380.0,7.892,30,,935,0,4,19,361,0.5907,750.8,,,0,80000,943.1
81,1000,350.0,-4.908,27,,934,0,4,16,638,0.6248,896.1,,,0,81000,954.6
82,1000,360.0,-1.547,28,,984,0,4,14,528,0.6212,955.3,,,0,82000,966.4
83,1000,300.0,1.061,25,,993,0,3,12,587,0.627,775.6,,,0,83000,978.9
84,1000,270.0,7.689,25,,998,0,2,13,233,0.586,827.2,,,0,84000,990.3
85,1000,430.0,4.689,32,,886,0,5,21,778,0.613,798.6,,,0,85000,1001.7
86,1000,380.0,11.901,30,,968,0,4,17,506,0.6272,980.2,,,0,86000,1014.2
87,1000,350.0,-9.95,27,,853,0,4,19,952,0.6415,828.5,,,0,87000,1025.9
88,1000,350.0,3.016,30,,874,0,3,19,476,0.6577,854.8,,,0,88000,1037.3
89,1000,390.0,12.001,34,,999,0,3,21,375,0.5927,969.0,,,0,89000,1050.1
90,1000,410.0,11.641,30,,973,0,5,18,328,0.5705,889.1,,,0,90000,1061.5
91,1000,400.0,9.624,29,,657,0,5,17,481,0.5515,738.8,,,0,91000,1072.9
92,1000,410.0,7.462,30,,999,0,5,18,485,0.618,770.3,,,0,92000,1085.6
93,1000,350.0,-4.345,27,,719,0,4,18,970,0.6222,857.9,,,0,93000,1097.6
94,1000,340.0,-1.659,29,,923,0,3,14,527,0.6365,954.4,,,0,94000,1109.0
95,1000,360.0,2.498,31,,968,0,3,18,650,0.66,904.2,,,0,95000,1122.2
96,1000,290.0,3.339,27,,984,0,2,17,434,0.596,806.5,,,0,96000,1133.5
97,1000,380.0,9.337,27,,793,0,5,18,338,0.4735,795.2,,,0,97000,1146.0
98,1000,350.0,-2.073,30,,992,0,3,13,722,0.6492,850.7,,,0,98000,1157.2
99,1000,360.0,-2.319,28,,939,0,4,16,713,0.6058,833.7,,,0,99000,1168.6
100,1000,480.0,11.4,34,,976,0,6,22,388,0.604,795.7,,,0,100000,1181.2
101,1000,400.0,9.523,32,,998,0,4,22,394,0.6555,856.0,,,0,101000,1220.4
102,1000,320.0,-0.143,24,,996,0,4,18,676,0.6655,835.2,,,0,102000,1231.7
103,1000,330.0,-7.88,28,,937,0,3,16,845,0.6478,904.8,,,0,103000,1244.8
104,1000,420.0,7.501,31,,901,0,5,20,552,0.6412,867.4,,,0,104000,1256.6
