/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 53 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.13 교착최장   9 | step_limit
Ep 54 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.07 교착최장   6 | step_limit
Ep 55 |  1000스텝 | 배송 21/50 | 재적재  3 | 정지 0.08 교착최장   5 | step_limit
Ep 56 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.22 교착최장  15 | step_limit
Ep 57 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.08 교착최장   8 | step_limit
Ep 58 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.06 교착최장   2 | step_limit
Ep 59 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.11 교착최장  10 | step_limit
Ep 60 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.04 교착최장   6 | step_limit
Ep 61 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.12 교착최장  10 | step_limit
Ep 62 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.09 교착최장   3 | step_limit
Ep 63 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.02 교착최장   4 | step_limit
Ep 64 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.15 교착최장   4 | step_limit
Ep 65 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.10 교착최장   4 | step_limit
Ep 66 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.15 교착최장  11 | step_limit
Ep 67 |  1000스텝 | 배송 24/50 | 재적재  4 | 정지 0.09 교착최장   8 | step_limit
Ep 68 |  1000스텝 | 배송 23/50 | 재적재  1 | 정지 0.15 교착최장  11 | step_limit
Ep 69 |  1000스텝 | 배송 21/50 | 재적재  3 | 정지 0.09 교착최장   6 | step_limit
Ep 70 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.10 교착최장   4 | step_limit
Ep 71 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.11 교착최장   6 | step_limit
Ep 72 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.13 교착최장  22 | step_limit
Ep 73 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.09 교착최장   5 | step_limit
Ep 74 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.12 교착최장   5 | step_limit
Ep 75 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.05 교착최장   4 | step_limit
Ep 76 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.16 교착최장   7 | step_limit
Ep 77 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.22 교착최장  10 | step_limit
Ep 78 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.09 교착최장  12 | step_limit
Ep 79 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.09 교착최장  12 | step_limit
