episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,34.4167,4.4245,5.0833,0.0,0.4833,797.248,0,1,811.1
100,32.8333,2.7639,5.0833,0.0,0.4556,741.3107,0,0,1722.3
150,19.0833,9.3404,2.75,0.5833,0.2135,522.3664,0,0,2668.8
200,9.75,8.7285,1.3333,1.75,0.0808,346.989,0,0,3637.1
250,16.6667,7.8138,2.3333,0.5833,0.1419,518.4189,0,0,4596.4
300,16.0,6.4161,2.0,0.5833,0.131,530.5201,0,0,5584.8
350,18.1667,3.6248,2.9167,0.5833,0.1566,512.2351,0,0,6556.4
400,14.3333,4.9889,2.0,0.6667,0.1021,491.6142,0,0,7537.6
