/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v1_26_08_25_04  relay_w=2.0
obs_dim=19, state_dim=66, total_act_dim=8
Ep 39 | Step 1000 | R   173.01 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.58 | 도달  983 | 차단  842
Ep 40 | Step 1000 | R   149.01 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.54 | 도달  977 | 차단  567
Ep 41 | Step 1000 | R   158.05 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달 1015 | 차단  767
Ep 42 | Step 1000 | R   140.45 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.53 | 도달  956 | 차단 1397
Ep 43 | Step 1000 | R   138.98 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.63 | 도달  975 | 차단 1060
Ep 44 | Step 1000 | R   167.45 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.48 | 도달  958 | 차단  561
Ep 45 | Step 1000 | R   134.66 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달  990 | 차단  934
Ep 46 | Step 1000 | R   118.65 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.54 | 도달  879 | 차단  844
Ep 47 | Step 1000 | R   172.17 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달 1002 | 차단  485
Ep 48 | Step 1000 | R   109.89 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.60 | 도달 1074 | 차단 1268
Ep 49 | Step 1000 | R   166.91 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.47 | 도달  955 | 차단  548
Ep 50 | Step 1000 | R   125.59 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.61 | 도달  751 | 차단  983
Ep 51 | Step 1000 | R   156.45 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달  989 | 차단  706
Ep 52 | Step 1000 | R   161.17 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.55 | 도달  767 | 차단  832
Ep 53 | Step 1000 | R   130.88 | 배송 15/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.54 | 도달 1074 | 차단 1060
Ep 54 | Step 1000 | R   186.25 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달 1020 | 차단  387
Ep 55 | Step 1000 | R    95.05 | 배송 12/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.62 | 도달  840 | 차단 1624
