episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
46,1000,118.653,16,0.32,,0,2,5,1.2247,0,844,0.5443,879.4,763,0,0.07291,1.930143,-22.821028,46000,362.6
47,1000,172.1736,20,0.4,,0,5,5,0.0,0,485,0.6382,1002.0,979,0,0.072165,2.418354,-24.017941,47000,370.9
48,1000,109.8935,15,0.3,,0,3,4,0.433,0,1268,0.5988,1073.5,683,0,0.072213,1.48984,-24.194302,48000,379.2
49,1000,166.9058,18,0.36,,0,3,5,0.866,0,548,0.4733,955.3,958,0,0.070052,2.349058,-24.443588,49000,387.3
50,1000,125.5934,16,0.32,,0,3,5,0.7071,0,983,0.6108,750.6,734,0,0.067499,1.87762,-24.266853,50000,395.7
51,1000,156.4509,18,0.36,,0,3,5,0.866,0,706,0.681,989.2,723,0,0.06681,2.207034,-25.035929,51000,403.7
52,1000,161.1686,19,0.38,,0,4,5,0.433,0,832,0.5453,767.4,973,0,0.065978,1.795237,-24.022507,52000,412.2
53,1000,130.8823,15,0.3,,1,0,5,2.1651,0,1060,0.5423,1073.5,742,0,0.066139,2.704045,-22.992313,53000,421.0
54,1000,186.2492,20,0.4,,0,5,5,0.0,0,387,0.6378,1019.6,569,0,0.065757,1.488702,-23.499079,54000,429.3
55,1000,95.0485,12,0.24,,1,0,5,2.1213,0,1624,0.622,840.1,282,0,0.064673,2.767165,-26.028645,55000,438.4
56,1000,153.1116,19,0.38,,0,4,5,0.433,0,1395,0.595,955.9,507,0,0.062964,2.540391,-25.34304,56000,447.0
57,1000,132.1585,16,0.32,,0,2,5,1.2247,0,1078,0.5948,1024.9,639,0,0.061834,1.954113,-25.321011,57000,455.3
58,1000,111.4716,15,0.3,,0,2,5,1.299,0,1829,0.458,829.8,884,0,0.060935,2.488075,-25.900967,58000,463.8
59,1000,161.3807,18,0.36,,0,3,5,0.866,0,412,0.6747,1073.5,750,0,0.059694,1.87437,-24.477123,59000,472.1
60,1000,171.5749,20,0.4,,0,5,5,0.0,0,1005,0.6655,1020.4,364,0,0.058956,2.122471,-27.25429,60000,480.7
61,1000,146.2446,19,0.38,,0,4,5,0.433,0,1247,0.667,1063.7,509,0,0.0608,1.689656,-25.90523,61000,489.3
62,1000,127.0685,15,0.3,,0,2,5,1.299,0,791,0.6665,970.0,981,0,0.060161,1.656825,-26.444784,62000,497.7
63,1000,163.6091,20,0.4,,0,5,5,0.0,0,810,0.649,1061.3,511,0,0.058834,2.503785,-26.41972,63000,505.6
64,1000,60.8431,10,0.2,,1,0,5,1.8028,0,1464,0.6803,955.5,369,0,0.057979,2.26599,-27.339838,64000,514.0
65,1000,129.2225,16,0.32,,0,3,5,1.0,0,304,0.603,1016.8,558,0,0.058316,1.20316,-24.493286,65000,522.5
66,1000,110.6643,16,0.32,,0,1,5,1.7321,0,1027,0.5062,954.4,895,0,0.057539,1.798394,-25.936531,66000,531.0
67,1000,133.426,16,0.32,,0,1,5,1.7321,0,494,0.5587,1073.5,500,0,0.056757,1.916683,-27.439247,67000,539.4
68,1000,148.3729,20,0.4,,0,5,5,0.0,0,1185,0.6643,1062.1,423,0,0.056189,1.764492,-26.724667,68000,547.7
69,1000,160.1931,19,0.38,,0,4,5,0.433,0,954,0.6585,1055.7,585,0,0.054969,2.541273,-26.626509,69000,556.0
70,1000,107.3874,13,0.26,,0,1,5,1.479,0,1161,0.6545,877.9,464,0,0.054018,1.313115,-29.056681,70000,564.4
71,1000,152.6977,18,0.36,,0,3,5,0.866,0,812,0.6593,1052.0,993,0,0.054343,1.956317,-27.337435,71000,573.0
72,1000,60.9658,11,0.22,,0,1,5,1.479,0,1260,0.6613,990.3,763,0,0.052391,2.044059,-27.431982,72000,581.9
73,1000,128.1903,15,0.3,,0,2,5,1.299,0,460,0.659,952.4,650,0,0.051549,1.415911,-27.024578,73000,590.4
74,1000,172.8666,19,0.38,,0,4,5,0.433,0,1293,0.484,984.1,942,0,0.050843,1.938991,-28.566208,74000,598.7
