/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=2000 (초반 300ep까지 2000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 52 |  7299스텝 | 배송 46/50 | 재적재  9 | 정지 0.12 교착최장  31 | no_progress
Ep 53 |  1381스텝 | 배송 25/50 | 재적재  3 | 정지 0.29 교착최장 100 | deadlock
Ep 54 |  6639스텝 | 배송 46/50 | 재적재  9 | 정지 0.09 교착최장  26 | no_progress
Ep 55 |  9930스텝 | 배송 47/50 | 재적재  8 | 정지 0.17 교착최장  32 | no_progress
Ep 56 |  1970스텝 | 배송 30/50 | 재적재  4 | 정지 0.26 교착최장 100 | deadlock
Ep 57 |  6678스텝 | 배송 47/50 | 재적재  7 | 정지 0.13 교착최장  33 | no_progress
Ep 58 |  7838스텝 | 배송 44/50 | 재적재  8 | 정지 0.21 교착최장  44 | no_progress
Ep 59 |  7683스텝 | 배송 47/50 | 재적재  8 | 정지 0.17 교착최장  53 | no_progress
Ep 60 |  5392스텝 | 배송 44/50 | 재적재  8 | 정지 0.09 교착최장  22 | no_progress
Ep 61 |  6378스텝 | 배송 46/50 | 재적재  8 | 정지 0.15 교착최장  58 | no_progress
Ep 62 |  6761스텝 | 배송 42/50 | 재적재  7 | 정지 0.23 교착최장  33 | no_progress
Ep 63 |  4333스텝 | 배송 39/50 | 재적재  6 | 정지 0.14 교착최장   7 | no_progress
Ep 64 |  6799스텝 | 배송 42/50 | 재적재  6 | 정지 0.17 교착최장  13 | no_progress
Ep 65 |  6731스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장  10 | no_progress
Ep 66 |  2657스텝 | 배송 21/50 | 재적재  1 | 정지 0.25 교착최장  12 | no_progress
