episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
71,1000,420.0,11.786,31,,993,0,5,18,298,0.545,873.5,0,71000,1343.6
72,1000,420.0,6.803,31,,839,0,5,13,425,0.5673,765.8,0,72000,1363.1
73,1000,270.0,1.69,25,,986,0,2,12,436,0.5813,709.7,0,73000,1382.1
74,1000,380.0,1.682,30,,990,0,4,15,554,0.5713,902.5,0,74000,1400.7
75,1000,360.0,17.755,28,,895,0,4,18,308,0.5585,702.8,0,75000,1421.0
76,1000,280.0,0.199,26,,908,0,2,12,520,0.6315,851.1,0,76000,1441.1
77,1000,410.0,4.902,33,,970,0,4,21,638,0.6272,890.9,0,77000,1461.5
78,1000,330.0,-1.012,28,,941,0,3,12,709,0.6492,919.1,0,78000,1480.6
79,1000,250.0,-25.921,23,,554,0,2,13,1579,0.672,1035.2,0,79000,1500.1
80,1000,300.0,21.15,25,,991,0,3,16,255,0.586,743.0,0,80000,1518.9
81,1000,390.0,9.623,28,,976,0,5,16,438,0.5593,911.6,0,81000,1538.7
82,1000,330.0,-3.273,28,,932,0,3,12,933,0.647,1053.6,0,82000,1559.6
83,1000,350.0,15.986,27,,930,0,4,17,292,0.5865,752.2,0,83000,1579.6
84,1000,280.0,-4.977,26,,926,0,2,15,672,0.632,865.0,0,84000,1600.6
85,1000,300.0,-4.453,25,,657,0,3,12,693,0.6268,742.1,0,85000,1621.6
86,1000,280.0,12.214,23,,949,0,3,12,276,0.5827,752.8,0,86000,1641.1
87,1000,240.0,9.168,22,,874,0,2,13,496,0.6072,937.2,0,87000,1660.5
88,1000,330.0,4.612,25,,882,0,4,15,543,0.5942,725.5,0,88000,1680.3
89,1000,350.0,2.119,27,,989,0,4,11,432,0.5465,777.7,0,89000,1699.9
90,1000,250.0,3.994,23,,806,0,2,13,395,0.5683,726.3,0,90000,1719.1
91,1000,270.0,1.214,25,,958,0,2,14,677,0.6422,726.3,0,91000,1738.2
