/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_e2_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 44 | Step 1000 | R   155.14 | 배송 17/50 | 미활동 0 | 2홉+ 0.41 | 도달  831 | 차단  409
Ep 45 | Step 1000 | R   165.41 | 배송 19/50 | 미활동 0 | 2홉+ 0.56 | 도달 1074 | 차단  390
Ep 46 | Step 1000 | R   134.40 | 배송 16/50 | 미활동 0 | 2홉+ 0.59 | 도달  859 | 차단  309
Ep 47 | Step 1000 | R   133.45 | 배송 15/50 | 미활동 1 | 2홉+ 0.41 | 도달  768 | 차단  345
Ep 48 | Step 1000 | R   120.33 | 배송 15/50 | 미활동 0 | 2홉+ 0.52 | 도달  988 | 차단  742
Ep 49 | Step 1000 | R   149.55 | 배송 17/50 | 미활동 0 | 2홉+ 0.42 | 도달 1074 | 차단  391
Ep 50 | Step 1000 | R    51.08 | 배송  8/50 | 미활동 1 | 2홉+ 0.45 | 도달 1021 | 차단 1219
  [홀드아웃] 배송 11.2±4.0 미활동 0.33 2홉+ 0.36 도달 729 | 최고 11.2@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R   160.28 | 배송 19/50 | 미활동 0 | 2홉+ 0.58 | 도달  958 | 차단  202
Ep 52 | Step 1000 | R    82.25 | 배송 12/50 | 미활동 1 | 2홉+ 0.47 | 도달 1029 | 차단 1511
Ep 53 | Step 1000 | R   113.36 | 배송 14/50 | 미활동 0 | 2홉+ 0.28 | 도달  749 | 차단  290
Ep 54 | Step 1000 | R   123.89 | 배송 15/50 | 미활동 0 | 2홉+ 0.46 | 도달  993 | 차단  819
Ep 55 | Step 1000 | R    98.04 | 배송 12/50 | 미활동 0 | 2홉+ 0.45 | 도달  984 | 차단  261
Ep 56 | Step 1000 | R    46.46 | 배송  9/50 | 미활동 1 | 2홉+ 0.43 | 도달  924 | 차단 1471
Ep 57 | Step 1000 | R   141.88 | 배송 18/50 | 미활동 0 | 2홉+ 0.57 | 도달 1035 | 차단  357
Ep 58 | Step 1000 | R   127.97 | 배송 16/50 | 미활동 0 | 2홉+ 0.43 | 도달 1074 | 차단  654
Ep 59 | Step 1000 | R   139.40 | 배송 18/50 | 미활동 0 | 2홉+ 0.44 | 도달  828 | 차단  277
Ep 60 | Step 1000 | R   116.14 | 배송 16/50 | 미활동 0 | 2홉+ 0.58 | 도달 1007 | 차단  928
Ep 61 | Step 1000 | R   101.46 | 배송 13/50 | 미활동 0 | 2홉+ 0.47 | 도달 1074 | 차단  478
Ep 62 | Step 1000 | R    58.85 | 배송  9/50 | 미활동 1 | 2홉+ 0.39 | 도달 1074 | 차단 1052
Ep 63 | Step 1000 | R   131.62 | 배송 16/50 | 미활동 0 | 2홉+ 0.37 | 도달 1041 | 차단  489
Ep 64 | Step 1000 | R   137.81 | 배송 16/50 | 미활동 0 | 2홉+ 0.42 | 도달 1025 | 차단  266
Ep 65 | Step 1000 | R   118.61 | 배송 15/50 | 미활동 1 | 2홉+ 0.45 | 도달 1074 | 차단 1140
Ep 66 | Step 1000 | R   139.57 | 배송 16/50 | 미활동 0 | 2홉+ 0.47 | 도달 1068 | 차단  337
Ep 67 | Step 1000 | R   116.32 | 배송 15/50 | 미활동 0 | 2홉+ 0.25 | 도달  739 | 차단    9
Ep 68 | Step 1000 | R   134.01 | 배송 17/50 | 미활동 0 | 2홉+ 0.25 | 도달  797 | 차단  409
Ep 69 | Step 1000 | R   113.90 | 배송 15/50 | 미활동 1 | 2홉+ 0.32 | 도달  998 | 차단  269
Ep 70 | Step 1000 | R   105.58 | 배송 14/50 | 미활동 1 | 2홉+ 0.22 | 도달  675 | 차단  402
Ep 71 | Step 1000 | R   102.88 | 배송 15/50 | 미활동 0 | 2홉+ 0.22 | 도달  677 | 차단  275
Ep 72 | Step 1000 | R    82.08 | 배송 13/50 | 미활동 0 | 2홉+ 0.32 | 도달  767 | 차단 1401
Ep 73 | Step 1000 | R   116.09 | 배송 15/50 | 미활동 0 | 2홉+ 0.33 | 도달  977 | 차단 1231
Ep 74 | Step 1000 | R    96.02 | 배송 13/50 | 미활동 0 | 2홉+ 0.11 | 도달  732 | 차단   88
Ep 75 | Step 1000 | R   113.40 | 배송 15/50 | 미활동 0 | 2홉+ 0.38 | 도달  996 | 차단  810
Ep 76 | Step 1000 | R   149.23 | 배송 18/50 | 미활동 0 | 2홉+ 0.35 | 도달  783 | 차단  378
Ep 77 | Step 1000 | R   137.09 | 배송 16/50 | 미활동 0 | 2홉+ 0.42 | 도달  960 | 차단  153
Ep 78 | Step 1000 | R    77.74 | 배송 11/50 | 미활동 0 | 2홉+ 0.26 | 도달  964 | 차단  916
Ep 79 | Step 1000 | R    47.41 | 배송 12/50 | 미활동 0 | 2홉+ 0.50 | 도달  827 | 차단 1064
Ep 80 | Step 1000 | R   117.89 | 배송 15/50 | 미활동 0 | 2홉+ 0.28 | 도달  864 | 차단  345
Ep 81 | Step 1000 | R   113.79 | 배송 13/50 | 미활동 0 | 2홉+ 0.21 | 도달  727 | 차단   98
Ep 82 | Step 1000 | R   121.81 | 배송 15/50 | 미활동 1 | 2홉+ 0.44 | 도달  896 | 차단  550
Ep 83 | Step 1000 | R   133.84 | 배송 15/50 | 미활동 1 | 2홉+ 0.35 | 도달  732 | 차단  527
Ep 84 | Step 1000 | R    92.09 | 배송 12/50 | 미활동 0 | 2홉+ 0.27 | 도달  920 | 차단 1374
Ep 85 | Step 1000 | R   133.01 | 배송 16/50 | 미활동 0 | 2홉+ 0.52 | 도달  978 | 차단  603
Ep 86 | Step 1000 | R   141.34 | 배송 16/50 | 미활동 0 | 2홉+ 0.31 | 도달  968 | 차단  626
Ep 87 | Step 1000 | R   149.97 | 배송 17/50 | 미활동 0 | 2홉+ 0.37 | 도달 1034 | 차단  444
Ep 88 | Step 1000 | R   126.57 | 배송 15/50 | 미활동 0 | 2홉+ 0.45 | 도달 1053 | 차단  732
Ep 89 | Step 1000 | R   116.79 | 배송 14/50 | 미활동 0 | 2홉+ 0.36 | 도달 1074 | 차단  337
Ep 90 | Step 1000 | R   113.88 | 배송 14/50 | 미활동 0 | 2홉+ 0.43 | 도달  853 | 차단  466
Ep 91 | Step 1000 | R   121.40 | 배송 15/50 | 미활동 0 | 2홉+ 0.34 | 도달  803 | 차단  245
Ep 92 | Step 1000 | R   156.79 | 배송 18/50 | 미활동 0 | 2홉+ 0.46 | 도달  730 | 차단  143
Ep 93 | Step 1000 | R   129.86 | 배송 16/50 | 미활동 0 | 2홉+ 0.56 | 도달  971 | 차단  473
Ep 94 | Step 1000 | R    81.38 | 배송 12/50 | 미활동 1 | 2홉+ 0.16 | 도달  609 | 차단  302
Ep 95 | Step 1000 | R   127.56 | 배송 15/50 | 미활동 1 | 2홉+ 0.48 | 도달  897 | 차단  348
Ep 96 | Step 1000 | R    97.78 | 배송 12/50 | 미활동 1 | 2홉+ 0.50 | 도달  941 | 차단  181
Ep 97 | Step 1000 | R   148.10 | 배송 16/50 | 미활동 0 | 2홉+ 0.26 | 도달  714 | 차단  269
Ep 98 | Step 1000 | R   104.94 | 배송 15/50 | 미활동 0 | 2홉+ 0.38 | 도달  888 | 차단  729
Ep 99 | Step 1000 | R    91.73 | 배송 12/50 | 미활동 1 | 2홉+ 0.28 | 도달  952 | 차단 1029
Ep 100 | Step 1000 | R    63.67 | 배송  9/50 | 미활동 0 | 2홉+ 0.32 | 도달  951 | 차단  800
  [홀드아웃] 배송 12.8±2.5 미활동 0.33 2홉+ 0.42 도달 869 | 최고 12.8@ep100 | 정체 0/15  ← 최고 갱신
Ep 101 | Step 1000 | R   137.37 | 배송 14/50 | 미활동 1 | 2홉+ 0.24 | 도달  886 | 차단   53
Ep 102 | Step 1000 | R   134.26 | 배송 16/50 | 미활동 0 | 2홉+ 0.49 | 도달  905 | 차단  559
Ep 103 | Step 1000 | R   126.15 | 배송 14/50 | 미활동 1 | 2홉+ 0.56 | 도달 1053 | 차단  202
Ep 104 | Step 1000 | R   130.37 | 배송 15/50 | 미활동 0 | 2홉+ 0.36 | 도달  948 | 차단  959
Ep 105 | Step 1000 | R    61.67 | 배송  8/50 | 미활동 1 | 2홉+ 0.24 | 도달  967 | 차단  288
Ep 106 | Step 1000 | R   179.64 | 배송 19/50 | 미활동 0 | 2홉+ 0.41 | 도달  811 | 차단  408
Ep 107 | Step 1000 | R    94.38 | 배송 13/50 | 미활동 0 | 2홉+ 0.39 | 도달  996 | 차단  981
Ep 108 | Step 1000 | R   109.70 | 배송 13/50 | 미활동 1 | 2홉+ 0.52 | 도달  923 | 차단  465
Ep 109 | Step 1000 | R    74.58 | 배송 10/50 | 미활동 1 | 2홉+ 0.37 | 도달  982 | 차단  593
Ep 110 | Step 1000 | R   107.99 | 배송 13/50 | 미활동 1 | 2홉+ 0.33 | 도달 1074 | 차단  118
Ep 111 | Step 1000 | R   147.44 | 배송 17/50 | 미활동 0 | 2홉+ 0.60 | 도달 1048 | 차단  238
Ep 112 | Step 1000 | R    90.88 | 배송 12/50 | 미활동 1 | 2홉+ 0.26 | 도달  935 | 차단  937
Ep 113 | Step 1000 | R   111.05 | 배송 14/50 | 미활동 0 | 2홉+ 0.39 | 도달  972 | 차단  541
Ep 114 | Step 1000 | R    61.96 | 배송  9/50 | 미활동 1 | 2홉+ 0.26 | 도달  980 | 차단  419
Ep 115 | Step 1000 | R   132.41 | 배송 16/50 | 미활동 0 | 2홉+ 0.19 | 도달  739 | 차단  133
Ep 116 | Step 1000 | R   101.84 | 배송 12/50 | 미활동 0 | 2홉+ 0.31 | 도달  978 | 차단  206
Ep 117 | Step 1000 | R    59.95 | 배송  8/50 | 미활동 1 | 2홉+ 0.44 | 도달  811 | 차단   27
Ep 118 | Step 1000 | R   101.56 | 배송 12/50 | 미활동 0 | 2홉+ 0.43 | 도달 1046 | 차단  297
Ep 119 | Step 1000 | R   146.61 | 배송 16/50 | 미활동 0 | 2홉+ 0.31 | 도달  802 | 차단  136
Ep 120 | Step 1000 | R   128.87 | 배송 15/50 | 미활동 0 | 2홉+ 0.38 | 도달  999 | 차단  567
Ep 121 | Step 1000 | R     9.07 | 배송  4/50 | 미활동 1 | 2홉+ 0.30 | 도달  844 | 차단  517
Ep 122 | Step 1000 | R    71.78 | 배송 11/50 | 미활동 1 | 2홉+ 0.27 | 도달 1001 | 차단  998
Ep 123 | Step 1000 | R   100.85 | 배송 12/50 | 미활동 1 | 2홉+ 0.24 | 도달  783 | 차단   17
Ep 124 | Step 1000 | R   130.83 | 배송 15/50 | 미활동 0 | 2홉+ 0.13 | 도달  769 | 차단  114
Ep 125 | Step 1000 | R   109.60 | 배송 13/50 | 미활동 0 | 2홉+ 0.37 | 도달 1069 | 차단  530
Ep 126 | Step 1000 | R    53.18 | 배송  9/50 | 미활동 1 | 2홉+ 0.39 | 도달  965 | 차단  976
Ep 127 | Step 1000 | R   102.36 | 배송 13/50 | 미활동 1 | 2홉+ 0.26 | 도달  910 | 차단  684
Ep 128 | Step 1000 | R   106.74 | 배송 13/50 | 미활동 0 | 2홉+ 0.20 | 도달  684 | 차단  210
Ep 129 | Step 1000 | R   144.75 | 배송 17/50 | 미활동 0 | 2홉+ 0.52 | 도달  878 | 차단  304
Ep 130 | Step 1000 | R    91.56 | 배송 11/50 | 미활동 1 | 2홉+ 0.24 | 도달  929 | 차단  420
Ep 131 | Step 1000 | R   100.40 | 배송 12/50 | 미활동 1 | 2홉+ 0.39 | 도달  993 | 차단   88
Ep 132 | Step 1000 | R    99.33 | 배송 12/50 | 미활동 1 | 2홉+ 0.23 | 도달  748 | 차단  189
