episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
1,1000,390.0,8.482,31,,858,0,4,18,546,0.6272,763.3,,,0,1000,3.2
2,1000,390.0,6.755,31,,979,0,4,15,563,0.6248,817.5,,,0,2000,5.3
3,1000,360.0,6.514,28,,890,0,4,20,510,0.6235,765.6,,,0,3000,7.5
4,1000,360.0,6.782,31,,968,0,3,21,416,0.6055,813.3,,,0,4000,9.7
5,1000,330.0,0.178,28,,921,0,3,14,797,0.6583,788.2,,,0,5000,11.9
6,1000,360.0,6.414,31,,960,0,3,19,502,0.6038,921.8,,,0,6000,24.5
7,1000,450.0,8.903,34,,916,0,5,26,587,0.584,913.6,,,0,7000,38.1
8,1000,320.0,1.586,27,,891,0,3,16,541,0.6697,751.8,,,0,8000,50.9
9,1000,340.0,3.658,29,,998,0,3,36,608,0.642,867.6,,,0,9000,62.6
10,1000,360.0,0.023,28,,891,0,4,13,500,0.6202,990.3,,,0,10000,75.2
11,1000,410.0,7.834,30,,723,0,5,25,692,0.6295,741.5,,,0,11000,86.4
12,1000,330.0,-8.662,28,,989,0,3,27,1230,0.6288,951.2,,,0,12000,99.5
13,1000,420.0,25.038,34,,983,0,4,108,430,0.5222,846.8,,,0,13000,111.0
14,1000,360.0,3.646,28,,979,0,4,25,817,0.5705,832.2,,,0,14000,122.9
15,1000,360.0,4.308,28,,714,0,4,21,502,0.6135,894.9,,,0,15000,135.4
16,1000,400.0,33.521,32,,839,0,4,127,652,0.5885,838.6,,,0,16000,147.8
17,1000,360.0,5.256,31,,989,0,3,27,616,0.6565,875.2,,,0,17000,160.2
18,1000,430.0,2.608,35,,963,0,4,23,710,0.6442,830.9,,,0,18000,173.8
19,1000,330.0,-10.246,25,,924,0,4,28,1208,0.6272,787.3,,,0,19000,186.2
20,1000,440.0,4.497,33,,924,0,5,20,572,0.6625,879.1,,,0,20000,197.9
21,1000,400.0,14.776,32,,908,0,4,24,411,0.5978,803.9,,,0,21000,211.2
22,1000,360.0,-0.594,31,,920,0,3,17,842,0.6603,964.4,,,0,22000,223.0
23,1000,510.0,4.702,37,,983,0,6,26,684,0.6065,950.4,,,0,23000,235.8
24,1000,450.0,8.833,31,,984,0,6,24,718,0.589,856.2,,,0,24000,247.5
25,1000,370.0,4.048,29,,837,0,4,20,635,0.6405,901.1,,,0,25000,258.6
26,1000,330.0,1.055,28,,955,0,3,18,594,0.6102,782.6,,,0,26000,271.5
27,1000,390.0,-1.377,31,,874,0,4,18,832,0.629,935.9,,,0,27000,282.9
28,1000,400.0,3.006,32,,979,0,4,23,798,0.6375,799.9,,,0,28000,295.7
29,1000,440.0,3.437,33,,894,0,5,23,793,0.6042,880.2,,,0,29000,309.2
30,1000,350.0,4.294,30,,817,0,3,14,402,0.654,783.1,,,0,30000,320.2
