/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 44 | Step 1000 | R    82.59 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  853 | 차단 2272
Ep 45 | Step 1000 | R   151.90 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  809 | 차단 1384
Ep 46 | Step 1000 | R   123.11 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  868 | 차단 1448
Ep 47 | Step 1000 | R   105.26 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달  802 | 차단 1505
Ep 48 | Step 1000 | R    85.37 | 배송 13/50 | 미활동 1 | 2홉+ 0.60 | 도달  867 | 차단 2158
Ep 49 | Step 1000 | R    69.81 | 배송 11/50 | 미활동 0 | 2홉+ 0.61 | 도달  875 | 차단 1732
Ep 50 | Step 1000 | R   114.61 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달 1006 | 차단 1337
  [홀드아웃] 배송 11.2±4.5 미활동 0.33 2홉+ 0.64 도달 654 | 최고 11.2@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R   109.01 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  955 | 차단 1873
Ep 52 | Step 1000 | R    97.78 | 배송 15/50 | 미활동 1 | 2홉+ 0.71 | 도달 1015 | 차단 1947
Ep 53 | Step 1000 | R   125.71 | 배송 17/50 | 미활동 0 | 2홉+ 0.66 | 도달  970 | 차단 1664
Ep 54 | Step 1000 | R    94.60 | 배송 15/50 | 미활동 1 | 2홉+ 0.71 | 도달  749 | 차단 1796
