episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,is_best,wall_sec
50,37.8333,10.6445,5.5833,0.5492,817.6394,0.0833,1,1148.7
100,30.0833,8.7126,3.9167,0.6404,899.6616,0.0,0,2519.1
150,28.0,11.431,3.6667,0.6532,890.9099,0.0,0,3859.6
200,28.25,7.7042,3.5833,0.6452,907.197,0.0,0,5222.8
250,27.3333,5.4518,3.5833,0.6277,914.633,0.0,0,6578.2
