method,delivered,delivered_sd,completion_rate,idle_drones,reloads,hop2plus,max_reach,blocked,comm_loss,full_completion
random,3.9,2.48,0.078,2.33,0.0,0.001,385.0,0.0,0,0
greedy,49.23,2.36,0.9847,0.0,7.77,0.416,925.0,486.0,0,27
greedy + 1 relay,50.0,0.0,1.0,0.23,8.77,0.313,930.0,50.0,0,30
greedy + 2 relay,48.9,4.13,0.978,0.23,7.8,0.436,930.0,106.0,0,28
v1_26_08_24_22,16.57,4.33,0.3313,0.2,0.43,0.437,887.0,1166.0,0,0
v2_26_08_25_14_e1_alpha,14.0,3.31,0.28,0.13,0.0,0.658,930.0,1943.0,0,0
