method,delivered,delivered_sd,completion_rate,idle_drones,reloads,hop2plus,max_reach,blocked,comm_loss,full_completion
random,3.67,2.49,0.0733,2.3,0.0,0.054,372.0,17.0,0,0
greedy,23.3,9.32,0.466,0.0,2.1,0.645,659.0,3335.0,0,0
greedy + 1 relay,24.47,7.92,0.4893,0.57,3.03,0.6,668.0,2360.0,0,0
greedy + 2 relay,19.1,7.67,0.382,0.77,2.33,0.602,608.0,1565.0,0,0
c300s_angle,10.6,3.37,0.212,0.17,0.0,0.68,734.0,2520.0,0,0
c300s_vec,11.47,5.22,0.2293,0.17,0.43,0.642,730.0,2474.0,0,0
c300s_vec_relay,9.37,4.14,0.1873,0.33,0.07,0.666,680.0,2916.0,0,0
