episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,n
200,10.75,4.968651728587948,0.875,0.376875,792.6203721394343,0,8
400,14.75,6.6473679001541655,0.25,0.42262500000000003,837.4044123767478,0,8
600,12.0,2.5495097567963922,0.375,0.38943750000000005,820.9607966767724,0,8
800,12.375,3.3517719194479807,0.625,0.14871875,589.6290791982251,0,8
1000,7.625,2.7357585785299112,0.75,0.11459375,519.9000083116885,0,8
1200,10.0,4.415880433163924,1.125,0.220375,616.28944767705,0,8
1400,9.25,2.8613807855648994,0.625,0.14881250000000001,532.4783746313285,0,8
1600,4.5,2.8284271247461903,1.75,0.08240625,487.88250000715084,0,8
1800,7.5,2.1213203435596424,1.0,0.16853125000000002,576.1454921596039,0,8
2000,6.75,2.0463381929681126,1.625,0.11096875,590.5051345284052,0,8
2200,5.5,1.8708286933869707,1.5,0.08325,508.02354718742936,0,8
2400,4.75,1.920286436967152,1.5,0.05059375,457.1351748487708,0,8
2600,5.0,2.0,2.0,0.02634375,406.4740271945975,0,8
2800,5.375,1.5761900266148114,1.5,0.031093749999999996,439.91327201054213,0,8
3000,4.25,1.713913650100261,1.75,0.02959375,440.79843627227325,0,8
3200,3.125,1.3635890143294642,2.5,0.048531250000000005,451.7748839875951,0,8
