/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_vec
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0 action_mode=vector projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 43 | Step 1000 | R   125.09 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  978 | 차단 1587
Ep 44 | Step 1000 | R   104.80 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달 1001 | 차단 1916
Ep 45 | Step 1000 | R    70.21 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달 1059 | 차단 2331
Ep 46 | Step 1000 | R   131.51 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  960 | 차단 1891
Ep 47 | Step 1000 | R   101.86 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  932 | 차단 2483
Ep 48 | Step 1000 | R    99.04 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단 2087
Ep 49 | Step 1000 | R    99.87 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달 1010 | 차단 2152
Ep 50 | Step 1000 | R    71.39 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  820 | 차단 2670
  [홀드아웃] 배송 6.8±3.3 미활동 1.17 2홉+ 0.59 도달 704 | 최고 6.8@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R    83.01 | 배송 15/50 | 미활동 1 | 2홉+ 0.72 | 도달 1041 | 차단 2517
Ep 52 | Step 1000 | R   110.38 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단 2123
Ep 53 | Step 1000 | R    79.60 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달 1008 | 차단 1574
Ep 54 | Step 1000 | R   112.63 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달 1069 | 차단 1734
Ep 55 | Step 1000 | R   110.50 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  876 | 차단 1510
Ep 56 | Step 1000 | R   107.26 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단 1004
Ep 57 | Step 1000 | R    61.23 | 배송 12/50 | 미활동 1 | 2홉+ 0.71 | 도달 1074 | 차단 2398
Ep 58 | Step 1000 | R    52.22 | 배송 12/50 | 미활동 0 | 2홉+ 0.56 | 도달  964 | 차단 2271
Ep 59 | Step 1000 | R   105.48 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달 1044 | 차단 2475
Ep 60 | Step 1000 | R    97.86 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  936 | 차단 2017
Ep 61 | Step 1000 | R    83.65 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달 1050 | 차단 2356
Ep 62 | Step 1000 | R   108.31 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1074 | 차단 2566
Ep 63 | Step 1000 | R    16.22 | 배송  9/50 | 미활동 1 | 2홉+ 0.73 | 도달 1048 | 차단 3279
Ep 64 | Step 1000 | R    77.62 | 배송 14/50 | 미활동 1 | 2홉+ 0.68 | 도달  826 | 차단 2572
Ep 65 | Step 1000 | R    78.98 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달 1009 | 차단 2707
Ep 66 | Step 1000 | R   -30.60 | 배송  6/50 | 미활동 0 | 2홉+ 0.49 | 도달  790 | 차단 3480
Ep 67 | Step 1000 | R   -36.33 | 배송  5/50 | 미활동 1 | 2홉+ 0.49 | 도달  704 | 차단 3547
Ep 68 | Step 1000 | R     1.15 | 배송  9/50 | 미활동 0 | 2홉+ 0.49 | 도달  772 | 차단 3434
Ep 69 | Step 1000 | R   -18.45 | 배송  6/50 | 미활동 2 | 2홉+ 0.49 | 도달  876 | 차단 2807
Ep 70 | Step 1000 | R   -31.48 | 배송  6/50 | 미활동 2 | 2홉+ 0.49 | 도달  722 | 차단 3531
Ep 71 | Step 1000 | R   -35.35 | 배송  6/50 | 미활동 1 | 2홉+ 0.49 | 도달  771 | 차단 3620
Ep 72 | Step 1000 | R    -3.49 | 배송  7/50 | 미활동 1 | 2홉+ 0.49 | 도달  894 | 차단 2900
Ep 73 | Step 1000 | R    14.98 | 배송  9/50 | 미활동 1 | 2홉+ 0.58 | 도달  865 | 차단 2911
Ep 74 | Step 1000 | R    -4.54 | 배송  7/50 | 미활동 1 | 2홉+ 0.54 | 도달  854 | 차단 2715
Ep 75 | Step 1000 | R    -5.32 | 배송  6/50 | 미활동 2 | 2홉+ 0.49 | 도달  862 | 차단 2732
Ep 76 | Step 1000 | R    24.56 | 배송  8/50 | 미활동 0 | 2홉+ 0.62 | 도달  892 | 차단 2479
Ep 77 | Step 1000 | R    58.84 | 배송 13/50 | 미활동 0 | 2홉+ 0.65 | 도달  778 | 차단 2969
Ep 78 | Step 1000 | R   138.14 | 배송 18/50 | 미활동 0 | 2홉+ 0.73 | 도달  860 | 차단 1683
Ep 79 | Step 1000 | R    31.53 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달  955 | 차단 3173
Ep 80 | Step 1000 | R   121.93 | 배송 14/50 | 미활동 0 | 2홉+ 0.53 | 도달  880 | 차단 2320
Ep 81 | Step 1000 | R    61.57 | 배송 13/50 | 미활동 0 | 2홉+ 0.70 | 도달  951 | 차단 2668
Ep 82 | Step 1000 | R    60.37 | 배송 13/50 | 미활동 0 | 2홉+ 0.54 | 도달  754 | 차단 2853
Ep 83 | Step 1000 | R     7.98 | 배송  8/50 | 미활동 1 | 2홉+ 0.71 | 도달  574 | 차단 3055
Ep 84 | Step 1000 | R   -31.96 | 배송  6/50 | 미활동 0 | 2홉+ 0.72 | 도달  535 | 차단 3644
Ep 85 | Step 1000 | R   101.50 | 배송 15/50 | 미활동 1 | 2홉+ 0.49 | 도달  773 | 차단 1900
Ep 86 | Step 1000 | R    -4.86 | 배송  8/50 | 미활동 1 | 2홉+ 0.48 | 도달  712 | 차단 2664
Ep 87 | Step 1000 | R    47.26 | 배송 12/50 | 미활동 1 | 2홉+ 0.53 | 도달  897 | 차단 2832
Ep 88 | Step 1000 | R   -10.53 | 배송  6/50 | 미활동 0 | 2홉+ 0.49 | 도달  800 | 차단 2683
Ep 89 | Step 1000 | R    41.29 | 배송 11/50 | 미활동 1 | 2홉+ 0.71 | 도달  939 | 차단 2610
Ep 90 | Step 1000 | R    22.33 | 배송 10/50 | 미활동 0 | 2홉+ 0.59 | 도달  778 | 차단 3059
Ep 91 | Step 1000 | R    40.21 | 배송 11/50 | 미활동 0 | 2홉+ 0.70 | 도달  923 | 차단 2832
Ep 92 | Step 1000 | R    56.42 | 배송 13/50 | 미활동 0 | 2홉+ 0.64 | 도달  891 | 차단 2989
Ep 93 | Step 1000 | R    -4.13 | 배송  7/50 | 미활동 1 | 2홉+ 0.66 | 도달  687 | 차단 2851
Ep 94 | Step 1000 | R    47.36 | 배송 10/50 | 미활동 0 | 2홉+ 0.72 | 도달  986 | 차단 2365
Ep 95 | Step 1000 | R    22.76 | 배송  9/50 | 미활동 1 | 2홉+ 0.73 | 도달  958 | 차단 2943
Ep 96 | Step 1000 | R     8.71 | 배송  9/50 | 미활동 0 | 2홉+ 0.57 | 도달  840 | 차단 3220
Ep 97 | Step 1000 | R     6.93 | 배송  9/50 | 미활동 0 | 2홉+ 0.73 | 도달  686 | 차단 3344
Ep 98 | Step 1000 | R    14.40 | 배송  8/50 | 미활동 2 | 2홉+ 0.49 | 도달  847 | 차단 2610
Ep 99 | Step 1000 | R    13.19 | 배송  9/50 | 미활동 0 | 2홉+ 0.63 | 도달  872 | 차단 2973
Ep 100 | Step 1000 | R   -18.82 | 배송  5/50 | 미활동 2 | 2홉+ 0.49 | 도달  759 | 차단 2973
  [홀드아웃] 배송 5.2±2.9 미활동 0.83 2홉+ 0.57 도달 616 | 최고 6.8@ep50 | 정체 1/15
Ep 101 | Step 1000 | R     4.06 | 배송  9/50 | 미활동 1 | 2홉+ 0.67 | 도달  993 | 차단 3289
Ep 102 | Step 1000 | R     8.96 | 배송  7/50 | 미활동 2 | 2홉+ 0.49 | 도달  722 | 차단 2940
Ep 103 | Step 1000 | R   123.56 | 배송 15/50 | 미활동 0 | 2홉+ 0.59 | 도달  924 | 차단 2374
Ep 104 | Step 1000 | R   -35.61 | 배송  3/50 | 미활동 2 | 2홉+ 0.49 | 도달  732 | 차단 2807
Ep 105 | Step 1000 | R    40.58 | 배송  8/50 | 미활동 2 | 2홉+ 0.47 | 도달  801 | 차단 1617
Ep 106 | Step 1000 | R    19.40 | 배송  9/50 | 미활동 1 | 2홉+ 0.49 | 도달  816 | 차단 3105
Ep 107 | Step 1000 | R    38.84 | 배송  9/50 | 미활동 0 | 2홉+ 0.72 | 도달  982 | 차단 2252
Ep 108 | Step 1000 | R     1.24 | 배송  8/50 | 미활동 0 | 2홉+ 0.73 | 도달  997 | 차단 3187
Ep 109 | Step 1000 | R    48.84 | 배송 11/50 | 미활동 1 | 2홉+ 0.73 | 도달  768 | 차단 2468
Ep 110 | Step 1000 | R    32.00 | 배송 10/50 | 미활동 1 | 2홉+ 0.73 | 도달 1045 | 차단 2719
Ep 111 | Step 1000 | R   138.11 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달  984 | 차단 2076
Ep 112 | Step 1000 | R    42.51 | 배송 11/50 | 미활동 0 | 2홉+ 0.73 | 도달  847 | 차단 2782
Ep 113 | Step 1000 | R   111.97 | 배송 17/50 | 미활동 0 | 2홉+ 0.73 | 도달  956 | 차단 2338
Ep 114 | Step 1000 | R    24.67 | 배송 10/50 | 미활동 0 | 2홉+ 0.60 | 도달  831 | 차단 2999
Ep 115 | Step 1000 | R    12.35 | 배송  7/50 | 미활동 0 | 2홉+ 0.73 | 도달  992 | 차단 2376
Ep 116 | Step 1000 | R    98.68 | 배송 14/50 | 미활동 1 | 2홉+ 0.67 | 도달  823 | 차단 2050
Ep 117 | Step 1000 | R    51.21 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달  800 | 차단 3114
Ep 118 | Step 1000 | R    55.51 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달  830 | 차단 2723
Ep 119 | Step 1000 | R    50.81 | 배송 12/50 | 미활동 0 | 2홉+ 0.64 | 도달  836 | 차단 2835
Ep 120 | Step 1000 | R    62.71 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  878 | 차단 2687
Ep 121 | Step 1000 | R    -8.40 | 배송  7/50 | 미활동 1 | 2홉+ 0.38 | 도달  599 | 차단 3231
Ep 122 | Step 1000 | R    62.04 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달 1014 | 차단 2004
Ep 123 | Step 1000 | R    25.84 | 배송  7/50 | 미활동 1 | 2홉+ 0.70 | 도달  967 | 차단 1924
Ep 124 | Step 1000 | R   107.71 | 배송 16/50 | 미활동 0 | 2홉+ 0.68 | 도달 1000 | 차단 2239
