/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 44 | Step 1000 | R   131.20 | 배송 16/50 | 미활동 0 | 2홉+ 0.61 | 도달 1074 | 차단  859
Ep 45 | Step 1000 | R   130.28 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달  993 | 차단  981
Ep 46 | Step 1000 | R    96.58 | 배송 13/50 | 미활동 0 | 2홉+ 0.66 | 도달  918 | 차단  712
Ep 47 | Step 1000 | R    92.14 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단  656
Ep 48 | Step 1000 | R    90.74 | 배송 12/50 | 미활동 1 | 2홉+ 0.45 | 도달  975 | 차단 1629
Ep 49 | Step 1000 | R    82.24 | 배송 12/50 | 미활동 0 | 2홉+ 0.56 | 도달 1074 | 차단  826
Ep 50 | Step 1000 | R    75.71 | 배송 10/50 | 미활동 0 | 2홉+ 0.67 | 도달 1015 | 차단 1567
  [홀드아웃] 배송 6.5±2.6 미활동 1.00 2홉+ 0.49 도달 896 | 최고 6.5@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R   114.06 | 배송 15/50 | 미활동 0 | 2홉+ 0.57 | 도달 1074 | 차단 1309
Ep 52 | Step 1000 | R   153.81 | 배송 17/50 | 미활동 0 | 2홉+ 0.48 | 도달  855 | 차단 1042
Ep 53 | Step 1000 | R   152.74 | 배송 18/50 | 미활동 0 | 2홉+ 0.41 | 도달  952 | 차단 1125
Ep 54 | Step 1000 | R    53.74 | 배송  8/50 | 미활동 0 | 2홉+ 0.47 | 도달  981 | 차단  992
Ep 55 | Step 1000 | R   126.85 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달 1074 | 차단 1480
Ep 56 | Step 1000 | R    67.77 | 배송 10/50 | 미활동 1 | 2홉+ 0.46 | 도달  959 | 차단 1450
Ep 57 | Step 1000 | R    91.09 | 배송 13/50 | 미활동 0 | 2홉+ 0.60 | 도달 1071 | 차단  959
Ep 58 | Step 1000 | R    27.66 | 배송  7/50 | 미활동 1 | 2홉+ 0.55 | 도달  876 | 차단 2731
Ep 59 | Step 1000 | R   110.89 | 배송 15/50 | 미활동 0 | 2홉+ 0.40 | 도달 1033 | 차단  676
Ep 60 | Step 1000 | R   142.92 | 배송 16/50 | 미활동 0 | 2홉+ 0.46 | 도달  901 | 차단    3
Ep 61 | Step 1000 | R   123.86 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달 1074 | 차단 1030
Ep 62 | Step 1000 | R    87.86 | 배송 11/50 | 미활동 0 | 2홉+ 0.40 | 도달  934 | 차단  865
Ep 63 | Step 1000 | R   124.51 | 배송 14/50 | 미활동 0 | 2홉+ 0.45 | 도달 1028 | 차단  378
