episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
56,1000,390.0,8.231,31,,941,0,4,20,518,0.6562,766.0,0.1195,9,step_limit,0,56000,1048.9
57,1000,370.0,7.989,32,,993,0,3,20,458,0.663,786.5,0.1002,8,step_limit,0,57000,1068.7
58,1000,350.0,9.635,30,,920,0,3,21,419,0.6382,771.2,0.0951,4,step_limit,0,58000,1088.8
59,1000,310.0,-1.293,29,,763,0,2,16,546,0.646,796.3,0.1198,6,step_limit,0,59000,1109.5
60,1000,340.0,-0.824,29,,674,0,3,16,726,0.6422,810.3,0.1595,11,step_limit,0,60000,1130.6
61,1000,350.0,0.632,30,,983,0,3,14,635,0.6653,787.9,0.1381,6,step_limit,0,61000,1150.2
62,1000,360.0,5.68,31,,999,0,3,19,467,0.6518,898.7,0.1022,4,step_limit,0,62000,1170.3
63,1000,410.0,7.766,30,,977,0,5,19,458,0.621,824.7,0.1016,6,step_limit,0,63000,1190.7
64,1000,360.0,4.925,28,,998,0,4,17,479,0.6358,731.4,0.1009,10,step_limit,0,64000,1210.4
65,1000,340.0,-3.787,29,,607,0,3,20,714,0.6583,813.0,0.1743,26,step_limit,0,65000,1230.7
66,1000,420.0,10.763,31,,988,0,5,14,458,0.608,893.4,0.1025,8,step_limit,0,66000,1250.7
67,1000,360.0,5.618,31,,756,0,3,14,429,0.6515,794.2,0.0981,7,step_limit,0,67000,1270.7
68,1000,380.0,9.515,33,,965,0,3,17,340,0.6165,901.4,0.0753,10,step_limit,0,68000,1290.7
69,1000,380.0,6.374,30,,879,0,4,17,453,0.5417,813.1,0.1049,4,step_limit,0,69000,1311.0
70,1000,330.0,9.004,28,,896,0,3,20,540,0.622,830.1,0.1304,7,step_limit,0,70000,1330.9
71,1000,320.0,-3.854,27,,734,0,3,16,732,0.624,854.6,0.1727,8,step_limit,0,71000,1351.2
72,1000,350.0,-1.201,27,,774,0,4,17,690,0.6112,825.3,0.1539,8,step_limit,0,72000,1371.0
73,1000,330.0,5.226,25,,941,0,4,16,417,0.559,791.7,0.0922,6,step_limit,0,73000,1391.0
74,1000,340.0,10.697,29,,963,0,3,16,434,0.6482,746.2,0.1,4,step_limit,0,74000,1410.4
75,1000,360.0,0.035,31,,907,0,3,18,503,0.6402,892.2,0.1098,5,step_limit,0,75000,1431.1
76,1000,340.0,-4.091,29,,913,0,3,13,578,0.6827,870.6,0.1302,8,step_limit,0,76000,1451.6
77,1000,360.0,9.667,31,,898,0,3,20,491,0.634,1033.7,0.1115,10,step_limit,0,77000,1472.0
78,1000,310.0,4.042,26,,923,0,3,12,462,0.6242,818.2,0.1022,10,step_limit,0,78000,1492.3
79,1000,290.0,2.782,27,,964,0,2,14,452,0.6225,788.0,0.0863,4,step_limit,0,79000,1512.3
80,1000,330.0,4.129,28,,890,0,3,14,440,0.6205,715.0,0.0986,8,step_limit,0,80000,1532.9
81,1000,390.0,7.017,28,,951,0,5,21,314,0.549,764.8,0.0643,4,step_limit,0,81000,1553.8
82,1000,370.0,1.538,29,,993,0,4,17,645,0.601,753.4,0.1506,5,step_limit,0,82000,1574.3
83,1000,270.0,-4.585,25,,938,0,2,15,726,0.6653,922.2,0.1681,6,step_limit,0,83000,1594.8
84,1000,390.0,10.287,31,,953,0,4,19,425,0.6328,886.3,0.0986,10,step_limit,0,84000,1614.6
