episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
55,1000,450.0,59.139,34,,958,0,5,39,1134,0.5747,843.2,0.2807,27,step_limit,0,55000,897.5
56,1000,420.0,89.573,31,,975,0,5,133,946,0.4918,740.0,0.244,17,step_limit,0,56000,913.9
57,1000,480.0,152.456,34,,763,0,6,380,804,0.513,867.1,0.1921,20,step_limit,0,57000,931.8
58,1000,520.0,71.252,38,,990,0,6,98,1088,0.563,967.0,0.2876,20,step_limit,0,58000,949.6
59,1000,440.0,193.914,33,,714,0,5,569,840,0.4308,818.2,0.2111,33,step_limit,0,59000,966.2
60,1000,540.0,65.046,37,,901,0,7,86,1185,0.626,855.8,0.2948,14,step_limit,0,60000,983.0
61,1000,400.0,81.581,29,,909,0,5,197,1358,0.5288,816.4,0.3495,91,step_limit,0,61000,999.8
62,1000,440.0,130.712,33,,970,0,5,268,740,0.5373,863.2,0.1821,37,step_limit,0,62000,1018.2
63,1000,500.0,86.461,36,,971,0,6,108,899,0.5413,950.1,0.2278,21,step_limit,0,63000,1036.4
64,1000,440.0,101.703,36,,966,0,4,185,886,0.5162,816.9,0.2307,34,step_limit,0,64000,1054.3
65,1000,400.0,104.072,32,,969,0,4,203,981,0.5405,742.1,0.2437,25,step_limit,0,65000,1071.1
66,1000,380.0,114.881,30,,956,0,4,246,944,0.4532,911.0,0.2396,14,step_limit,0,66000,1089.1
67,1000,410.0,138.77,30,,760,0,5,392,1130,0.415,730.9,0.2867,38,step_limit,0,67000,1105.5
68,1000,440.0,90.673,33,,986,0,5,143,980,0.5455,752.1,0.2439,16,step_limit,0,68000,1122.7
69,1000,370.0,135.935,29,,980,0,4,310,909,0.4675,794.2,0.2179,20,step_limit,0,69000,1140.4
70,1000,350.0,131.889,27,,950,0,4,340,1083,0.479,674.5,0.2735,24,step_limit,0,70000,1158.2
71,1000,280.0,157.741,23,,955,0,3,356,677,0.3655,692.0,0.1702,22,step_limit,0,71000,1175.0
72,1000,430.0,144.763,32,,985,0,5,323,764,0.487,717.9,0.1886,14,step_limit,0,72000,1192.7
73,1000,310.0,131.009,26,,873,0,3,349,1114,0.4565,710.5,0.2762,23,step_limit,0,73000,1209.8
74,1000,380.0,197.108,30,,826,0,4,517,583,0.4128,785.5,0.136,12,step_limit,0,74000,1227.7
75,1000,530.0,104.267,39,,937,0,6,73,444,0.5887,890.3,0.1009,11,step_limit,0,75000,1244.7
76,1000,420.0,152.094,31,,945,0,5,363,758,0.4435,749.6,0.1836,16,step_limit,0,76000,1264.0
77,1000,430.0,127.492,32,,821,0,5,221,619,0.4885,813.6,0.1572,8,step_limit,0,77000,1281.1
78,1000,350.0,132.096,27,,996,0,4,321,981,0.372,785.0,0.2427,37,step_limit,0,78000,1299.9
79,1000,420.0,163.981,31,,890,0,5,385,615,0.3977,742.0,0.1497,17,step_limit,0,79000,1318.7
80,1000,420.0,93.657,31,,919,0,5,169,1028,0.481,784.3,0.2594,14,step_limit,0,80000,1336.2
81,1000,340.0,154.053,26,,853,0,4,374,825,0.3655,645.8,0.2077,42,step_limit,0,81000,1354.7
82,1000,380.0,120.497,30,,940,0,4,250,868,0.4642,734.9,0.218,24,step_limit,0,82000,1372.5
83,1000,340.0,168.158,26,,860,0,4,422,707,0.4025,672.5,0.1782,8,step_limit,0,83000,1391.4
84,1000,310.0,145.999,26,,997,0,3,360,916,0.4338,724.8,0.2311,14,step_limit,0,84000,1409.3
85,1000,420.0,133.453,31,,997,0,5,247,653,0.5112,766.1,0.1566,55,step_limit,0,85000,1428.2
86,1000,280.0,120.461,23,,996,0,3,272,1003,0.4153,717.4,0.2517,24,step_limit,0,86000,1445.7
87,1000,390.0,137.763,28,,827,0,5,330,946,0.4703,695.5,0.2333,24,step_limit,0,87000,1464.4
