episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
56,1000,111.905,16,0.32,,0,3,5,1.0,0,1083,0,0.03942,1.172658,-24.659525,56000,315.9
57,1000,174.5254,19,0.38,,0,4,5,0.433,0,2,0,0.036939,2.572721,-21.965738,57000,321.7
58,1000,112.814,17,0.34,,0,3,5,0.8292,0,931,0,0.034719,0.548881,-23.439682,58000,327.8
59,1000,71.3274,9,0.18,,2,0,5,2.2776,0,225,0,0.032573,0.945571,-22.887543,59000,333.9
60,1000,119.4092,15,0.3,,0,2,5,1.299,0,678,0,0.03055,1.257731,-23.220772,60000,339.7
61,1000,117.9351,19,0.38,,0,4,5,0.433,0,1865,0,0.028789,0.58779,-23.928398,61000,345.5
62,1000,103.6085,17,0.34,,0,2,5,1.299,0,1835,0,0.027582,1.099205,-22.328323,62000,351.5
63,1000,75.812,12,0.24,,0,1,5,1.5811,0,1129,0,0.026993,1.211207,-23.169228,63000,357.5
64,1000,119.967,16,0.32,,0,3,5,1.0,0,884,0,0.026654,0.955545,-23.147305,64000,363.4
65,1000,69.6385,14,0.28,,0,1,5,1.6583,0,351,0,0.02627,0.768743,-22.750786,65000,369.3
66,1000,113.397,16,0.32,,0,3,5,1.0,0,1130,0,0.026313,0.89479,-22.844505,66000,375.4
67,1000,142.0168,17,0.34,,0,2,5,1.299,0,256,0,0.025957,1.543848,-23.452036,67000,381.2
68,1000,56.7362,10,0.2,,0,1,5,1.6583,0,885,0,0.025917,1.256021,-23.064213,68000,387.3
69,1000,149.1283,19,0.38,,0,4,5,0.433,0,493,0,0.02589,0.829354,-24.641022,69000,393.3
70,1000,137.5291,17,0.34,,0,4,5,0.433,0,344,0,0.025378,1.109308,-22.995125,70000,399.3
71,1000,137.0808,17,0.34,,0,2,5,1.299,0,510,0,0.024968,1.202007,-24.84881,71000,405.2
72,1000,166.1339,18,0.36,,0,3,5,0.866,0,282,0,0.024313,0.555072,-26.107979,72000,411.1
73,1000,115.793,17,0.34,,0,3,5,0.8292,0,1343,0,0.024008,0.589093,-23.093563,73000,417.1
74,1000,148.2306,18,0.36,,0,4,5,0.5,0,594,0,0.023639,1.024577,-23.526844,74000,423.2
75,1000,87.1826,14,0.28,,0,2,5,1.118,0,866,0,0.023055,1.535336,-22.441723,75000,429.2
76,1000,139.304,20,0.4,,0,5,5,0.0,0,518,0,0.022898,0.40526,-23.835949,76000,435.1
77,1000,128.069,15,0.3,,0,1,5,1.6394,0,167,0,0.022469,0.601253,-23.415466,77000,441.1
78,1000,111.463,16,0.32,,0,3,5,1.0,0,449,0,0.022019,0.664752,-23.193676,78000,447.0
79,1000,134.9753,17,0.34,,0,3,5,0.8292,0,44,0,0.021874,1.512973,-22.199974,79000,452.9
80,1000,128.7807,16,0.32,,0,2,5,1.2247,0,0,0,0.021288,1.161998,-20.913891,80000,458.7
81,1000,127.5619,16,0.32,,0,1,5,1.7321,0,14,0,0.02082,0.967091,-21.427835,81000,464.4
82,1000,135.4262,16,0.32,,0,3,5,0.7071,0,320,0,0.020469,1.106146,-19.718632,82000,470.4
83,1000,88.6004,14,0.28,,0,1,5,1.6583,0,742,0,0.020202,1.784392,-20.862963,83000,476.2
84,1000,108.7724,16,0.32,,0,2,5,1.2247,0,949,0,0.019703,2.078108,-22.121628,84000,482.1
85,1000,272.7791,23,0.46,,0,3,8,1.9203,2,26,0,0.019484,1.075134,-20.163635,85000,488.1
86,1000,147.8349,18,0.36,,0,3,5,0.866,0,267,0,0.018958,0.816261,-21.216293,86000,494.1
87,1000,153.6681,19,0.38,,0,4,5,0.433,0,157,0,0.018582,0.764299,-19.962755,87000,500.0
88,1000,146.3275,19,0.38,,0,4,5,0.433,0,432,0,0.018085,1.029999,-20.502842,88000,506.0
89,1000,149.7819,19,0.38,,0,4,5,0.433,0,805,0,0.017617,0.932017,-20.134769,89000,512.0
90,1000,140.8903,17,0.34,,0,3,5,0.8292,0,355,0,0.01755,0.873109,-20.123909,90000,518.0
91,1000,116.6395,17,0.34,,0,3,5,0.8292,0,768,0,0.017273,0.957342,-19.658535,91000,524.0
92,1000,120.8436,15,0.3,,0,3,5,0.8292,0,348,0,0.016786,1.364074,-21.899563,92000,529.9
93,1000,86.4211,15,0.3,,0,1,5,1.6394,0,1830,0,0.016728,0.610054,-19.990158,93000,536.0
94,1000,99.5006,16,0.32,,0,2,5,1.2247,0,1161,0,0.016478,0.802671,-20.712032,94000,542.1
95,1000,115.41,17,0.34,,0,3,5,0.8292,0,975,0,0.016374,1.283164,-20.102888,95000,548.1
96,1000,168.136,20,0.4,,0,5,5,0.0,0,279,0,0.016002,0.983062,-19.040388,96000,553.9
97,1000,132.9629,18,0.36,,0,3,5,0.866,0,281,0,0.015826,0.466539,-19.544476,97000,559.7
98,1000,135.607,17,0.34,,0,2,5,1.299,0,292,0,0.015512,0.919887,-19.407183,98000,565.5
99,1000,135.0818,18,0.36,,0,4,5,0.5,0,636,0,0.015496,0.818339,-18.208876,99000,571.4
100,1000,152.0879,20,0.4,,0,5,5,0.0,0,169,0,0.015468,0.65468,-20.107222,100000,577.4
101,1000,156.018,20,0.4,,0,5,5,0.0,0,301,0,0.015612,1.759096,-19.727364,101000,583.6
102,1000,123.2766,18,0.36,,0,4,5,0.5,0,787,0,0.015365,0.666111,-19.096981,102000,589.8
103,1000,148.2904,20,0.4,,0,5,5,0.0,0,729,0,0.015308,0.772506,-18.036793,103000,595.7
104,1000,147.9511,19,0.38,,0,4,5,0.433,0,230,0,0.015262,0.670103,-18.22212,104000,601.6
105,1000,155.1509,20,0.4,,0,5,5,0.0,0,409,0,0.015169,1.130599,-19.145163,105000,607.6
106,1000,210.4048,22,0.44,,0,5,7,0.866,1,245,0,0.014944,1.598647,-17.981537,106000,613.6
107,1000,115.0127,16,0.32,,0,3,5,1.0,0,954,0,0.014729,0.676742,-18.490856,107000,619.7
108,1000,134.6119,19,0.38,,0,4,5,0.433,0,573,0,0.01445,0.66485,-18.464214,108000,625.5
109,1000,85.3888,16,0.32,,0,3,5,0.7071,0,1137,0,0.014494,1.000339,-18.700207,109000,631.6
110,1000,127.4713,17,0.34,,0,2,5,1.299,0,568,0,0.014391,0.794267,-16.043468,110000,637.5
111,1000,139.4821,20,0.4,,0,5,5,0.0,0,1246,0,0.014405,0.981418,-17.659475,111000,643.5
112,1000,168.6208,20,0.4,,0,5,5,0.0,0,379,0,0.014363,0.78919,-17.114616,112000,649.3
113,1000,169.462,20,0.4,,0,5,5,0.0,0,189,0,0.014192,1.285118,-15.988025,113000,655.1
114,1000,134.4197,18,0.36,,0,3,5,0.866,0,823,0,0.013944,0.668596,-16.061077,114000,661.1
