/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda
obs_dim=19, state_dim=66, total_act_dim=8
Ep 46 | Step 1000 | R   156.27 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  754 | 단절 0
Ep 47 | Step 1000 | R   120.63 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  904 | 단절 0
Ep 48 | Step 1000 | R   101.37 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단 1307 | 단절 0
Ep 49 | Step 1000 | R   118.74 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  807 | 단절 0
Ep 50 | Step 1000 | R   154.19 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  572 | 단절 0
Ep 51 | Step 1000 | R   169.10 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  797 | 단절 0
Ep 52 | Step 1000 | R   122.21 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  466 | 단절 0
Ep 53 | Step 1000 | R    92.56 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  969 | 단절 0
Ep 54 | Step 1000 | R   144.20 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단    7 | 단절 0
Ep 55 | Step 1000 | R   112.03 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  586 | 단절 0
Ep 56 | Step 1000 | R   111.90 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단 1083 | 단절 0
Ep 57 | Step 1000 | R   174.53 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단    2 | 단절 0
Ep 58 | Step 1000 | R   112.81 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  931 | 단절 0
Ep 59 | Step 1000 | R    71.33 | 배송  9/50 | 미활동드론 2 | 재적재 0 | 이동차단  225 | 단절 0
Ep 60 | Step 1000 | R   119.41 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  678 | 단절 0
Ep 61 | Step 1000 | R   117.94 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단 1865 | 단절 0
Ep 62 | Step 1000 | R   103.61 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단 1835 | 단절 0
Ep 63 | Step 1000 | R    75.81 | 배송 12/50 | 미활동드론 0 | 재적재 0 | 이동차단 1129 | 단절 0
