/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_e3_obs
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=3
obs_dim=23, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 44 | Step 1000 | R   156.93 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달 1074 | 차단  538
Ep 45 | Step 1000 | R   167.19 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달 1036 | 차단  608
Ep 46 | Step 1000 | R   153.66 | 배송 18/50 | 미활동 0 | 2홉+ 0.64 | 도달 1072 | 차단  216
Ep 47 | Step 1000 | R   128.68 | 배송 16/50 | 미활동 0 | 2홉+ 0.58 | 도달 1042 | 차단  624
Ep 48 | Step 1000 | R   120.75 | 배송 17/50 | 미활동 0 | 2홉+ 0.66 | 도달 1074 | 차단 1476
Ep 49 | Step 1000 | R   150.00 | 배송 19/50 | 미활동 0 | 2홉+ 0.62 | 도달 1055 | 차단  372
Ep 50 | Step 1000 | R   125.17 | 배송 16/50 | 미활동 0 | 2홉+ 0.67 | 도달 1039 | 차단 1027
  [홀드아웃] 배송 13.8±4.1 미활동 0.33 2홉+ 0.62 도달 988 | 최고 13.8@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R    83.14 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달  984 | 차단 1021
Ep 52 | Step 1000 | R   218.96 | 배송 21/50 | 미활동 0 | 2홉+ 0.60 | 도달  997 | 차단  851
Ep 53 | Step 1000 | R   168.22 | 배송 20/50 | 미활동 0 | 2홉+ 0.55 | 도달 1074 | 차단  333
Ep 54 | Step 1000 | R   168.53 | 배송 19/50 | 미활동 0 | 2홉+ 0.62 | 도달 1003 | 차단  100
Ep 55 | Step 1000 | R   133.36 | 배송 16/50 | 미활동 0 | 2홉+ 0.54 | 도달 1011 | 차단  715
Ep 56 | Step 1000 | R    98.77 | 배송 13/50 | 미활동 0 | 2홉+ 0.64 | 도달 1057 | 차단  679
Ep 57 | Step 1000 | R   132.39 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달 1074 | 차단  611
Ep 58 | Step 1000 | R   110.75 | 배송 14/50 | 미활동 1 | 2홉+ 0.52 | 도달 1061 | 차단 1009
Ep 59 | Step 1000 | R   156.57 | 배송 19/50 | 미활동 0 | 2홉+ 0.63 | 도달 1000 | 차단  591
Ep 60 | Step 1000 | R   151.58 | 배송 17/50 | 미활동 0 | 2홉+ 0.58 | 도달 1070 | 차단  285
Ep 61 | Step 1000 | R   148.06 | 배송 18/50 | 미활동 0 | 2홉+ 0.58 | 도달 1074 | 차단  478
Ep 62 | Step 1000 | R   139.94 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단  372
Ep 63 | Step 1000 | R   147.35 | 배송 19/50 | 미활동 0 | 2홉+ 0.67 | 도달  992 | 차단  820
Ep 64 | Step 1000 | R   146.87 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달 1063 | 차단  553
Ep 65 | Step 1000 | R   162.87 | 배송 19/50 | 미활동 0 | 2홉+ 0.63 | 도달 1036 | 차단  269
Ep 66 | Step 1000 | R   117.73 | 배송 15/50 | 미활동 1 | 2홉+ 0.48 | 도달  962 | 차단 1032
Ep 67 | Step 1000 | R   133.07 | 배송 17/50 | 미활동 0 | 2홉+ 0.53 | 도달 1009 | 차단  668
Ep 68 | Step 1000 | R   185.43 | 배송 20/50 | 미활동 0 | 2홉+ 0.52 | 도달 1011 | 차단  243
Ep 69 | Step 1000 | R   197.50 | 배송 19/50 | 미활동 0 | 2홉+ 0.46 | 도달 1027 | 차단  991
Ep 70 | Step 1000 | R   144.15 | 배송 17/50 | 미활동 0 | 2홉+ 0.59 | 도달  966 | 차단  317
Ep 71 | Step 1000 | R   176.41 | 배송 20/50 | 미활동 0 | 2홉+ 0.59 | 도달 1039 | 차단  220
Ep 72 | Step 1000 | R   118.01 | 배송 15/50 | 미활동 1 | 2홉+ 0.52 | 도달 1009 | 차단  520
Ep 73 | Step 1000 | R   151.88 | 배송 18/50 | 미활동 0 | 2홉+ 0.47 | 도달 1000 | 차단  730
Ep 74 | Step 1000 | R    87.72 | 배송 12/50 | 미활동 1 | 2홉+ 0.57 | 도달 1036 | 차단  581
Ep 75 | Step 1000 | R   170.01 | 배송 20/50 | 미활동 0 | 2홉+ 0.53 | 도달  966 | 차단  224
Ep 76 | Step 1000 | R   148.43 | 배송 17/50 | 미활동 0 | 2홉+ 0.48 | 도달  956 | 차단  468
Ep 77 | Step 1000 | R   164.92 | 배송 19/50 | 미활동 0 | 2홉+ 0.46 | 도달  962 | 차단  381
Ep 78 | Step 1000 | R   142.02 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단  931
Ep 79 | Step 1000 | R   108.89 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달 1070 | 차단   24
Ep 80 | Step 1000 | R   144.17 | 배송 16/50 | 미활동 0 | 2홉+ 0.47 | 도달 1074 | 차단  326
Ep 81 | Step 1000 | R   151.98 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달 1067 | 차단  142
Ep 82 | Step 1000 | R   127.95 | 배송 16/50 | 미활동 0 | 2홉+ 0.59 | 도달 1034 | 차단  966
Ep 83 | Step 1000 | R   126.63 | 배송 16/50 | 미활동 0 | 2홉+ 0.53 | 도달 1074 | 차단  813
Ep 84 | Step 1000 | R   154.34 | 배송 18/50 | 미활동 0 | 2홉+ 0.55 | 도달 1062 | 차단  964
Ep 85 | Step 1000 | R    93.72 | 배송 12/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단  659
Ep 86 | Step 1000 | R   138.49 | 배송 16/50 | 미활동 0 | 2홉+ 0.52 | 도달 1031 | 차단  656
Ep 87 | Step 1000 | R   133.68 | 배송 16/50 | 미활동 0 | 2홉+ 0.57 | 도달 1074 | 차단  255
Ep 88 | Step 1000 | R   157.75 | 배송 19/50 | 미활동 0 | 2홉+ 0.46 | 도달  977 | 차단  726
Ep 89 | Step 1000 | R   175.99 | 배송 20/50 | 미활동 0 | 2홉+ 0.65 | 도달 1011 | 차단  759
Ep 90 | Step 1000 | R   182.44 | 배송 20/50 | 미활동 0 | 2홉+ 0.49 | 도달 1069 | 차단  246
Ep 91 | Step 1000 | R   143.12 | 배송 17/50 | 미활동 0 | 2홉+ 0.45 | 도달 1074 | 차단  463
Ep 92 | Step 1000 | R   175.20 | 배송 20/50 | 미활동 0 | 2홉+ 0.66 | 도달 1074 | 차단  455
Ep 93 | Step 1000 | R   151.04 | 배송 19/50 | 미활동 0 | 2홉+ 0.54 | 도달 1071 | 차단  794
Ep 94 | Step 1000 | R   184.01 | 배송 20/50 | 미활동 0 | 2홉+ 0.56 | 도달  988 | 차단  162
Ep 95 | Step 1000 | R   176.24 | 배송 20/50 | 미활동 0 | 2홉+ 0.66 | 도달 1074 | 차단  477
Ep 96 | Step 1000 | R   132.77 | 배송 17/50 | 미활동 0 | 2홉+ 0.54 | 도달  981 | 차단  520
Ep 97 | Step 1000 | R   129.23 | 배송 16/50 | 미활동 0 | 2홉+ 0.26 | 도달  998 | 차단  273
Ep 98 | Step 1000 | R   157.61 | 배송 19/50 | 미활동 0 | 2홉+ 0.56 | 도달  992 | 차단  448
Ep 99 | Step 1000 | R   164.93 | 배송 19/50 | 미활동 0 | 2홉+ 0.59 | 도달  976 | 차단  761
Ep 100 | Step 1000 | R   161.18 | 배송 19/50 | 미활동 0 | 2홉+ 0.54 | 도달  868 | 차단  215
  [홀드아웃] 배송 8.0±3.9 미활동 1.00 2홉+ 0.59 도달 890 | 최고 13.8@ep50 | 정체 1/15
Ep 101 | Step 1000 | R   135.76 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달 1029 | 차단  842
Ep 102 | Step 1000 | R   185.77 | 배송 18/50 | 미활동 0 | 2홉+ 0.31 | 도달  857 | 차단  529
Ep 103 | Step 1000 | R   154.07 | 배송 19/50 | 미활동 0 | 2홉+ 0.61 | 도달  988 | 차단 1023
Ep 104 | Step 1000 | R   176.98 | 배송 20/50 | 미활동 0 | 2홉+ 0.47 | 도달  996 | 차단  368
Ep 105 | Step 1000 | R   126.98 | 배송 16/50 | 미활동 0 | 2홉+ 0.53 | 도달 1003 | 차단  854
Ep 106 | Step 1000 | R    58.44 | 배송 10/50 | 미활동 0 | 2홉+ 0.43 | 도달 1074 | 차단  376
Ep 107 | Step 1000 | R   102.78 | 배송 13/50 | 미활동 1 | 2홉+ 0.51 | 도달 1074 | 차단  450
Ep 108 | Step 1000 | R   125.94 | 배송 17/50 | 미활동 0 | 2홉+ 0.56 | 도달 1074 | 차단  592
Ep 109 | Step 1000 | R   173.83 | 배송 19/50 | 미활동 0 | 2홉+ 0.58 | 도달 1074 | 차단  809
Ep 110 | Step 1000 | R   154.46 | 배송 18/50 | 미활동 0 | 2홉+ 0.60 | 도달 1074 | 차단  240
Ep 111 | Step 1000 | R   165.49 | 배송 19/50 | 미활동 0 | 2홉+ 0.57 | 도달 1020 | 차단  784
Ep 112 | Step 1000 | R   159.57 | 배송 18/50 | 미활동 0 | 2홉+ 0.55 | 도달 1050 | 차단  489
Ep 113 | Step 1000 | R   162.28 | 배송 20/50 | 미활동 0 | 2홉+ 0.53 | 도달 1074 | 차단  626
Ep 114 | Step 1000 | R   227.90 | 배송 22/50 | 미활동 0 | 2홉+ 0.43 | 도달  969 | 차단    3
Ep 115 | Step 1000 | R   155.43 | 배송 18/50 | 미활동 0 | 2홉+ 0.62 | 도달 1057 | 차단  380
Ep 116 | Step 1000 | R   135.52 | 배송 17/50 | 미활동 0 | 2홉+ 0.54 | 도달 1074 | 차단  710
Ep 117 | Step 1000 | R   209.99 | 배송 19/50 | 미활동 0 | 2홉+ 0.41 | 도달  859 | 차단   86
Ep 118 | Step 1000 | R   128.38 | 배송 17/50 | 미활동 0 | 2홉+ 0.63 | 도달 1074 | 차단 1127
Ep 119 | Step 1000 | R   125.48 | 배송 14/50 | 미활동 0 | 2홉+ 0.47 | 도달  784 | 차단  654
Ep 120 | Step 1000 | R   155.95 | 배송 19/50 | 미활동 0 | 2홉+ 0.46 | 도달 1036 | 차단  677
Ep 121 | Step 1000 | R   139.81 | 배송 18/50 | 미활동 0 | 2홉+ 0.49 | 도달  853 | 차단 1129
Ep 122 | Step 1000 | R   166.33 | 배송 20/50 | 미활동 0 | 2홉+ 0.54 | 도달 1062 | 차단  517
Ep 123 | Step 1000 | R   170.21 | 배송 20/50 | 미활동 0 | 2홉+ 0.29 | 도달  954 | 차단    7
Ep 124 | Step 1000 | R   128.75 | 배송 15/50 | 미활동 0 | 2홉+ 0.62 | 도달  954 | 차단  576
Ep 125 | Step 1000 | R   135.34 | 배송 18/50 | 미활동 0 | 2홉+ 0.30 | 도달  882 | 차단 1075
Ep 126 | Step 1000 | R    94.74 | 배송 13/50 | 미활동 0 | 2홉+ 0.41 | 도달 1008 | 차단  867
Ep 127 | Step 1000 | R   179.17 | 배송 20/50 | 미활동 0 | 2홉+ 0.44 | 도달  980 | 차단  235
Ep 128 | Step 1000 | R   128.35 | 배송 17/50 | 미활동 0 | 2홉+ 0.46 | 도달  996 | 차단 1483
Ep 129 | Step 1000 | R   151.83 | 배송 18/50 | 미활동 0 | 2홉+ 0.62 | 도달 1074 | 차단  604
Ep 130 | Step 1000 | R   167.06 | 배송 19/50 | 미활동 0 | 2홉+ 0.53 | 도달 1015 | 차단  336
Ep 131 | Step 1000 | R   162.14 | 배송 19/50 | 미활동 0 | 2홉+ 0.45 | 도달  971 | 차단 1255
Ep 132 | Step 1000 | R   124.57 | 배송 15/50 | 미활동 0 | 2홉+ 0.46 | 도달 1072 | 차단  487
Ep 133 | Step 1000 | R   111.58 | 배송 15/50 | 미활동 1 | 2홉+ 0.57 | 도달 1042 | 차단  216
Ep 134 | Step 1000 | R   179.89 | 배송 20/50 | 미활동 0 | 2홉+ 0.49 | 도달  898 | 차단  251
Ep 135 | Step 1000 | R   198.13 | 배송 18/50 | 미활동 0 | 2홉+ 0.57 | 도달  965 | 차단  950
Ep 136 | Step 1000 | R   108.50 | 배송 14/50 | 미활동 0 | 2홉+ 0.47 | 도달 1010 | 차단  832
Ep 137 | Step 1000 | R   198.80 | 배송 18/50 | 미활동 0 | 2홉+ 0.40 | 도달  869 | 차단  602
Ep 138 | Step 1000 | R   144.67 | 배송 17/50 | 미활동 0 | 2홉+ 0.33 | 도달  932 | 차단  542
Ep 139 | Step 1000 | R   219.66 | 배송 21/50 | 미활동 0 | 2홉+ 0.63 | 도달  885 | 차단  540
Ep 140 | Step 1000 | R   126.69 | 배송 15/50 | 미활동 0 | 2홉+ 0.51 | 도달 1073 | 차단  527
Ep 141 | Step 1000 | R   166.56 | 배송 19/50 | 미활동 0 | 2홉+ 0.52 | 도달  953 | 차단  717
Ep 142 | Step 1000 | R   143.49 | 배송 17/50 | 미활동 0 | 2홉+ 0.64 | 도달  956 | 차단  686
Ep 143 | Step 1000 | R   159.94 | 배송 19/50 | 미활동 0 | 2홉+ 0.34 | 도달  944 | 차단  156
Ep 144 | Step 1000 | R   148.40 | 배송 16/50 | 미활동 0 | 2홉+ 0.55 | 도달 1074 | 차단 1521
Ep 145 | Step 1000 | R   180.02 | 배송 20/50 | 미활동 0 | 2홉+ 0.51 | 도달  991 | 차단  960
Ep 146 | Step 1000 | R   168.02 | 배송 19/50 | 미활동 0 | 2홉+ 0.54 | 도달 1074 | 차단  618
Ep 147 | Step 1000 | R   192.82 | 배송 20/50 | 미활동 0 | 2홉+ 0.35 | 도달 1057 | 차단  490
Ep 148 | Step 1000 | R   184.05 | 배송 18/50 | 미활동 0 | 2홉+ 0.45 | 도달  949 | 차단  141
Ep 149 | Step 1000 | R   212.21 | 배송 21/50 | 미활동 0 | 2홉+ 0.34 | 도달  877 | 차단  389
Ep 150 | Step 1000 | R   151.36 | 배송 17/50 | 미활동 0 | 2홉+ 0.54 | 도달 1031 | 차단  151
  [홀드아웃] 배송 14.8±2.9 미활동 0.00 2홉+ 0.51 도달 889 | 최고 14.8@ep150 | 정체 0/15  ← 최고 갱신
Ep 151 | Step 1000 | R   191.62 | 배송 19/50 | 미활동 0 | 2홉+ 0.27 | 도달  629 | 차단  457
Ep 152 | Step 1000 | R   126.88 | 배송 16/50 | 미활동 0 | 2홉+ 0.41 | 도달  908 | 차단  542
Ep 153 | Step 1000 | R   103.65 | 배송 14/50 | 미활동 0 | 2홉+ 0.34 | 도달  815 | 차단  196
Ep 154 | Step 1000 | R   150.73 | 배송 17/50 | 미활동 0 | 2홉+ 0.52 | 도달 1026 | 차단  257
Ep 155 | Step 1000 | R   150.94 | 배송 17/50 | 미활동 0 | 2홉+ 0.38 | 도달  992 | 차단  221
Ep 156 | Step 1000 | R   182.07 | 배송 19/50 | 미활동 0 | 2홉+ 0.44 | 도달 1025 | 차단  234
Ep 157 | Step 1000 | R   154.15 | 배송 17/50 | 미활동 0 | 2홉+ 0.50 | 도달  957 | 차단   64
Ep 158 | Step 1000 | R   168.04 | 배송 19/50 | 미활동 0 | 2홉+ 0.42 | 도달  877 | 차단  536
Ep 159 | Step 1000 | R   250.67 | 배송 23/50 | 미활동 0 | 2홉+ 0.34 | 도달  906 | 차단  163
Ep 160 | Step 1000 | R   107.73 | 배송 13/50 | 미활동 1 | 2홉+ 0.32 | 도달  648 | 차단  304
Ep 161 | Step 1000 | R   188.57 | 배송 19/50 | 미활동 0 | 2홉+ 0.27 | 도달  955 | 차단  352
Ep 162 | Step 1000 | R   177.85 | 배송 20/50 | 미활동 0 | 2홉+ 0.48 | 도달  993 | 차단  194
Ep 163 | Step 1000 | R   180.04 | 배송 20/50 | 미활동 0 | 2홉+ 0.37 | 도달  921 | 차단  550
Ep 164 | Step 1000 | R   156.43 | 배송 18/50 | 미활동 0 | 2홉+ 0.61 | 도달 1074 | 차단  438
Ep 165 | Step 1000 | R   183.69 | 배송 20/50 | 미활동 0 | 2홉+ 0.50 | 도달  976 | 차단  170
Ep 166 | Step 1000 | R   148.59 | 배송 18/50 | 미활동 0 | 2홉+ 0.35 | 도달 1034 | 차단  883
Ep 167 | Step 1000 | R   136.87 | 배송 17/50 | 미활동 0 | 2홉+ 0.31 | 도달  751 | 차단  374
Ep 168 | Step 1000 | R   205.61 | 배송 19/50 | 미활동 0 | 2홉+ 0.42 | 도달  857 | 차단  256
Ep 169 | Step 1000 | R   206.92 | 배송 20/50 | 미활동 0 | 2홉+ 0.44 | 도달  765 | 차단  178
Ep 170 | Step 1000 | R   179.48 | 배송 17/50 | 미활동 0 | 2홉+ 0.39 | 도달  890 | 차단  590
Ep 171 | Step 1000 | R   181.78 | 배송 20/50 | 미활동 0 | 2홉+ 0.45 | 도달  971 | 차단   47
Ep 172 | Step 1000 | R   247.91 | 배송 23/50 | 미활동 0 | 2홉+ 0.33 | 도달  691 | 차단  383
Ep 173 | Step 1000 | R   166.29 | 배송 19/50 | 미활동 0 | 2홉+ 0.43 | 도달  892 | 차단  381
Ep 174 | Step 1000 | R   124.09 | 배송 16/50 | 미활동 0 | 2홉+ 0.37 | 도달  935 | 차단  778
Ep 175 | Step 1000 | R   206.93 | 배송 20/50 | 미활동 0 | 2홉+ 0.33 | 도달  992 | 차단  228
Ep 176 | Step 1000 | R   108.51 | 배송 17/50 | 미활동 0 | 2홉+ 0.48 | 도달  767 | 차단  139
Ep 177 | Step 1000 | R   108.70 | 배송 12/50 | 미활동 0 | 2홉+ 0.40 | 도달  830 | 차단  429
Ep 178 | Step 1000 | R   197.33 | 배송 18/50 | 미활동 0 | 2홉+ 0.20 | 도달  857 | 차단  108
Ep 179 | Step 1000 | R   151.28 | 배송 18/50 | 미활동 0 | 2홉+ 0.53 | 도달  970 | 차단  126
Ep 180 | Step 1000 | R   213.68 | 배송 21/50 | 미활동 0 | 2홉+ 0.44 | 도달  914 | 차단  329
Ep 181 | Step 1000 | R   159.71 | 배송 18/50 | 미활동 0 | 2홉+ 0.44 | 도달 1043 | 차단  351
Ep 182 | Step 1000 | R   166.28 | 배송 18/50 | 미활동 0 | 2홉+ 0.55 | 도달  971 | 차단  299
Ep 183 | Step 1000 | R   117.19 | 배송 15/50 | 미활동 0 | 2홉+ 0.28 | 도달  770 | 차단    2
Ep 184 | Step 1000 | R   181.58 | 배송 20/50 | 미활동 0 | 2홉+ 0.35 | 도달  971 | 차단  266
Ep 185 | Step 1000 | R   132.30 | 배송 18/50 | 미활동 0 | 2홉+ 0.29 | 도달  774 | 차단  285
Ep 186 | Step 1000 | R   160.01 | 배송 18/50 | 미활동 0 | 2홉+ 0.28 | 도달 1028 | 차단  100
Ep 187 | Step 1000 | R   146.45 | 배송 18/50 | 미활동 0 | 2홉+ 0.40 | 도달 1074 | 차단  385
Ep 188 | Step 1000 | R   213.17 | 배송 20/50 | 미활동 0 | 2홉+ 0.45 | 도달  893 | 차단  493
Ep 189 | Step 1000 | R    65.68 | 배송 10/50 | 미활동 1 | 2홉+ 0.24 | 도달  726 | 차단  429
Ep 190 | Step 1000 | R   193.65 | 배송 17/50 | 미활동 0 | 2홉+ 0.17 | 도달  770 | 차단   11
Ep 191 | Step 1000 | R   145.50 | 배송 17/50 | 미활동 0 | 2홉+ 0.42 | 도달  785 | 차단  663
Ep 192 | Step 1000 | R   188.68 | 배송 19/50 | 미활동 0 | 2홉+ 0.27 | 도달  695 | 차단  101
Ep 193 | Step 1000 | R   131.00 | 배송 16/50 | 미활동 0 | 2홉+ 0.45 | 도달 1031 | 차단  652
Ep 194 | Step 1000 | R   130.38 | 배송 17/50 | 미활동 0 | 2홉+ 0.35 | 도달  870 | 차단  656
Ep 195 | Step 1000 | R   177.87 | 배송 16/50 | 미활동 0 | 2홉+ 0.29 | 도달  794 | 차단  261
Ep 196 | Step 1000 | R   101.40 | 배송 13/50 | 미활동 0 | 2홉+ 0.14 | 도달  664 | 차단  213
Ep 197 | Step 1000 | R   118.68 | 배송 16/50 | 미활동 0 | 2홉+ 0.60 | 도달  638 | 차단  944
Ep 198 | Step 1000 | R   151.74 | 배송 16/50 | 미활동 0 | 2홉+ 0.34 | 도달  962 | 차단  566
Ep 199 | Step 1000 | R   109.05 | 배송 15/50 | 미활동 0 | 2홉+ 0.36 | 도달  670 | 차단   41
Ep 200 | Step 1000 | R   134.56 | 배송 16/50 | 미활동 0 | 2홉+ 0.37 | 도달  744 | 차단  281
  [홀드아웃] 배송 10.7±2.9 미활동 0.33 2홉+ 0.52 도달 750 | 최고 14.8@ep150 | 정체 1/15
