episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
68,3,44,897,528.542,44,897,7,0.4712,674.5,0.3123,45,complete,0.2133,913.5
69,4,34,705,367.718,34,705,5,0.5014,734.8,0.2879,51,complete,0.2303,927.6
70,4,31,1000,-15.665,21,,1,0.6887,1023.0,0.6574,158,step_limit,0.34,944.9
71,5,71,592,897.407,71,592,11,0.4625,592.6,0.1565,17,complete,0.1315,956.5
72,3,53,1000,633.43,51,,9,0.5317,765.6,0.1761,25,step_limit,0.3058,977.1
73,4,21,614,145.402,21,614,2,0.6828,1066.6,0.3383,37,complete,0.274,988.1
74,5,45,667,536.461,45,667,7,0.6081,854.9,0.2857,12,complete,0.1976,1001.7
75,5,40,664,459.788,40,664,7,0.6003,794.4,0.3688,11,complete,0.2024,1014.3
76,4,75,1000,656.917,62,,9,0.6185,871.8,0.388,25,step_limit,0.2395,1034.8
77,5,24,449,179.633,24,449,1,0.5465,907.5,0.49,31,complete,0.1721,1041.9
78,4,64,1000,683.694,58,,10,0.5717,831.2,0.4441,44,step_limit,0.1694,1063.0
79,3,41,864,497.092,41,864,7,0.5498,774.7,0.3381,33,complete,0.236,1078.3
80,3,69,1000,702.539,56,,10,0.3903,609.8,0.3893,75,step_limit,0.1786,1099.9
81,6,47,553,517.909,47,553,6,0.6353,827.8,0.3821,9,complete,0.1374,1110.4
82,6,69,757,883.806,69,757,13,0.6334,900.7,0.2912,14,complete,0.1883,1123.6
83,5,31,492,351.126,31,492,5,0.648,912.8,0.2402,8,complete,0.2095,1134.6
84,3,33,862,378.049,33,862,6,0.4451,786.1,0.3781,132,complete,0.1905,1149.2
85,4,38,437,474.562,38,437,6,0.4897,549.9,0.2812,20,complete,0.162,1156.8
86,6,24,383,154.645,24,383,1,0.7698,817.3,0.2722,6,complete,0.1979,1163.5
87,3,30,809,313.75,30,809,5,0.3614,731.7,0.4013,90,complete,0.2149,1179.4
88,4,38,1000,265.253,33,,4,0.5825,911.8,0.5017,42,step_limit,0.227,1197.4
89,3,57,1000,398.653,41,,6,0.5433,765.0,0.5114,151,step_limit,0.2407,1217.6
90,6,21,304,166.589,21,304,1,0.7089,981.3,0.2268,3,complete,0.1667,1224.2
91,6,77,633,933.869,77,633,12,0.5922,895.2,0.1828,6,complete,0.1751,1238.0
92,4,69,1000,587.119,59,,8,0.5455,772.5,0.4143,32,step_limit,0.2201,1255.8
93,6,60,451,779.16,60,451,10,0.503,744.6,0.1254,3,complete,0.1407,1262.6
94,6,45,342,535.92,45,342,6,0.5171,767.4,0.0654,4,complete,0.1615,1269.4
95,4,71,1000,865.149,69,,12,0.5015,676.4,0.3048,36,step_limit,0.1811,1282.2
96,3,74,1000,673.951,56,,10,0.4693,758.1,0.3545,61,step_limit,0.2348,1294.9
97,6,47,458,556.737,47,458,7,0.5688,786.6,0.2456,5,complete,0.1104,1303.3
98,6,50,675,566.42,50,675,8,0.6901,959.3,0.3151,12,complete,0.1993,1310.8
99,6,35,420,425.737,35,420,6,0.5929,804.9,0.194,3,complete,0.1855,1317.5
100,3,40,815,453.865,40,815,6,0.5035,731.4,0.3601,57,complete,0.2588,1328.9
101,3,23,824,236.18,23,824,4,0.4604,707.4,0.2462,41,complete,0.2629,1418.8
102,3,21,522,235.326,21,522,3,0.5587,773.2,0.2562,36,complete,0.3013,1429.2
103,6,72,826,927.773,72,826,13,0.5317,723.8,0.3629,15,complete,0.1693,1446.5
104,3,27,724,269.202,27,724,4,0.5815,799.3,0.3511,48,complete,0.2222,1458.5
105,4,63,1000,798.089,62,,11,0.5383,799.3,0.3206,25,step_limit,0.1667,1477.9
106,5,58,416,738.984,58,416,9,0.512,731.0,0.0655,4,complete,0.16,1485.6
107,6,75,764,894.64,75,764,12,0.6998,1072.7,0.251,10,complete,0.2245,1499.3
108,4,55,1000,576.138,52,,8,0.5825,921.6,0.3974,41,step_limit,0.2735,1519.3
109,5,64,1000,695.695,60,,11,0.6052,929.8,0.4443,19,step_limit,0.194,1536.7
110,4,55,793,708.753,55,793,10,0.5508,837.3,0.2607,11,complete,0.2156,1552.8
111,5,67,919,822.162,67,919,12,0.6348,956.7,0.2896,12,complete,0.2248,1568.5
112,4,46,1000,466.296,44,,8,0.5483,744.2,0.4742,93,step_limit,0.2595,1588.1
113,5,43,408,487.565,43,408,5,0.5049,659.1,0.1166,6,complete,0.1206,1595.4
114,3,80,1000,727.116,61,,10,0.4127,756.4,0.2753,41,step_limit,0.1893,1614.8
115,6,78,761,983.363,78,761,13,0.4707,725.8,0.3065,11,complete,0.1749,1627.7
116,5,72,698,916.343,72,698,12,0.5854,860.3,0.2638,11,complete,0.1565,1640.4
117,4,54,673,712.139,54,673,10,0.5431,718.2,0.2155,11,complete,0.1933,1654.3
118,3,63,1000,598.586,50,,9,0.4743,783.2,0.3799,62,step_limit,0.2201,1671.3
119,6,66,564,803.096,66,564,10,0.6037,795.2,0.2884,14,complete,0.1276,1682.8
120,5,70,1000,833.093,69,,12,0.566,846.4,0.4055,14,step_limit,0.175,1700.2
121,5,45,524,500.2,45,524,6,0.6286,804.6,0.3089,38,complete,0.1887,1709.2
122,5,26,485,279.673,26,485,4,0.5971,1028.5,0.3379,13,complete,0.2483,1721.3
123,6,30,411,331.62,30,411,5,0.6119,837.9,0.2454,8,complete,0.1699,1728.9
124,3,80,1000,718.594,60,,10,0.4983,772.6,0.318,88,step_limit,0.2062,1747.1
125,6,41,327,482.385,41,327,6,0.5688,747.6,0.1233,7,complete,0.1042,1755.7
126,4,50,1000,489.112,47,,7,0.635,972.2,0.3678,23,step_limit,0.3203,1773.3
127,4,37,1000,304.097,35,,5,0.6088,897.0,0.5421,114,step_limit,0.2632,1793.9
128,3,42,1000,361.371,39,,5,0.5023,790.8,0.428,138,step_limit,0.2821,1810.9
129,5,52,714,645.281,52,714,9,0.6025,844.8,0.2453,10,complete,0.1792,1827.0
130,3,40,1000,250.792,30,,4,0.5913,757.9,0.5446,224,step_limit,0.2674,1845.6
131,4,39,447,487.905,39,447,6,0.4737,629.3,0.1757,10,complete,0.1343,1854.1
132,6,63,494,797.598,63,494,10,0.4686,717.5,0.2419,6,complete,0.1147,1864.8
133,4,61,1000,763.934,59,,11,0.4998,763.0,0.4587,138,step_limit,0.1674,1882.2
134,5,22,236,196.109,22,236,1,0.4864,694.5,0.0857,4,complete,0.1829,1886.4
135,3,20,578,179.795,20,578,2,0.5087,712.8,0.2762,19,complete,0.227,1898.3
136,6,57,484,726.434,57,484,10,0.6136,831.5,0.1961,5,complete,0.1647,1907.2
137,4,24,465,238.083,24,465,3,0.4704,722.1,0.3166,18,complete,0.2021,1915.7
138,5,35,474,393.257,35,474,5,0.4895,587.9,0.3051,18,complete,0.1424,1926.0
139,4,29,446,327.857,29,446,4,0.6317,834.6,0.1897,11,complete,0.2241,1933.8
140,3,32,1000,236.563,26,,5,0.4467,776.6,0.4844,277,step_limit,0.2542,1950.4
141,4,54,957,637.898,54,957,9,0.4177,608.3,0.3653,28,complete,0.1481,1969.0
142,3,42,932,531.49,42,932,8,0.4918,664.4,0.3466,66,complete,0.2343,1982.3
143,3,23,717,228.251,23,717,3,0.5783,750.2,0.5008,151,complete,0.2022,1990.3
144,4,61,1000,657.967,58,,9,0.5485,831.9,0.395,58,step_limit,0.2174,2006.1
145,4,64,997,796.601,64,997,11,0.4689,732.8,0.3324,52,complete,0.1492,2017.7
146,3,71,1000,688.666,56,,10,0.411,580.5,0.4421,57,step_limit,0.1698,2030.1
147,3,48,883,602.779,48,883,8,0.4485,703.9,0.2492,36,complete,0.1924,2039.2
148,5,36,601,348.894,36,601,4,0.7062,1029.8,0.3519,11,complete,0.2587,2048.3
149,5,40,487,472.812,40,487,6,0.4661,850.6,0.2489,32,complete,0.1634,2056.6
150,4,26,723,263.311,26,723,4,0.546,804.0,0.3769,34,complete,0.2361,2069.2
151,5,70,770,851.821,70,770,11,0.5675,861.9,0.2553,7,complete,0.1896,2153.8
152,6,48,516,611.202,48,516,9,0.6592,814.2,0.1972,6,complete,0.1749,2162.8
153,6,57,554,672.539,57,554,9,0.5839,943.3,0.2634,5,complete,0.1684,2175.3
154,6,34,271,443.687,34,271,6,0.4822,722.2,0.0413,0,complete,0.1538,2180.6
155,6,80,821,923.54,80,821,12,0.6594,915.2,0.3362,19,complete,0.1978,2195.7
156,6,59,637,725.892,59,637,10,0.6518,919.8,0.326,10,complete,0.1736,2209.4
157,3,42,1000,485.957,41,,7,0.4757,766.5,0.2951,38,step_limit,0.2483,2227.0
158,5,76,941,936.989,76,941,13,0.4459,599.8,0.4084,32,complete,0.1333,2246.4
159,6,47,435,527.721,47,435,6,0.5421,850.7,0.2058,6,complete,0.1301,2254.0
160,3,62,1000,548.445,50,,8,0.399,725.9,0.4471,144,step_limit,0.2421,2273.0
161,4,31,489,370.763,31,489,5,0.5041,800.9,0.2752,28,complete,0.1797,2281.2
162,4,26,701,253.914,26,701,4,0.5578,953.4,0.3365,47,complete,0.2159,2292.8
163,5,21,554,76.681,21,554,0,0.7433,1070.5,0.4567,16,complete,0.3358,2304.6
164,6,79,804,1000.185,79,804,14,0.6694,983.8,0.2946,12,complete,0.1848,2318.7
165,6,47,353,513.786,47,353,5,0.5326,795.2,0.0975,5,complete,0.1208,2325.2
166,4,77,895,996.127,77,895,13,0.5006,883.3,0.2048,26,complete,0.1737,2342.7
167,5,77,942,897.361,77,942,12,0.673,1082.0,0.2463,14,complete,0.2979,2358.8
168,6,29,362,277.114,29,362,3,0.692,803.3,0.2664,3,complete,0.2075,2364.9
169,6,59,516,720.298,59,516,9,0.6315,936.3,0.206,9,complete,0.1612,2376.4
170,4,74,1000,836.189,68,,12,0.592,945.3,0.3122,57,step_limit,0.2634,2393.3
171,5,34,393,425.806,34,393,6,0.4926,594.9,0.1758,4,complete,0.1439,2400.1
172,3,43,1000,351.137,35,,6,0.4503,680.7,0.4959,64,step_limit,0.273,2420.3
173,4,35,799,319.103,35,799,4,0.6546,923.8,0.4249,38,complete,0.2833,2433.9
174,6,43,451,490.484,43,451,6,0.5625,781.9,0.2421,6,complete,0.119,2445.1
175,6,30,505,261.98,30,505,3,0.7172,1054.8,0.3683,12,complete,0.1972,2454.1
176,6,29,371,277.94,29,371,3,0.6707,964.8,0.2541,5,complete,0.152,2460.4
177,3,45,946,554.487,45,946,8,0.5046,793.3,0.2964,73,complete,0.2687,2479.2
178,3,20,543,210.26,20,543,3,0.5629,772.9,0.2736,18,complete,0.2721,2488.7
179,6,66,717,748.071,66,717,10,0.6753,1003.7,0.2957,13,complete,0.2019,2501.1
180,6,22,218,182.02,22,218,1,0.5948,673.2,0.1161,2,complete,0.1481,2505.2
181,6,77,744,990.654,77,744,14,0.6873,924.1,0.1781,2,complete,0.2579,2521.5
182,4,74,912,920.363,74,912,12,0.571,842.0,0.2808,37,complete,0.182,2537.3
183,6,40,332,448.555,40,332,5,0.4538,650.0,0.104,4,complete,0.1129,2543.8
184,4,77,966,980.056,77,966,13,0.5277,845.0,0.2807,55,complete,0.1716,2563.2
185,5,72,732,872.06,72,732,11,0.6153,891.8,0.1858,6,complete,0.1823,2575.1
186,5,74,745,948.858,74,745,13,0.5189,761.6,0.2412,11,complete,0.1563,2590.9
187,3,65,1000,748.394,57,,11,0.4657,745.1,0.247,31,step_limit,0.2017,2608.5
188,3,80,1000,381.474,44,,6,0.5403,693.4,0.4577,177,step_limit,0.31,2629.2
189,5,55,766,670.518,55,766,10,0.588,880.1,0.3905,12,complete,0.2093,2642.5
190,4,36,1000,361.056,34,,6,0.6562,952.5,0.5364,156,step_limit,0.293,2661.5
191,3,28,841,283.559,28,841,4,0.5442,795.1,0.4694,58,complete,0.2456,2674.8
192,6,74,577,940.775,74,577,12,0.5737,822.8,0.1869,8,complete,0.1286,2684.5
193,4,61,1000,439.908,48,,7,0.6175,887.0,0.4585,56,step_limit,0.2523,2701.5
194,6,73,691,943.228,73,691,13,0.5716,760.6,0.3188,10,complete,0.1239,2711.1
195,5,69,1000,755.101,65,,11,0.6838,991.3,0.4263,33,step_limit,0.2163,2726.2
196,4,47,742,574.856,47,742,8,0.405,701.7,0.2693,19,complete,0.1277,2733.4
197,5,27,533,268.35,27,533,4,0.6645,870.8,0.4006,51,complete,0.1733,2738.9
198,4,56,771,685.981,56,771,9,0.4154,657.5,0.2753,38,complete,0.1126,2746.5
199,3,57,1000,524.216,48,,7,0.5253,769.7,0.4142,153,step_limit,0.2171,2759.1
200,6,64,641,800.309,64,641,11,0.644,970.3,0.308,12,complete,0.165,2767.8
201,6,38,517,358.501,38,517,4,0.706,1098.3,0.3633,12,complete,0.209,2843.4
202,3,32,782,320.596,32,782,4,0.5806,791.9,0.4124,69,complete,0.3207,2857.2
203,4,23,402,276.963,23,402,4,0.3899,656.1,0.1944,10,complete,0.1302,2866.8
204,4,38,663,442.996,38,663,6,0.3537,765.4,0.2691,18,complete,0.1324,2877.9
205,4,27,643,247.717,27,643,3,0.4708,689.9,0.3878,19,complete,0.1786,2889.2
206,3,58,1000,666.002,55,,9,0.475,793.1,0.1725,18,step_limit,0.2763,2909.0
207,4,52,1000,463.569,45,,7,0.6488,897.7,0.3609,20,step_limit,0.2136,2926.2
208,4,60,1000,638.38,53,,10,0.629,990.8,0.3401,36,step_limit,0.2717,2945.8
209,3,72,1000,530.5,48,,8,0.5123,799.3,0.4547,120,step_limit,0.2444,2962.5
210,6,39,377,435.872,39,377,5,0.5782,708.9,0.1774,10,complete,0.1349,2971.5
211,3,55,1000,523.789,45,,8,0.4987,678.7,0.38,89,step_limit,0.2168,2989.3
212,4,62,842,765.855,62,842,10,0.459,738.4,0.2479,26,complete,0.172,3006.2
213,5,77,726,1059.901,77,726,15,0.4105,623.5,0.2374,12,complete,0.128,3019.3
214,4,44,895,491.136,44,895,7,0.5254,662.6,0.4036,38,complete,0.1675,3037.2
215,3,49,1000,549.708,47,,8,0.5223,749.4,0.3155,34,step_limit,0.2438,3054.7
216,6,29,333,310.261,29,333,4,0.6997,971.1,0.1442,3,complete,0.163,3060.7
217,5,36,347,389.858,36,347,4,0.4536,649.9,0.1378,7,complete,0.1,3066.8
218,5,55,421,679.941,55,421,8,0.5506,713.8,0.1454,6,complete,0.09,3076.7
219,3,35,992,364.811,35,992,5,0.5608,791.0,0.4063,88,complete,0.2292,3093.2
220,6,73,754,960.292,73,754,14,0.613,838.3,0.3777,19,complete,0.1585,3108.7
221,6,25,312,257.272,25,312,3,0.633,836.4,0.2553,5,complete,0.1519,3114.0
222,4,30,416,327.787,30,416,4,0.5895,804.3,0.2206,13,complete,0.1786,3121.3
