episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
53,4219,461.24,3.827,42,,3220,0,7,40,2825,0.6055,915.3,0.1512,15,no_progress,0,215601,3877.7
54,4609,405.64,-71.387,41,,3610,0,6,30,5425,0.6489,947.9,0.2617,23,no_progress,0,220210,3969.2
55,2148,374.08,-25.503,31,,1149,0,5,15,2181,0.6473,861.3,0.2298,56,no_progress,0,222358,4012.1
56,4020,489.2,-7.259,41,,3021,0,8,33,2433,0.6411,875.3,0.126,7,no_progress,0,226378,4091.0
57,4008,519.68,9.236,44,,3009,0,8,33,2463,0.5046,940.4,0.1306,11,no_progress,0,230386,4170.9
58,5273,449.08,-46.471,45,,4274,0,7,27,4865,0.6529,1050.7,0.202,20,no_progress,0,235659,4271.6
59,4378,504.88,-11.822,44,,3379,0,8,31,2793,0.5473,853.4,0.1371,14,no_progress,0,240037,4347.2
60,2568,297.28,-11.451,28,,1569,0,4,16,1498,0.5581,705.2,0.129,13,no_progress,0,242605,4393.1
61,4390,504.4,3.698,44,,3391,0,8,33,2596,0.5496,930.4,0.1275,19,no_progress,0,246995,4472.0
62,3740,470.4,-24.62,41,,2741,0,7,30,3441,0.6463,886.1,0.2018,14,no_progress,0,250735,4538.8
63,6558,437.68,-18.492,46,,5559,0,8,30,4545,0.5669,1056.2,0.1546,19,no_progress,0,257293,4650.7
64,5204,471.84,2.712,44,,4205,0,8,26,3747,0.6235,912.7,0.1541,64,no_progress,0,262497,4746.3
65,3868,535.28,21.558,45,,2869,0,8,32,1756,0.5226,964.5,0.0993,8,no_progress,0,266365,4813.8
66,4147,504.12,7.17,43,,3148,0,8,35,1778,0.4766,854.8,0.0912,14,no_progress,0,270512,4874.3
67,5491,510.36,-23.355,49,,4492,0,8,47,4852,0.5739,1002.5,0.2004,33,no_progress,0,276003,4960.2
68,5933,502.68,-68.465,50,5933,5933,0,8,41,5991,0.6189,1017.5,0.2252,17,complete,0,281936,5054.3
69,3343,506.28,-21.728,43,,2344,0,7,36,2761,0.6123,967.4,0.1854,20,no_progress,0,285279,5109.3
70,6953,411.88,-78.104,48,,5954,0,7,36,6837,0.6339,1015.4,0.2173,34,no_progress,0,292232,5219.7
71,5009,419.64,-44.859,41,,4010,0,7,44,5077,0.5311,873.2,0.23,80,no_progress,0,297241,5300.7
72,4739,490.44,-22.844,44,,3740,0,8,24,3254,0.6392,907.0,0.15,11,no_progress,0,301980,5375.0
73,5084,506.64,-38.819,47,,4988,0,8,23,4359,0.6156,1015.3,0.1906,100,deadlock,0,307064,5458.0
74,4785,468.6,-18.525,45,,3786,0,7,30,3915,0.5787,968.5,0.1775,25,no_progress,0,311849,5538.1
75,4161,483.56,-13.05,44,,3162,0,7,29,3168,0.6444,909.8,0.1631,15,no_progress,0,316010,5605.5
76,3260,479.6,-28.306,40,,2261,0,7,23,3202,0.6524,882.3,0.2231,43,no_progress,0,319270,5656.5
