episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,is_best,wall_sec
50,43.25,10.1499,6.3333,0.6015,859.3941,0.25,1,851.3
100,42.75,7.3612,6.75,0.6276,858.4322,0.0833,0,1772.7
150,44.0833,3.7296,6.6667,0.6475,903.2137,0.0833,1,2803.0
200,45.4167,3.5697,7.4167,0.6341,892.6517,0.1667,1,3741.4
250,45.1667,3.7602,7.5,0.623,897.7486,0.0833,0,4723.4
300,44.5833,3.9887,7.0833,0.6368,904.6749,0.0833,0,5651.2
350,46.0833,2.3259,7.6667,0.6334,899.0009,0.1667,1,6600.8
400,45.3333,3.0641,7.8333,0.6282,897.3137,0.1667,0,7644.6
450,46.1667,2.075,7.75,0.6156,890.4437,0.1667,1,8608.7
500,47.1667,1.993,8.1667,0.6255,913.5111,0.1667,1,9615.2
550,44.9167,2.9,7.8333,0.6172,882.5801,0.0,0,10568.2
600,47.5833,1.754,8.1667,0.6286,913.7062,0.25,1,11474.0
650,46.5833,1.6562,8.1667,0.6318,908.3199,0.0833,0,12495.6
700,46.1667,2.4438,7.75,0.6341,903.696,0.1667,0,13472.5
750,46.75,2.4875,8.1667,0.6319,916.7961,0.25,0,14356.7
800,47.0833,2.0999,8.0,0.6258,907.7872,0.25,0,15163.0
850,47.0,2.3094,8.0,0.6357,906.5875,0.25,0,16149.2
900,46.25,2.5536,8.0,0.6181,900.1684,0.0833,0,17170.5
950,45.75,4.7631,7.8333,0.6037,900.9871,0.4167,0,18033.4
1000,45.5833,3.4751,7.6667,0.6233,904.3502,0.1667,0,18864.6
1050,45.6667,2.8674,7.9167,0.6105,898.6331,0.1667,0,19750.5
1100,46.5,2.2913,8.0833,0.6329,894.2019,0.0833,0,20564.5
1150,47.3333,3.0368,8.0833,0.6163,907.2111,0.3333,0,21325.8
1200,46.5833,3.8179,7.9167,0.6275,902.8928,0.3333,0,22150.2
1250,45.1667,3.1314,7.5,0.6125,895.6756,0.0833,0,22976.7
1300,46.8333,2.1148,7.8333,0.6206,899.499,0.1667,0,23865.4
1350,45.75,2.8025,7.6667,0.6143,901.4174,0.0,0,24686.5
