/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
이어받기: weights/v5_26_09_15_23_s3b/latest.pth (ep1500) — 에피소드·최고 기록은 초기화
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.999 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:298: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 66 | 드론5 목적지41 | 1000스텝 | 배송 39/41 | 재적재  5 | 중계율 0.07 | alpha 6.307 | step_limit
Ep 67 | 드론7 목적지23 |  390스텝 | 배송 23/23 | 재적재  2 | 중계율 0.06 | alpha 6.310 | complete
Ep 68 | 드론6 목적지77 |  760스텝 | 배송 77/77 | 재적재 14 | 중계율 0.04 | alpha 6.326 | complete
Ep 69 | 드론5 목적지48 | 1000스텝 | 배송 47/48 | 재적재  7 | 중계율 0.05 | alpha 6.350 | step_limit
Ep 70 | 드론3 목적지69 | 1000스텝 | 배송 48/69 | 재적재  9 | 중계율 0.06 | alpha 6.372 | step_limit
Ep 71 | 드론6 목적지34 |  477스텝 | 배송 34/34 | 재적재  5 | 중계율 0.05 | alpha 6.372 | complete
Ep 72 | 드론6 목적지61 | 1000스텝 | 배송 55/61 | 재적재  7 | 중계율 0.03 | alpha 6.387 | step_limit
Ep 73 | 드론8 목적지50 | 1000스텝 | 배송 49/50 | 재적재  7 | 중계율 0.04 | alpha 6.402 | step_limit
Ep 74 | 드론4 목적지70 | 1000스텝 | 배송 64/70 | 재적재 12 | 중계율 0.03 | alpha 6.422 | step_limit
Ep 75 | 드론7 목적지21 |  273스텝 | 배송 21/21 | 재적재  1 | 중계율 0.09 | alpha 6.378 | complete
Ep 76 | 드론3 목적지49 | 1000스텝 | 배송 32/49 | 재적재  6 | 중계율 0.07 | alpha 6.356 | step_limit
Ep 77 | 드론4 목적지67 | 1000스텝 | 배송 46/67 | 재적재  7 | 중계율 0.06 | alpha 6.320 | step_limit
Ep 78 | 드론3 목적지34 | 1000스텝 | 배송 25/34 | 재적재  4 | 중계율 0.05 | alpha 6.352 | step_limit
Ep 79 | 드론6 목적지31 |  394스텝 | 배송 31/31 | 재적재  4 | 중계율 0.04 | alpha 6.361 | complete
Ep 80 | 드론4 목적지44 |  672스텝 | 배송 44/44 | 재적재  8 | 중계율 0.06 | alpha 6.426 | complete
Ep 81 | 드론7 목적지71 | 1000스텝 | 배송 65/71 | 재적재 10 | 중계율 0.03 | alpha 6.518 | step_limit
Ep 82 | 드론5 목적지59 | 1000스텝 | 배송 56/59 | 재적재 10 | 중계율 0.04 | alpha 6.447 | step_limit
Ep 83 | 드론7 목적지21 |  207스텝 | 배송 21/21 | 재적재  0 | 중계율 0.04 | alpha 6.461 | complete
Ep 84 | 드론4 목적지41 | 1000스텝 | 배송 37/41 | 재적재  6 | 중계율 0.05 | alpha 6.464 | step_limit
Ep 85 | 드론6 목적지38 | 1000스텝 | 배송 37/38 | 재적재  5 | 중계율 0.05 | alpha 6.360 | step_limit
Ep 86 | 드론6 목적지64 | 1000스텝 | 배송 60/64 | 재적재 10 | 중계율 0.04 | alpha 6.397 | step_limit
Ep 87 | 드론7 목적지24 |  358스텝 | 배송 24/24 | 재적재  1 | 중계율 0.11 | alpha 6.418 | complete
Ep 88 | 드론6 목적지66 | 1000스텝 | 배송 61/66 | 재적재 11 | 중계율 0.04 | alpha 6.517 | step_limit
Ep 89 | 드론8 목적지20 |  374스텝 | 배송 20/20 | 재적재  0 | 중계율 0.03 | alpha 6.514 | complete
Ep 90 | 드론7 목적지37 |  369스텝 | 배송 37/37 | 재적재  5 | 중계율 0.03 | alpha 6.477 | complete
Ep 91 | 드론5 목적지60 | 1000스텝 | 배송 54/60 | 재적재  9 | 중계율 0.04 | alpha 6.441 | step_limit
Ep 92 | 드론3 목적지37 | 1000스텝 | 배송 27/37 | 재적재  5 | 중계율 0.08 | alpha 6.369 | step_limit
Ep 93 | 드론5 목적지27 |  897스텝 | 배송 27/27 | 재적재  3 | 중계율 0.03 | alpha 6.386 | complete
Ep 94 | 드론5 목적지76 | 1000스텝 | 배송 72/76 | 재적재 12 | 중계율 0.03 | alpha 6.424 | step_limit
Ep 95 | 드론6 목적지30 |  908스텝 | 배송 30/30 | 재적재  4 | 중계율 0.05 | alpha 6.342 | complete
Ep 96 | 드론8 목적지34 |  294스텝 | 배송 34/34 | 재적재  4 | 중계율 0.05 | alpha 6.313 | complete
Ep 97 | 드론7 목적지35 |  597스텝 | 배송 35/35 | 재적재  5 | 중계율 0.07 | alpha 6.294 | complete
Ep 98 | 드론6 목적지39 |  633스텝 | 배송 39/39 | 재적재  6 | 중계율 0.04 | alpha 6.249 | complete
Ep 99 | 드론6 목적지69 | 1000스텝 | 배송 65/69 | 재적재 10 | 중계율 0.05 | alpha 6.239 | step_limit
Ep 100 | 드론7 목적지80 | 1000스텝 | 배송 79/80 | 재적재 13 | 중계율 0.04 | alpha 6.230 | step_limit
  [홀드아웃] 배송 43.2±5.9 완주 0.00 스텝 993 점수 43.2 재적재 7.2 2홉+ 0.64 | 최고 43.2@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지62 | 1000스텝 | 배송 45/62 | 재적재  8 | 중계율 0.05 | alpha 6.161 | step_limit
Ep 102 | 드론5 목적지30 |  475스텝 | 배송 30/30 | 재적재  4 | 중계율 0.04 | alpha 6.137 | complete
Ep 103 | 드론6 목적지75 |  771스텝 | 배송 75/75 | 재적재 13 | 중계율 0.03 | alpha 6.168 | complete
Ep 104 | 드론4 목적지39 | 1000스텝 | 배송 33/39 | 재적재  5 | 중계율 0.06 | alpha 6.221 | step_limit
Ep 105 | 드론6 목적지24 |  556스텝 | 배송 24/24 | 재적재  2 | 중계율 0.10 | alpha 6.217 | complete
Ep 106 | 드론6 목적지73 | 1000스텝 | 배송 66/73 | 재적재 11 | 중계율 0.04 | alpha 6.136 | step_limit
Ep 107 | 드론6 목적지25 |  472스텝 | 배송 25/25 | 재적재  2 | 중계율 0.05 | alpha 6.096 | complete
Ep 108 | 드론3 목적지69 | 1000스텝 | 배송 46/69 | 재적재  7 | 중계율 0.03 | alpha 6.036 | step_limit
Ep 109 | 드론4 목적지25 |  457스텝 | 배송 25/25 | 재적재  3 | 중계율 0.03 | alpha 6.041 | complete
Ep 110 | 드론4 목적지26 | 1000스텝 | 배송 21/26 | 재적재  2 | 중계율 0.08 | alpha 6.018 | step_limit
Ep 111 | 드론4 목적지21 |  621스텝 | 배송 21/21 | 재적재  2 | 중계율 0.04 | alpha 6.103 | complete
Ep 112 | 드론8 목적지31 |  380스텝 | 배송 31/31 | 재적재  1 | 중계율 0.03 | alpha 6.179 | complete
Ep 113 | 드론5 목적지57 | 1000스텝 | 배송 52/57 | 재적재  8 | 중계율 0.05 | alpha 6.237 | step_limit
Ep 114 | 드론7 목적지64 | 1000스텝 | 배송 61/64 | 재적재  8 | 중계율 0.04 | alpha 6.157 | step_limit
Ep 115 | 드론6 목적지57 | 1000스텝 | 배송 56/57 | 재적재  9 | 중계율 0.04 | alpha 6.098 | step_limit
Ep 116 | 드론4 목적지78 | 1000스텝 | 배송 62/78 | 재적재 11 | 중계율 0.04 | alpha 6.095 | step_limit
Ep 117 | 드론7 목적지76 | 1000스텝 | 배송 73/76 | 재적재 12 | 중계율 0.07 | alpha 6.090 | step_limit
Ep 118 | 드론4 목적지59 | 1000스텝 | 배송 56/59 | 재적재  9 | 중계율 0.05 | alpha 6.065 | step_limit
Ep 119 | 드론5 목적지73 | 1000스텝 | 배송 68/73 | 재적재 12 | 중계율 0.07 | alpha 6.110 | step_limit
Ep 120 | 드론5 목적지68 | 1000스텝 | 배송 62/68 | 재적재 11 | 중계율 0.05 | alpha 6.121 | step_limit
Ep 121 | 드론8 목적지59 |  668스텝 | 배송 59/59 | 재적재  8 | 중계율 0.03 | alpha 6.128 | complete
Ep 122 | 드론7 목적지55 |  538스텝 | 배송 55/55 | 재적재  7 | 중계율 0.03 | alpha 6.146 | complete
Ep 123 | 드론4 목적지22 |  975스텝 | 배송 22/22 | 재적재  3 | 중계율 0.04 | alpha 6.097 | complete
Ep 124 | 드론3 목적지57 | 1000스텝 | 배송 42/57 | 재적재  8 | 중계율 0.05 | alpha 6.123 | step_limit
Ep 125 | 드론3 목적지29 | 1000스텝 | 배송 25/29 | 재적재  4 | 중계율 0.06 | alpha 6.073 | step_limit
Ep 126 | 드론8 목적지80 |  818스텝 | 배송 80/80 | 재적재 14 | 중계율 0.04 | alpha 6.066 | complete
Ep 127 | 드론7 목적지23 |  219스텝 | 배송 23/23 | 재적재  0 | 중계율 0.05 | alpha 6.055 | complete
Ep 128 | 드론5 목적지75 | 1000스텝 | 배송 64/75 | 재적재 11 | 중계율 0.08 | alpha 5.993 | step_limit
Ep 129 | 드론6 목적지31 |  578스텝 | 배송 31/31 | 재적재  5 | 중계율 0.04 | alpha 5.973 | complete
Ep 130 | 드론6 목적지26 |  394스텝 | 배송 26/26 | 재적재  2 | 중계율 0.02 | alpha 6.005 | complete
Ep 131 | 드론7 목적지57 | 1000스텝 | 배송 53/57 | 재적재  9 | 중계율 0.04 | alpha 6.068 | step_limit
Ep 132 | 드론5 목적지51 |  925스텝 | 배송 51/51 | 재적재  9 | 중계율 0.08 | alpha 6.082 | complete
Ep 133 | 드론8 목적지36 |  353스텝 | 배송 36/36 | 재적재  4 | 중계율 0.03 | alpha 6.081 | complete
Ep 134 | 드론6 목적지49 |  697스텝 | 배송 49/49 | 재적재  8 | 중계율 0.05 | alpha 6.015 | complete
Ep 135 | 드론5 목적지56 | 1000스텝 | 배송 48/56 | 재적재  8 | 중계율 0.07 | alpha 6.017 | step_limit
