/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
이어받기: weights/v5_26_09_15_23_s3b/latest.pth (ep1500) — 에피소드·최고 기록은 초기화
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=200.0 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:298: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 41 | 드론7 목적지59 |  439스텝 | 배송 59/59 | 재적재  9 | 중계율 0.00 | alpha 5.242 | complete
Ep 42 | 드론8 목적지58 |  591스텝 | 배송 58/58 | 재적재 10 | 중계율 0.02 | alpha 5.299 | complete
Ep 43 | 드론7 목적지20 |  235스텝 | 배송 20/20 | 재적재  0 | 중계율 0.01 | alpha 5.328 | complete
Ep 44 | 드론8 목적지30 |  336스텝 | 배송 30/30 | 재적재  2 | 중계율 0.00 | alpha 5.359 | complete
Ep 45 | 드론7 목적지39 |  326스텝 | 배송 39/39 | 재적재  5 | 중계율 0.01 | alpha 5.402 | complete
Ep 46 | 드론7 목적지32 |  302스텝 | 배송 32/32 | 재적재  3 | 중계율 0.01 | alpha 5.415 | complete
Ep 47 | 드론7 목적지35 |  534스텝 | 배송 35/35 | 재적재  4 | 중계율 0.02 | alpha 5.439 | complete
Ep 48 | 드론7 목적지39 |  393스텝 | 배송 39/39 | 재적재  6 | 중계율 0.02 | alpha 5.450 | complete
Ep 49 | 드론6 목적지47 |  436스텝 | 배송 47/47 | 재적재  6 | 중계율 0.01 | alpha 5.512 | complete
Ep 50 | 드론4 목적지72 | 1000스텝 | 배송 65/72 | 재적재 11 | 중계율 0.04 | alpha 5.640 | step_limit
  [홀드아웃] 배송 42.9±4.4 완주 0.08 스텝 982 점수 43.0 재적재 7.1 2홉+ 0.63 | 최고 43.0@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지71 | 1000스텝 | 배송 67/71 | 재적재 12 | 중계율 0.02 | alpha 5.695 | step_limit
Ep 52 | 드론5 목적지45 |  550스텝 | 배송 45/45 | 재적재  7 | 중계율 0.01 | alpha 5.675 | complete
Ep 53 | 드론7 목적지64 |  530스텝 | 배송 64/64 | 재적재 10 | 중계율 0.00 | alpha 5.681 | complete
