/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 51 | 배송 18/50 | 재적재 1 | 도착  20 | 2홉+ 0.65 | 도달  670 | 차단 1432
Ep 52 | 배송 24/50 | 재적재 2 | 도착  26 | 2홉+ 0.68 | 도달  690 | 차단 2123
Ep 53 | 배송 20/50 | 재적재 2 | 도착  24 | 2홉+ 0.66 | 도달  704 | 차단 2413
Ep 54 | 배송 40/50 | 재적재 6 | 도착  43 | 2홉+ 0.59 | 도달 1052 | 차단 1141
Ep 55 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.57 | 도달  873 | 차단  993
Ep 56 | 배송 29/50 | 재적재 4 | 도착  34 | 2홉+ 0.66 | 도달  746 | 차단 1559
Ep 57 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.66 | 도달  793 | 차단 2042
Ep 58 | 배송 30/50 | 재적재 4 | 도착  36 | 2홉+ 0.61 | 도달  756 | 차단 1327
Ep 59 | 배송 22/50 | 재적재 4 | 도착  23 | 2홉+ 0.60 | 도달  683 | 차단 1825
Ep 60 | 배송 38/50 | 재적재 5 | 도착  44 | 2홉+ 0.62 | 도달  960 | 차단 1074
Ep 61 | 배송 33/50 | 재적재 4 | 도착  39 | 2홉+ 0.61 | 도달  787 | 차단 1318
Ep 62 | 배송 31/50 | 재적재 5 | 도착  38 | 2홉+ 0.51 | 도달  777 | 차단  759
Ep 63 | 배송 35/50 | 재적재 6 | 도착  42 | 2홉+ 0.61 | 도달  801 | 차단 1210
Ep 64 | 배송 33/50 | 재적재 4 | 도착  36 | 2홉+ 0.65 | 도달  895 | 차단 1145
Ep 65 | 배송 30/50 | 재적재 5 | 도착  37 | 2홉+ 0.55 | 도달  703 | 차단 1494
Ep 66 | 배송 39/50 | 재적재 6 | 도착  46 | 2홉+ 0.64 | 도달  876 | 차단 1273
Ep 67 | 배송 28/50 | 재적재 5 | 도착  35 | 2홉+ 0.52 | 도달  716 | 차단  939
Ep 68 | 배송 27/50 | 재적재 5 | 도착  34 | 2홉+ 0.53 | 도달  671 | 차단 1702
Ep 69 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.61 | 도달  935 | 차단  939
Ep 70 | 배송 37/50 | 재적재 5 | 도착  44 | 2홉+ 0.66 | 도달  876 | 차단 1009
Ep 71 | 배송 35/50 | 재적재 5 | 도착  38 | 2홉+ 0.60 | 도달  757 | 차단 1494
Ep 72 | 배송 31/50 | 재적재 6 | 도착  34 | 2홉+ 0.61 | 도달  748 | 차단  981
Ep 73 | 배송 32/50 | 재적재 3 | 도착  34 | 2홉+ 0.66 | 도달  934 | 차단 1420
Ep 74 | 배송 34/50 | 재적재 5 | 도착  37 | 2홉+ 0.51 | 도달  836 | 차단 1024
Ep 75 | 배송 41/50 | 재적재 6 | 도착  45 | 2홉+ 0.61 | 도달  846 | 차단 1187
Ep 76 | 배송 28/50 | 재적재 3 | 도착  32 | 2홉+ 0.58 | 도달  834 | 차단 1852
Ep 77 | 배송 29/50 | 재적재 4 | 도착  32 | 2홉+ 0.62 | 도달  708 | 차단 1323
Ep 78 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.53 | 도달  775 | 차단 1357
Ep 79 | 배송 37/50 | 재적재 5 | 도착  42 | 2홉+ 0.65 | 도달  914 | 차단 1348
Ep 80 | 배송 37/50 | 재적재 7 | 도착  44 | 2홉+ 0.60 | 도달  832 | 차단 1372
Ep 81 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.62 | 도달  989 | 차단 1467
Ep 82 | 배송 40/50 | 재적재 6 | 도착  45 | 2홉+ 0.61 | 도달  858 | 차단  997
Ep 83 | 배송 39/50 | 재적재 5 | 도착  41 | 2홉+ 0.63 | 도달  804 | 차단  828
Ep 84 | 배송 29/50 | 재적재 4 | 도착  33 | 2홉+ 0.61 | 도달  854 | 차단 1279
Ep 85 | 배송 27/50 | 재적재 3 | 도착  30 | 2홉+ 0.62 | 도달  713 | 차단 2219
Ep 86 | 배송 37/50 | 재적재 6 | 도착  42 | 2홉+ 0.54 | 도달  811 | 차단 1236
Ep 87 | 배송 21/50 | 재적재 3 | 도착  28 | 2홉+ 0.68 | 도달  740 | 차단 2103
Ep 88 | 배송 40/50 | 재적재 7 | 도착  47 | 2홉+ 0.61 | 도달  894 | 차단  932
Ep 89 | 배송 45/50 | 재적재 7 | 도착  56 | 2홉+ 0.64 | 도달  971 | 차단  976
Ep 90 | 배송 42/50 | 재적재 7 | 도착  52 | 2홉+ 0.59 | 도달  945 | 차단  779
Ep 91 | 배송 30/50 | 재적재 4 | 도착  39 | 2홉+ 0.60 | 도달  838 | 차단 1098
Ep 92 | 배송 29/50 | 재적재 4 | 도착  36 | 2홉+ 0.61 | 도달  714 | 차단 1738
Ep 93 | 배송 29/50 | 재적재 4 | 도착  32 | 2홉+ 0.59 | 도달  864 | 차단 1699
Ep 94 | 배송 25/50 | 재적재 4 | 도착  30 | 2홉+ 0.57 | 도달  672 | 차단 2065
Ep 95 | 배송 33/50 | 재적재 4 | 도착  41 | 2홉+ 0.58 | 도달  803 | 차단 1391
Ep 96 | 배송 38/50 | 재적재 7 | 도착  47 | 2홉+ 0.59 | 도달  844 | 차단  819
Ep 97 | 배송 37/50 | 재적재 5 | 도착  44 | 2홉+ 0.62 | 도달  856 | 차단 1413
Ep 98 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.61 | 도달  741 | 차단 1090
Ep 99 | 배송 34/50 | 재적재 5 | 도착  39 | 2홉+ 0.57 | 도달  767 | 차단 1169
Ep 100 | 배송 31/50 | 재적재 4 | 도착  34 | 2홉+ 0.64 | 도달  775 | 차단 1478
  [홀드아웃] 배송 19.5±5.2 재적재 1.7 2홉+ 0.52 | 최고 19.5@ep100 정체 0/15  ← 갱신
Ep 101 | 배송 21/50 | 재적재 2 | 도착  24 | 2홉+ 0.50 | 도달  642 | 차단 1499
Ep 102 | 배송 40/50 | 재적재 6 | 도착  45 | 2홉+ 0.59 | 도달  976 | 차단  888
Ep 103 | 배송 24/50 | 재적재 3 | 도착  28 | 2홉+ 0.50 | 도달  700 | 차단 2006
Ep 104 | 배송 29/50 | 재적재 3 | 도착  33 | 2홉+ 0.63 | 도달  860 | 차단 1825
Ep 105 | 배송 25/50 | 재적재 4 | 도착  30 | 2홉+ 0.55 | 도달  732 | 차단 2154
Ep 106 | 배송 40/50 | 재적재 6 | 도착  51 | 2홉+ 0.61 | 도달  841 | 차단  992
Ep 107 | 배송 35/50 | 재적재 6 | 도착  42 | 2홉+ 0.58 | 도달 1033 | 차단 1118
Ep 108 | 배송 41/50 | 재적재 7 | 도착  49 | 2홉+ 0.61 | 도달  804 | 차단  906
Ep 109 | 배송 28/50 | 재적재 4 | 도착  30 | 2홉+ 0.64 | 도달  753 | 차단 1547
Ep 110 | 배송 34/50 | 재적재 5 | 도착  40 | 2홉+ 0.47 | 도달  793 | 차단  917
Ep 111 | 배송 35/50 | 재적재 5 | 도착  41 | 2홉+ 0.60 | 도달  767 | 차단 1467
Ep 112 | 배송 36/50 | 재적재 5 | 도착  39 | 2홉+ 0.58 | 도달  816 | 차단 1052
