episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
69,1000,530.0,10.939,39,,898,0,6,45,939,0.6132,934.9,0,69000,650.1
70,1000,480.0,6.472,37,,950,0,5,44,1009,0.6597,876.1,0,70000,658.9
71,1000,460.0,-7.435,35,,990,0,5,38,1494,0.6005,757.1,0,71000,670.4
72,1000,450.0,0.312,31,,863,0,6,34,981,0.61,747.6,0,72000,679.2
73,1000,370.0,-12.132,32,,750,0,3,34,1420,0.6565,934.0,0,73000,688.0
74,1000,450.0,-0.544,34,,795,0,5,37,1024,0.5112,836.3,0,74000,698.7
75,1000,550.0,6.442,41,,944,0,6,45,1187,0.611,845.6,0,75000,708.1
76,1000,330.0,-27.803,28,,958,0,3,32,1852,0.5757,833.6,0,76000,717.3
77,1000,370.0,-7.911,29,,940,0,4,32,1323,0.6185,707.5,0,77000,726.6
78,1000,390.0,-7.538,31,,648,0,4,35,1357,0.5327,775.2,0,78000,737.8
79,1000,480.0,-3.364,37,,993,0,5,42,1348,0.6538,914.4,0,79000,746.7
80,1000,540.0,0.423,37,,798,0,7,44,1372,0.596,831.6,0,80000,755.9
81,1000,390.0,-15.162,31,,883,0,4,35,1467,0.6208,989.0,0,81000,764.9
82,1000,540.0,12.862,40,,878,0,6,45,997,0.6072,857.8,0,82000,776.5
83,1000,500.0,8.379,39,,968,0,5,41,828,0.6318,804.0,0,83000,785.7
84,1000,370.0,-11.87,29,,954,0,4,33,1279,0.607,853.9,0,84000,794.9
85,1000,320.0,-37.614,27,,963,0,3,30,2219,0.625,713.1,0,85000,806.2
86,1000,510.0,-0.854,37,,1000,0,6,42,1236,0.5423,811.3,0,86000,815.3
87,1000,260.0,-33.816,21,,332,0,3,28,2103,0.6777,740.3,0,87000,824.9
88,1000,570.0,13.638,40,,895,0,7,47,932,0.6125,894.0,0,88000,836.5
89,1000,620.0,15.46,45,,978,0,7,56,976,0.6445,970.6,0,89000,845.5
90,1000,590.0,22.042,42,,965,0,7,52,779,0.5867,944.6,0,90000,854.5
91,1000,380.0,1.265,30,,816,0,4,39,1098,0.6,838.0,0,91000,863.8
