/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 44 | Step 1000 | R   129.31 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  890 | 차단 2209
Ep 45 | Step 1000 | R   108.55 | 배송 15/50 | 미활동 1 | 2홉+ 0.71 | 도달 1064 | 차단 1491
Ep 46 | Step 1000 | R   155.35 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달 1012 | 차단 1160
Ep 47 | Step 1000 | R   108.91 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달 1001 | 차단 1852
Ep 48 | Step 1000 | R   105.57 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달 1028 | 차단 1448
Ep 49 | Step 1000 | R    76.83 | 배송 12/50 | 미활동 1 | 2홉+ 0.70 | 도달 1074 | 차단 1841
Ep 50 | Step 1000 | R    79.76 | 배송 13/50 | 미활동 0 | 2홉+ 0.63 | 도달  834 | 차단 2621
  [홀드아웃] 배송 6.0±2.8 미활동 1.33 2홉+ 0.60 도달 637 | 최고 6.0@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R    92.02 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달  784 | 차단 1740
Ep 52 | Step 1000 | R   115.10 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  958 | 차단 2019
Ep 53 | Step 1000 | R   132.82 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달 1046 | 차단 1574
Ep 54 | Step 1000 | R   129.51 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  951 | 차단 1961
Ep 55 | Step 1000 | R    70.91 | 배송 11/50 | 미활동 0 | 2홉+ 0.62 | 도달  863 | 차단 1589
Ep 56 | Step 1000 | R   103.38 | 배송 14/50 | 미활동 0 | 2홉+ 0.60 | 도달  970 | 차단 1363
Ep 57 | Step 1000 | R   137.36 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  960 | 차단 1362
Ep 58 | Step 1000 | R    98.59 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달  810 | 차단  580
Ep 59 | Step 1000 | R    40.00 | 배송  8/50 | 미활동 1 | 2홉+ 0.69 | 도달  879 | 차단 2353
Ep 60 | Step 1000 | R    85.53 | 배송 12/50 | 미활동 1 | 2홉+ 0.68 | 도달 1056 | 차단 1176
Ep 61 | Step 1000 | R   150.07 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달 1038 | 차단 1478
Ep 62 | Step 1000 | R   115.03 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  961 | 차단 1544
Ep 63 | Step 1000 | R   100.35 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달 1040 | 차단 1848
Ep 64 | Step 1000 | R   119.96 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1027 | 차단 2147
Ep 65 | Step 1000 | R   131.33 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  971 | 차단 2056
Ep 66 | Step 1000 | R   134.57 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1028 | 차단 1876
Ep 67 | Step 1000 | R    49.40 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달 1063 | 차단 2274
Ep 68 | Step 1000 | R   133.04 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  956 | 차단 1163
Ep 69 | Step 1000 | R    49.83 | 배송 11/50 | 미활동 1 | 2홉+ 0.71 | 도달 1074 | 차단 2254
Ep 70 | Step 1000 | R    79.91 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달  893 | 차단 1928
Ep 71 | Step 1000 | R   141.74 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 1108
Ep 72 | Step 1000 | R   158.07 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달 1074 | 차단  981
Ep 73 | Step 1000 | R   110.04 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1000 | 차단 1911
Ep 74 | Step 1000 | R   134.58 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단 1106
Ep 75 | Step 1000 | R   118.42 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  873 | 차단 2019
Ep 76 | Step 1000 | R   112.02 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 2050
Ep 77 | Step 1000 | R   151.00 | 배송 18/50 | 미활동 0 | 2홉+ 0.67 | 도달  848 | 차단 1269
Ep 78 | Step 1000 | R   122.50 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  882 | 차단 1438
Ep 79 | Step 1000 | R    60.13 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달 1025 | 차단 2510
Ep 80 | Step 1000 | R   106.92 | 배송 15/50 | 미활동 1 | 2홉+ 0.70 | 도달  912 | 차단 2024
Ep 81 | Step 1000 | R    84.17 | 배송 12/50 | 미활동 1 | 2홉+ 0.47 | 도달  817 | 차단 1973
Ep 82 | Step 1000 | R    69.31 | 배송 11/50 | 미활동 1 | 2홉+ 0.69 | 도달  877 | 차단 1994
Ep 83 | Step 1000 | R    91.05 | 배송 12/50 | 미활동 1 | 2홉+ 0.53 | 도달  813 | 차단 1229
Ep 84 | Step 1000 | R    59.81 | 배송 11/50 | 미활동 1 | 2홉+ 0.70 | 도달  952 | 차단 1751
Ep 85 | Step 1000 | R   145.30 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달  972 | 차단 1139
Ep 86 | Step 1000 | R   100.43 | 배송 14/50 | 미활동 0 | 2홉+ 0.48 | 도달  841 | 차단 2016
Ep 87 | Step 1000 | R   120.74 | 배송 16/50 | 미활동 0 | 2홉+ 0.60 | 도달  992 | 차단 1485
Ep 88 | Step 1000 | R   128.79 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  911 | 차단 1004
Ep 89 | Step 1000 | R   106.46 | 배송 14/50 | 미활동 1 | 2홉+ 0.71 | 도달  964 | 차단 1625
Ep 90 | Step 1000 | R   145.95 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  873 | 차단  747
Ep 91 | Step 1000 | R    66.48 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달  895 | 차단 2342
Ep 92 | Step 1000 | R    79.56 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달  770 | 차단 2410
Ep 93 | Step 1000 | R    89.69 | 배송 13/50 | 미활동 1 | 2홉+ 0.71 | 도달 1026 | 차단 1627
Ep 94 | Step 1000 | R   108.27 | 배송 15/50 | 미활동 0 | 2홉+ 0.66 | 도달  655 | 차단 1387
Ep 95 | Step 1000 | R   125.47 | 배송 16/50 | 미활동 0 | 2홉+ 0.67 | 도달  864 | 차단 1211
Ep 96 | Step 1000 | R    92.86 | 배송 13/50 | 미활동 1 | 2홉+ 0.70 | 도달  969 | 차단 1761
Ep 97 | Step 1000 | R    98.48 | 배송 13/50 | 미활동 0 | 2홉+ 0.52 | 도달  788 | 차단 1549
Ep 98 | Step 1000 | R    34.17 | 배송  7/50 | 미활동 1 | 2홉+ 0.71 | 도달  967 | 차단 1623
Ep 99 | Step 1000 | R   124.89 | 배송 13/50 | 미활동 1 | 2홉+ 0.46 | 도달  758 | 차단 2072
Ep 100 | Step 1000 | R   113.32 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  778 | 차단  916
  [홀드아웃] 배송 10.3±5.0 미활동 0.33 2홉+ 0.63 도달 614 | 최고 10.3@ep100 | 정체 0/15  ← 최고 갱신
Ep 101 | Step 1000 | R    57.85 | 배송 10/50 | 미활동 1 | 2홉+ 0.48 | 도달  843 | 차단 1891
Ep 102 | Step 1000 | R    98.16 | 배송 14/50 | 미활동 0 | 2홉+ 0.62 | 도달  976 | 차단 1632
Ep 103 | Step 1000 | R    41.34 | 배송  7/50 | 미활동 0 | 2홉+ 0.48 | 도달  502 | 차단 1621
Ep 104 | Step 1000 | R   115.07 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  877 | 차단 1999
Ep 105 | Step 1000 | R    90.35 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  979 | 차단 1688
Ep 106 | Step 1000 | R   127.09 | 배송 16/50 | 미활동 0 | 2홉+ 0.63 | 도달  976 | 차단 1303
Ep 107 | Step 1000 | R    90.86 | 배송 14/50 | 미활동 1 | 2홉+ 0.71 | 도달  993 | 차단 1795
Ep 108 | Step 1000 | R   104.15 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  957 | 차단 1934
Ep 109 | Step 1000 | R    84.68 | 배송 14/50 | 미활동 0 | 2홉+ 0.59 | 도달  699 | 차단 2228
Ep 110 | Step 1000 | R    54.86 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달  836 | 차단 2872
Ep 111 | Step 1000 | R    90.77 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  790 | 차단 1658
Ep 112 | Step 1000 | R   118.77 | 배송 15/50 | 미활동 1 | 2홉+ 0.71 | 도달  807 | 차단 1457
Ep 113 | Step 1000 | R    78.57 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달  967 | 차단 1503
Ep 114 | Step 1000 | R   105.84 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  889 | 차단 2137
Ep 115 | Step 1000 | R   111.20 | 배송 14/50 | 미활동 0 | 2홉+ 0.53 | 도달  570 | 차단  899
Ep 116 | Step 1000 | R   134.11 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  829 | 차단 2000
Ep 117 | Step 1000 | R    75.50 | 배송 12/50 | 미활동 0 | 2홉+ 0.68 | 도달  786 | 차단 2193
Ep 118 | Step 1000 | R   110.96 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  976 | 차단 1010
Ep 119 | Step 1000 | R    62.33 | 배송 10/50 | 미활동 0 | 2홉+ 0.72 | 도달  637 | 차단 2450
Ep 120 | Step 1000 | R    76.12 | 배송 12/50 | 미활동 1 | 2홉+ 0.72 | 도달  960 | 차단 1401
Ep 121 | Step 1000 | R    84.71 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  964 | 차단 1883
Ep 122 | Step 1000 | R    46.32 | 배송  9/50 | 미활동 1 | 2홉+ 0.70 | 도달  708 | 차단 2452
Ep 123 | Step 1000 | R    20.71 | 배송  7/50 | 미활동 1 | 2홉+ 0.72 | 도달  952 | 차단 2135
Ep 124 | Step 1000 | R   109.35 | 배송 15/50 | 미활동 0 | 2홉+ 0.51 | 도달  880 | 차단 1219
Ep 125 | Step 1000 | R    88.15 | 배송 13/50 | 미활동 1 | 2홉+ 0.71 | 도달  933 | 차단 1872
Ep 126 | Step 1000 | R    84.76 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달  861 | 차단 1786
Ep 127 | Step 1000 | R    31.95 | 배송  8/50 | 미활동 0 | 2홉+ 0.72 | 도달  731 | 차단 2709
Ep 128 | Step 1000 | R   104.65 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  780 | 차단 1652
Ep 129 | Step 1000 | R   105.52 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달  925 | 차단 1343
Ep 130 | Step 1000 | R    97.26 | 배송 13/50 | 미활동 1 | 2홉+ 0.69 | 도달  946 | 차단 1019
Ep 131 | Step 1000 | R   123.83 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  631 | 차단 2054
Ep 132 | Step 1000 | R   111.91 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  997 | 차단 1234
Ep 133 | Step 1000 | R   137.23 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  905 | 차단  813
Ep 134 | Step 1000 | R   128.14 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  955 | 차단 1067
Ep 135 | Step 1000 | R   104.29 | 배송 14/50 | 미활동 0 | 2홉+ 0.65 | 도달  783 | 차단 1682
