/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 53 |  4378스텝 | 배송 42/50 | 재적재  7 | 정지 0.16 교착최장  22 | no_progress
Ep 54 |  4519스텝 | 배송 44/50 | 재적재  8 | 정지 0.07 교착최장   7 | no_progress
Ep 55 |  3831스텝 | 배송 44/50 | 재적재  7 | 정지 0.09 교착최장   7 | no_progress
Ep 56 |  3361스텝 | 배송 36/50 | 재적재  5 | 정지 0.12 교착최장  12 | no_progress
Ep 57 |  3882스텝 | 배송 35/50 | 재적재  6 | 정지 0.14 교착최장  17 | no_progress
Ep 58 |  2049스텝 | 배송 18/50 | 재적재  1 | 정지 0.21 교착최장  12 | no_progress
Ep 59 |  4914스텝 | 배송 40/50 | 재적재  8 | 정지 0.11 교착최장  23 | no_progress
Ep 60 |  3878스텝 | 배송 44/50 | 재적재  7 | 정지 0.15 교착최장  31 | no_progress
Ep 61 |  4826스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  17 | no_progress
Ep 62 |  5389스텝 | 배송 44/50 | 재적재  7 | 정지 0.16 교착최장  25 | no_progress
Ep 63 |  5713스텝 | 배송 46/50 | 재적재  8 | 정지 0.22 교착최장  33 | no_progress
Ep 64 |  4824스텝 | 배송 41/50 | 재적재  7 | 정지 0.17 교착최장  17 | no_progress
Ep 65 |  4876스텝 | 배송 44/50 | 재적재  7 | 정지 0.18 교착최장  25 | no_progress
Ep 66 |  4395스텝 | 배송 45/50 | 재적재  9 | 정지 0.18 교착최장  18 | no_progress
