/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=joint 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_worker.pth
상위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_manager.pth
  [홀드아웃] 배송 26.8±5.9 재적재 3.2 2홉+ 0.60 | 최고 26.8@ep50 정체 0/15  ← 갱신
Ep 51 | 배송 25/50 | 재적재 3 | 도착 142 | 2홉+ 0.52 | 도달  826 | 차단  622
Ep 52 | 배송 26/50 | 재적재 3 | 도착  16 | 2홉+ 0.63 | 도달  664 | 차단  644
Ep 53 | 배송 28/50 | 재적재 3 | 도착  30 | 2홉+ 0.63 | 도달  810 | 차단  752
Ep 54 | 배송 23/50 | 재적재 3 | 도착  16 | 2홉+ 0.50 | 도달  748 | 차단  978
Ep 55 | 배송 28/50 | 재적재 4 | 도착  21 | 2홉+ 0.62 | 도달  831 | 차단  810
Ep 56 | 배송 29/50 | 재적재 3 | 도착  39 | 2홉+ 0.62 | 도달  809 | 차단  967
Ep 57 | 배송 29/50 | 재적재 4 | 도착  16 | 2홉+ 0.58 | 도달  797 | 차단  639
Ep 58 | 배송 23/50 | 재적재 3 | 도착  20 | 2홉+ 0.59 | 도달  710 | 차단  581
Ep 59 | 배송 24/50 | 재적재 3 | 도착  22 | 2홉+ 0.54 | 도달  747 | 차단  727
Ep 60 | 배송 23/50 | 재적재 3 | 도착  13 | 2홉+ 0.67 | 도달  742 | 차단 1043
Ep 61 | 배송 25/50 | 재적재 3 | 도착  11 | 2홉+ 0.60 | 도달  728 | 차단  631
Ep 62 | 배송 29/50 | 재적재 3 | 도착  15 | 2홉+ 0.65 | 도달  793 | 차단  633
Ep 63 | 배송 26/50 | 재적재 3 | 도착  10 | 2홉+ 0.55 | 도달  709 | 차단  497
Ep 64 | 배송 30/50 | 재적재 4 | 도착  19 | 2홉+ 0.61 | 도달  774 | 차단  703
Ep 65 | 배송 28/50 | 재적재 3 | 도착  12 | 2홉+ 0.59 | 도달  851 | 차단  464
Ep 66 | 배송 24/50 | 재적재 3 | 도착  18 | 2홉+ 0.53 | 도달  764 | 차단  278
Ep 67 | 배송 24/50 | 재적재 3 | 도착  19 | 2홉+ 0.49 | 도달  689 | 차단  703
Ep 68 | 배송 24/50 | 재적재 2 | 도착  41 | 2홉+ 0.48 | 도달  732 | 차단  543
Ep 69 | 배송 29/50 | 재적재 4 | 도착  20 | 2홉+ 0.59 | 도달  701 | 차단  464
Ep 70 | 배송 27/50 | 재적재 4 | 도착  14 | 2홉+ 0.57 | 도달  825 | 차단  489
Ep 71 | 배송 24/50 | 재적재 3 | 도착  26 | 2홉+ 0.55 | 도달  673 | 차단  450
Ep 72 | 배송 28/50 | 재적재 3 | 도착  13 | 2홉+ 0.63 | 도달  729 | 차단  543
