/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=10
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 51 | 배송 30/50 | 재적재 3 | 도착  17 | 2홉+ 0.66 | 도달  920 | 차단  401
Ep 52 | 배송 16/50 | 재적재 0 | 도착   7 | 2홉+ 0.71 | 도달  989 | 차단 1677
Ep 53 | 배송 27/50 | 재적재 3 | 도착  21 | 2홉+ 0.56 | 도달  795 | 차단  363
Ep 54 | 배송 19/50 | 재적재 0 | 도착   9 | 2홉+ 0.60 | 도달  747 | 차단  602
Ep 55 | 배송 30/50 | 재적재 3 | 도착  14 | 2홉+ 0.64 | 도달 1065 | 차단 1029
Ep 56 | 배송 28/50 | 재적재 3 | 도착  12 | 2홉+ 0.58 | 도달  786 | 차단  439
Ep 57 | 배송 27/50 | 재적재 3 | 도착  12 | 2홉+ 0.63 | 도달  759 | 차단  724
Ep 58 | 배송 31/50 | 재적재 4 | 도착  21 | 2홉+ 0.64 | 도달  961 | 차단  563
Ep 59 | 배송 30/50 | 재적재 4 | 도착  22 | 2홉+ 0.66 | 도달  890 | 차단  556
Ep 60 | 배송 28/50 | 재적재 2 | 도착  13 | 2홉+ 0.59 | 도달  812 | 차단  374
Ep 61 | 배송 26/50 | 재적재 3 | 도착  13 | 2홉+ 0.58 | 도달  706 | 차단  529
Ep 62 | 배송 31/50 | 재적재 5 | 도착  13 | 2홉+ 0.63 | 도달  773 | 차단  442
Ep 63 | 배송 28/50 | 재적재 2 | 도착   9 | 2홉+ 0.66 | 도달  798 | 차단  352
Ep 64 | 배송 30/50 | 재적재 5 | 도착  14 | 2홉+ 0.63 | 도달  897 | 차단  378
Ep 65 | 배송 31/50 | 재적재 4 | 도착  33 | 2홉+ 0.57 | 도달  780 | 차단  426
Ep 66 | 배송 27/50 | 재적재 3 | 도착  16 | 2홉+ 0.65 | 도달  996 | 차단  457
Ep 67 | 배송 25/50 | 재적재 3 | 도착  16 | 2홉+ 0.66 | 도달  755 | 차단  391
Ep 68 | 배송 22/50 | 재적재 3 | 도착  19 | 2홉+ 0.53 | 도달  752 | 차단  417
Ep 69 | 배송 28/50 | 재적재 4 | 도착  16 | 2홉+ 0.52 | 도달  831 | 차단  383
Ep 70 | 배송 30/50 | 재적재 5 | 도착  22 | 2홉+ 0.60 | 도달  743 | 차단  293
Ep 71 | 배송 24/50 | 재적재 3 | 도착  13 | 2홉+ 0.58 | 도달  620 | 차단  238
Ep 72 | 배송 27/50 | 재적재 4 | 도착  17 | 2홉+ 0.55 | 도달  927 | 차단  259
Ep 73 | 배송 27/50 | 재적재 2 | 도착  13 | 2홉+ 0.58 | 도달  754 | 차단  262
Ep 74 | 배송 25/50 | 재적재 2 | 도착  11 | 2홉+ 0.59 | 도달  678 | 차단  499
Ep 75 | 배송 27/50 | 재적재 3 | 도착  12 | 2홉+ 0.62 | 도달  951 | 차단  674
Ep 76 | 배송 28/50 | 재적재 3 | 도착  17 | 2홉+ 0.58 | 도달  798 | 차단  443
Ep 77 | 배송 29/50 | 재적재 3 | 도착  12 | 2홉+ 0.64 | 도달  853 | 차단  585
Ep 78 | 배송 27/50 | 재적재 3 | 도착  22 | 2홉+ 0.53 | 도달  770 | 차단  434
