episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,22.5,5.3307,1.5833,0.0,0.5836,797.68,0,1,588.4
100,24.0,5.73,2.3333,0.0,0.5862,791.8696,0,1,1235.1
150,18.4167,8.1185,1.6667,0.3333,0.6613,925.3629,0,0,1879.0
200,23.0833,5.6193,1.8333,0.0,0.5954,854.1602,0,0,2517.5
250,20.3333,7.7172,1.75,0.0833,0.6298,906.8284,0,0,3161.9
300,21.25,6.9657,1.75,0.0833,0.6441,924.9141,0,0,3808.1
350,15.5,5.8666,0.9167,0.1667,0.6364,892.2793,0,0,4458.3
400,17.25,5.2619,0.75,0.0833,0.6129,856.6089,0,0,5112.2
450,21.5833,5.469,2.0,0.0,0.5621,800.2812,0,0,5752.9
500,16.6667,7.8563,1.4167,0.1667,0.6459,946.152,0,0,6402.6
550,14.0833,7.6535,0.75,0.3333,0.6681,905.7549,0,0,7051.9
600,17.8333,8.0295,1.5833,0.1667,0.5845,828.1814,0,0,7702.8
650,18.0,8.2865,1.25,0.1667,0.6425,891.8536,0,0,8358.3
700,14.9167,4.8384,0.5833,0.0833,0.6764,930.1415,0,0,9003.1
750,16.1667,9.2631,1.4167,0.5,0.6454,947.1787,0,0,9653.7
800,22.0833,4.0509,2.0,0.0,0.6426,893.7429,0,0,10306.2
850,17.5,6.4226,1.0833,0.0,0.6331,963.7413,0,0,10902.5
