episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
1,1000,360.0,-2.901,28,,966,0,4,16,606,0.6392,903.8,0,1000,2.2
2,1000,340.0,9.964,29,,935,0,3,15,413,0.6515,845.4,0,2000,3.7
3,1000,380.0,15.844,30,,984,0,4,21,271,0.5817,849.7,0,3000,5.3
4,1000,450.0,10.185,37,,979,0,4,15,425,0.6312,870.3,0,4000,7.0
5,1000,250.0,6.4,23,,916,0,2,17,269,0.5128,681.8,0,5000,8.6
6,1000,300.0,-7.724,28,,920,0,2,22,882,0.6653,877.3,0,6000,18.7
7,1000,360.0,-6.988,31,,938,0,3,29,1066,0.6088,760.7,0,7000,29.6
8,1000,430.0,-0.673,32,,878,0,5,34,1046,0.6052,826.8,0,8000,41.1
9,1000,300.0,-11.449,28,,962,0,2,24,1095,0.632,806.6,0,9000,54.6
10,1000,450.0,13.107,34,,953,0,5,29,657,0.6062,1022.5,0,10000,65.2
11,1000,370.0,2.955,29,,915,0,4,24,742,0.5665,807.9,0,11000,76.1
12,1000,390.0,1.983,31,,828,0,4,24,733,0.6292,863.1,0,12000,89.0
13,1000,430.0,11.357,32,,970,0,5,26,649,0.5823,800.4,0,13000,99.4
14,1000,350.0,8.5,27,,999,0,4,24,391,0.5733,739.5,0,14000,110.5
15,1000,360.0,-5.591,31,,984,0,3,22,911,0.6587,948.5,0,15000,123.7
16,1000,290.0,3.947,24,,952,0,3,20,449,0.648,767.6,0,16000,134.6
17,1000,360.0,5.27,28,,840,0,4,24,650,0.5815,916.6,0,17000,147.9
18,1000,390.0,5.58,31,,973,0,4,20,332,0.5915,785.8,0,18000,159.0
19,1000,350.0,7.471,27,,864,0,4,14,487,0.6258,975.1,0,19000,170.5
20,1000,310.0,0.681,26,,981,0,3,16,428,0.6128,884.9,0,20000,183.2
21,1000,440.0,2.439,33,,961,0,5,19,577,0.615,759.7,0,21000,193.9
22,1000,340.0,9.155,26,,899,0,4,14,251,0.545,729.5,0,22000,204.6
23,1000,350.0,0.092,30,,965,0,3,17,766,0.6398,896.9,0,23000,217.5
24,1000,410.0,-3.337,30,,998,0,5,21,788,0.5917,946.7,0,24000,228.5
25,1000,420.0,15.693,31,,1000,0,5,22,389,0.63,728.6,0,25000,240.3
26,1000,410.0,9.841,30,,941,0,5,23,608,0.645,828.1,0,26000,253.8
27,1000,380.0,4.335,30,,979,0,4,19,658,0.6228,861.8,0,27000,265.4
28,1000,350.0,10.369,27,,968,0,4,20,333,0.6178,891.9,0,28000,277.1
29,1000,250.0,14.841,23,,789,0,2,55,560,0.5188,656.2,0,29000,290.4
30,1000,330.0,2.777,28,,918,0,3,15,363,0.5887,842.5,0,30000,300.9
31,1000,420.0,8.622,31,,906,0,5,20,530,0.6252,929.4,0,31000,312.3
32,1000,330.0,-22.06,28,,675,0,3,15,1447,0.6338,1073.5,0,32000,326.1
33,1000,360.0,8.899,28,,935,0,4,17,388,0.5235,854.8,0,33000,336.9
34,1000,350.0,11.457,27,,857,0,4,17,317,0.5885,831.6,0,34000,347.6
35,1000,350.0,5.109,30,,903,0,3,18,548,0.5673,855.7,0,35000,360.2
36,1000,400.0,9.809,29,,761,0,5,19,506,0.6145,739.6,0,36000,370.9
37,1000,390.0,11.702,28,,831,0,5,21,422,0.598,722.5,0,37000,381.8
38,1000,360.0,6.516,31,,934,0,3,21,507,0.614,939.0,0,38000,395.3
39,1000,340.0,10.339,29,,877,0,3,18,397,0.5783,758.8,0,39000,405.8
40,1000,430.0,3.853,32,,985,0,5,26,658,0.5603,872.9,0,40000,417.4
41,1000,300.0,2.222,25,,934,0,3,20,598,0.601,786.2,0,41000,430.3
42,1000,270.0,11.218,25,,959,0,2,18,352,0.6185,744.3,0,42000,441.0
43,1000,460.0,13.935,32,,779,0,6,24,327,0.5795,759.4,0,43000,451.8
44,1000,430.0,4.899,32,,930,0,5,16,505,0.6208,926.0,0,44000,464.1
45,1000,340.0,12.278,29,,942,0,3,19,294,0.5527,794.4,0,45000,475.1
46,1000,330.0,3.365,28,,811,0,3,16,538,0.5805,714.9,0,46000,486.0
47,1000,280.0,15.244,23,,720,0,3,29,286,0.5032,683.0,0,47000,498.4
48,1000,320.0,4.879,27,,972,0,3,21,479,0.5683,802.9,0,48000,509.9
49,1000,340.0,7.126,26,,993,0,4,32,581,0.459,888.6,0,49000,521.4
50,1000,350.0,6.219,27,,973,0,4,19,488,0.605,759.5,0,50000,534.2
51,1000,340.0,5.252,29,,920,0,3,16,572,0.6202,756.1,0,51000,570.1
52,1000,340.0,-0.429,29,,861,0,3,21,569,0.6068,789.2,0,52000,580.3
53,1000,320.0,3.354,27,,934,0,3,18,654,0.6482,746.4,0,53000,590.6
54,1000,260.0,7.203,24,,981,0,2,16,375,0.6318,699.4,0,54000,602.7
55,1000,280.0,4.85,23,,919,0,3,13,330,0.574,634.9,0,55000,613.8
56,1000,300.0,4.791,25,,988,0,3,17,513,0.567,790.6,0,56000,626.5
57,1000,370.0,15.456,29,,974,0,4,17,273,0.5523,796.9,0,57000,637.6
58,1000,290.0,-7.761,24,,834,0,3,12,859,0.554,775.2,0,58000,648.9
59,1000,340.0,9.735,26,,990,0,4,15,364,0.5747,832.4,0,59000,662.0
60,1000,410.0,6.078,33,,972,0,4,20,520,0.642,912.6,0,60000,673.2
61,1000,410.0,8.634,30,,995,0,5,22,680,0.619,986.6,0,61000,684.1
62,1000,430.0,13.191,32,,939,0,5,23,455,0.6162,894.4,0,62000,696.8
63,1000,330.0,1.295,28,,992,0,3,11,586,0.5847,848.7,0,63000,708.4
64,1000,280.0,8.819,23,,696,0,3,15,592,0.5677,965.5,0,64000,720.4
65,1000,340.0,5.189,29,,932,0,3,18,380,0.652,773.3,0,65000,733.4
