/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=150
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:277: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 49 | 드론6 목적지47 |  424스텝 | 배송 47/47 | 재적재  6 | 중계율 0.10 | complete
Ep 50 | 드론4 목적지72 | 1000스텝 | 배송 44/72 | 재적재  7 | 중계율 0.25 | step_limit
  [홀드아웃] 배송 26.2±13.1 완주 0.08 재적재 3.2 2홉+ 0.70 | 최고 26.2@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지71 | 1000스텝 | 배송 67/71 | 재적재 11 | 중계율 0.17 | step_limit
Ep 52 | 드론5 목적지45 |  693스텝 | 배송 45/45 | 재적재  7 | 중계율 0.10 | complete
Ep 53 | 드론7 목적지64 |  527스텝 | 배송 64/64 | 재적재  9 | 중계율 0.06 | complete
Ep 54 | 드론7 목적지24 |  354스텝 | 배송 24/24 | 재적재  1 | 중계율 0.12 | complete
Ep 55 | 드론7 목적지60 |  645스텝 | 배송 60/60 | 재적재  8 | 중계율 0.14 | complete
Ep 56 | 드론7 목적지20 |  298스텝 | 배송 20/20 | 재적재  0 | 중계율 0.08 | complete
Ep 57 | 드론6 목적지61 |  680스텝 | 배송 61/61 | 재적재  9 | 중계율 0.19 | complete
Ep 58 | 드론6 목적지77 |  710스텝 | 배송 77/77 | 재적재 12 | 중계율 0.13 | complete
Ep 59 | 드론6 목적지40 |  529스텝 | 배송 40/40 | 재적재  5 | 중계율 0.28 | complete
Ep 60 | 드론3 목적지76 |  843스텝 | 배송 17/76 | 재적재  2 | 중계율 0.40 | no_progress
Ep 61 | 드론6 목적지66 |  630스텝 | 배송 66/66 | 재적재  9 | 중계율 0.14 | complete
Ep 62 | 드론6 목적지43 |  447스텝 | 배송 43/43 | 재적재  6 | 중계율 0.06 | complete
Ep 63 | 드론6 목적지57 |  634스텝 | 배송 57/57 | 재적재  7 | 중계율 0.11 | complete
Ep 64 | 드론4 목적지52 | 1000스텝 | 배송 22/52 | 재적재  3 | 중계율 0.26 | step_limit
Ep 65 | 드론6 목적지42 |  484스텝 | 배송 42/42 | 재적재  6 | 중계율 0.07 | complete
Ep 66 | 드론5 목적지41 |  526스텝 | 배송 41/41 | 재적재  5 | 중계율 0.13 | complete
Ep 67 | 드론7 목적지23 |  339스텝 | 배송 23/23 | 재적재  0 | 중계율 0.07 | complete
Ep 68 | 드론6 목적지77 |  664스텝 | 배송 77/77 | 재적재 11 | 중계율 0.07 | complete
Ep 69 | 드론5 목적지48 |  504스텝 | 배송 48/48 | 재적재  7 | 중계율 0.14 | complete
Ep 70 | 드론3 목적지69 | 1000스텝 | 배송 24/69 | 재적재  3 | 중계율 0.25 | step_limit
Ep 71 | 드론6 목적지34 |  347스텝 | 배송 34/34 | 재적재  5 | 중계율 0.08 | complete
Ep 72 | 드론6 목적지61 |  862스텝 | 배송 61/61 | 재적재  9 | 중계율 0.18 | complete
Ep 73 | 드론8 목적지50 |  496스텝 | 배송 50/50 | 재적재  6 | 중계율 0.12 | complete
Ep 74 | 드론4 목적지70 | 1000스텝 | 배송 66/70 | 재적재 12 | 중계율 0.12 | step_limit
Ep 75 | 드론7 목적지21 |  264스텝 | 배송 21/21 | 재적재  0 | 중계율 0.09 | complete
Ep 76 | 드론3 목적지49 | 1000스텝 | 배송 18/49 | 재적재  1 | 중계율 0.36 | step_limit
Ep 77 | 드론4 목적지67 | 1000스텝 | 배송 37/67 | 재적재  5 | 중계율 0.30 | step_limit
Ep 78 | 드론3 목적지34 |  883스텝 | 배송 34/34 | 재적재  6 | 중계율 0.15 | complete
Ep 79 | 드론6 목적지31 |  321스텝 | 배송 31/31 | 재적재  4 | 중계율 0.16 | complete
Ep 80 | 드론4 목적지44 |  655스텝 | 배송 44/44 | 재적재  7 | 중계율 0.12 | complete
Ep 81 | 드론7 목적지71 |  751스텝 | 배송 71/71 | 재적재 10 | 중계율 0.11 | complete
Ep 82 | 드론5 목적지59 |  795스텝 | 배송 59/59 | 재적재  9 | 중계율 0.13 | complete
Ep 83 | 드론7 목적지21 |  190스텝 | 배송 21/21 | 재적재  0 | 중계율 0.12 | complete
Ep 84 | 드론4 목적지41 | 1000스텝 | 배송 39/41 | 재적재  6 | 중계율 0.12 | step_limit
Ep 85 | 드론6 목적지38 |  445스텝 | 배송 38/38 | 재적재  5 | 중계율 0.14 | complete
Ep 86 | 드론6 목적지64 |  682스텝 | 배송 64/64 | 재적재 10 | 중계율 0.10 | complete
Ep 87 | 드론7 목적지24 |  255스텝 | 배송 24/24 | 재적재  1 | 중계율 0.16 | complete
Ep 88 | 드론6 목적지66 |  601스텝 | 배송 66/66 | 재적재 11 | 중계율 0.13 | complete
Ep 89 | 드론8 목적지20 |  176스텝 | 배송 20/20 | 재적재  0 | 중계율 0.16 | complete
Ep 90 | 드론7 목적지37 |  304스텝 | 배송 37/37 | 재적재  4 | 중계율 0.11 | complete
Ep 91 | 드론5 목적지60 |  829스텝 | 배송 60/60 | 재적재 10 | 중계율 0.20 | complete
Ep 92 | 드론3 목적지37 | 1000스텝 | 배송 20/37 | 재적재  3 | 중계율 0.28 | step_limit
Ep 93 | 드론5 목적지27 |  328스텝 | 배송 27/27 | 재적재  3 | 중계율 0.11 | complete
Ep 94 | 드론5 목적지76 |  921스텝 | 배송 76/76 | 재적재 12 | 중계율 0.17 | complete
Ep 95 | 드론6 목적지30 |  352스텝 | 배송 30/30 | 재적재  4 | 중계율 0.16 | complete
Ep 96 | 드론8 목적지34 |  344스텝 | 배송 34/34 | 재적재  1 | 중계율 0.17 | complete
Ep 97 | 드론7 목적지35 |  406스텝 | 배송 35/35 | 재적재  5 | 중계율 0.09 | complete
Ep 98 | 드론6 목적지39 |  421스텝 | 배송 39/39 | 재적재  5 | 중계율 0.12 | complete
Ep 99 | 드론6 목적지69 | 1000스텝 | 배송 61/69 | 재적재  9 | 중계율 0.17 | step_limit
Ep 100 | 드론7 목적지80 |  632스텝 | 배송 80/80 | 재적재 13 | 중계율 0.13 | complete
  [홀드아웃] 배송 35.5±8.2 완주 0.00 재적재 5.2 2홉+ 0.66 | 최고 35.5@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지62 | 1000스텝 | 배송 25/62 | 재적재  3 | 중계율 0.14 | step_limit
Ep 102 | 드론5 목적지30 |  325스텝 | 배송 30/30 | 재적재  3 | 중계율 0.10 | complete
Ep 103 | 드론6 목적지75 |  827스텝 | 배송 75/75 | 재적재 13 | 중계율 0.18 | complete
Ep 104 | 드론4 목적지39 |  605스텝 | 배송 39/39 | 재적재  6 | 중계율 0.18 | complete
Ep 105 | 드론6 목적지24 |  357스텝 | 배송 24/24 | 재적재  2 | 중계율 0.17 | complete
Ep 106 | 드론6 목적지73 |  571스텝 | 배송 73/73 | 재적재 13 | 중계율 0.13 | complete
Ep 107 | 드론6 목적지25 |  291스텝 | 배송 25/25 | 재적재  3 | 중계율 0.14 | complete
Ep 108 | 드론3 목적지69 | 1000스텝 | 배송 25/69 | 재적재  3 | 중계율 0.18 | step_limit
Ep 109 | 드론4 목적지25 |  678스텝 | 배송 25/25 | 재적재  3 | 중계율 0.06 | complete
Ep 110 | 드론4 목적지26 |  963스텝 | 배송 26/26 | 재적재  3 | 중계율 0.20 | complete
Ep 111 | 드론4 목적지21 |  665스텝 | 배송 21/21 | 재적재  2 | 중계율 0.11 | complete
Ep 112 | 드론8 목적지31 |  199스텝 | 배송 31/31 | 재적재  0 | 중계율 0.11 | complete
Ep 113 | 드론5 목적지57 | 1000스텝 | 배송 47/57 | 재적재  7 | 중계율 0.15 | step_limit
Ep 114 | 드론7 목적지64 |  552스텝 | 배송 64/64 | 재적재  9 | 중계율 0.17 | complete
Ep 115 | 드론6 목적지57 |  562스텝 | 배송 57/57 | 재적재  8 | 중계율 0.15 | complete
Ep 116 | 드론4 목적지78 | 1000스텝 | 배송 68/78 | 재적재 12 | 중계율 0.20 | step_limit
Ep 117 | 드론7 목적지76 | 1000스텝 | 배송 67/76 | 재적재 10 | 중계율 0.18 | step_limit
Ep 118 | 드론4 목적지59 |  693스텝 | 배송 59/59 | 재적재 10 | 중계율 0.10 | complete
Ep 119 | 드론5 목적지73 | 1000스텝 | 배송 52/73 | 재적재  8 | 중계율 0.23 | step_limit
Ep 120 | 드론5 목적지68 | 1000스텝 | 배송 62/68 | 재적재 10 | 중계율 0.15 | step_limit
Ep 121 | 드론8 목적지59 |  378스텝 | 배송 59/59 | 재적재  9 | 중계율 0.16 | complete
Ep 122 | 드론7 목적지55 |  379스텝 | 배송 55/55 | 재적재  7 | 중계율 0.12 | complete
Ep 123 | 드론4 목적지22 |  370스텝 | 배송 22/22 | 재적재  2 | 중계율 0.14 | complete
Ep 124 | 드론3 목적지57 | 1000스텝 | 배송 47/57 | 재적재  9 | 중계율 0.15 | step_limit
Ep 125 | 드론3 목적지29 | 1000스텝 | 배송 15/29 | 재적재  1 | 중계율 0.08 | step_limit
Ep 126 | 드론8 목적지80 |  531스텝 | 배송 80/80 | 재적재 12 | 중계율 0.17 | complete
Ep 127 | 드론7 목적지23 |  209스텝 | 배송 23/23 | 재적재  1 | 중계율 0.17 | complete
Ep 128 | 드론5 목적지75 | 1000스텝 | 배송 50/75 | 재적재  6 | 중계율 0.13 | step_limit
Ep 129 | 드론6 목적지31 |  578스텝 | 배송 31/31 | 재적재  5 | 중계율 0.17 | complete
Ep 130 | 드론6 목적지26 |  238스텝 | 배송 26/26 | 재적재  3 | 중계율 0.11 | complete
Ep 131 | 드론7 목적지57 |  454스텝 | 배송 57/57 | 재적재  8 | 중계율 0.11 | complete
Ep 132 | 드론5 목적지51 | 1000스텝 | 배송 48/51 | 재적재  7 | 중계율 0.15 | step_limit
Ep 133 | 드론8 목적지36 |  263스텝 | 배송 36/36 | 재적재  2 | 중계율 0.13 | complete
Ep 134 | 드론6 목적지49 |  522스텝 | 배송 49/49 | 재적재  8 | 중계율 0.16 | complete
Ep 135 | 드론5 목적지56 | 1000스텝 | 배송 40/56 | 재적재  5 | 중계율 0.11 | step_limit
Ep 136 | 드론4 목적지38 | 1000스텝 | 배송 37/38 | 재적재  5 | 중계율 0.19 | step_limit
Ep 137 | 드론8 목적지37 |  298스텝 | 배송 37/37 | 재적재  3 | 중계율 0.11 | complete
Ep 138 | 드론6 목적지68 | 1000스텝 | 배송 62/68 | 재적재  9 | 중계율 0.11 | step_limit
Ep 139 | 드론3 목적지63 | 1000스텝 | 배송 45/63 | 재적재  8 | 중계율 0.10 | step_limit
Ep 140 | 드론7 목적지64 |  467스텝 | 배송 64/64 | 재적재  9 | 중계율 0.16 | complete
Ep 141 | 드론5 목적지48 |  563스텝 | 배송 48/48 | 재적재  7 | 중계율 0.19 | complete
Ep 142 | 드론7 목적지69 |  598스텝 | 배송 69/69 | 재적재 11 | 중계율 0.15 | complete
Ep 143 | 드론3 목적지58 | 1000스텝 | 배송 42/58 | 재적재  7 | 중계율 0.11 | step_limit
Ep 144 | 드론8 목적지55 |  514스텝 | 배송 55/55 | 재적재  8 | 중계율 0.15 | complete
Ep 145 | 드론3 목적지39 | 1000스텝 | 배송 17/39 | 재적재  1 | 중계율 0.12 | step_limit
Ep 146 | 드론4 목적지60 |  720스텝 | 배송 60/60 | 재적재 11 | 중계율 0.17 | complete
Ep 147 | 드론4 목적지44 | 1000스텝 | 배송 31/44 | 재적재  4 | 중계율 0.07 | step_limit
Ep 148 | 드론8 목적지50 |  406스텝 | 배송 50/50 | 재적재  7 | 중계율 0.20 | complete
Ep 149 | 드론3 목적지36 | 1000스텝 | 배송 14/36 | 재적재  1 | 중계율 0.05 | step_limit
Ep 150 | 드론6 목적지78 |  913스텝 | 배송 78/78 | 재적재 13 | 중계율 0.19 | complete
  [홀드아웃] 배송 27.8±10.9 완주 0.00 재적재 3.7 2홉+ 0.65 | 최고 35.5@ep100 정체 1/15
Ep 151 | 드론4 목적지64 |  554스텝 | 배송 64/64 | 재적재 11 | 중계율 0.09 | complete
Ep 152 | 드론8 목적지21 |  157스텝 | 배송 21/21 | 재적재  0 | 중계율 0.07 | complete
Ep 153 | 드론6 목적지76 | 1000스텝 | 배송 71/76 | 재적재 12 | 중계율 0.14 | step_limit
Ep 154 | 드론3 목적지40 | 1000스텝 | 배송 29/40 | 재적재  5 | 중계율 0.13 | step_limit
Ep 155 | 드론5 목적지64 |  738스텝 | 배송 64/64 | 재적재 10 | 중계율 0.12 | complete
Ep 156 | 드론6 목적지50 |  795스텝 | 배송 50/50 | 재적재  7 | 중계율 0.16 | complete
Ep 157 | 드론4 목적지56 |  788스텝 | 배송 56/56 | 재적재  9 | 중계율 0.16 | complete
Ep 158 | 드론8 목적지67 |  544스텝 | 배송 67/67 | 재적재 11 | 중계율 0.10 | complete
Ep 159 | 드론6 목적지78 |  541스텝 | 배송 78/78 | 재적재 14 | 중계율 0.14 | complete
Ep 160 | 드론7 목적지23 |  407스텝 | 배송 23/23 | 재적재  0 | 중계율 0.14 | complete
Ep 161 | 드론8 목적지73 |  572스텝 | 배송 73/73 | 재적재 12 | 중계율 0.17 | complete
Ep 162 | 드론5 목적지49 |  547스텝 | 배송 49/49 | 재적재  7 | 중계율 0.11 | complete
Ep 163 | 드론7 목적지36 |  362스텝 | 배송 36/36 | 재적재  4 | 중계율 0.09 | complete
Ep 164 | 드론7 목적지54 |  689스텝 | 배송 54/54 | 재적재  7 | 중계율 0.16 | complete
Ep 165 | 드론8 목적지47 |  420스텝 | 배송 47/47 | 재적재  5 | 중계율 0.11 | complete
Ep 166 | 드론6 목적지63 |  708스텝 | 배송 63/63 | 재적재  9 | 중계율 0.10 | complete
Ep 167 | 드론6 목적지38 |  560스텝 | 배송 38/38 | 재적재  5 | 중계율 0.13 | complete
Ep 168 | 드론6 목적지44 |  557스텝 | 배송 44/44 | 재적재  5 | 중계율 0.12 | complete
Ep 169 | 드론7 목적지45 |  431스텝 | 배송 45/45 | 재적재  7 | 중계율 0.16 | complete
Ep 170 | 드론5 목적지78 | 1000스텝 | 배송 76/78 | 재적재 13 | 중계율 0.11 | step_limit
Ep 171 | 드론7 목적지34 |  667스텝 | 배송 34/34 | 재적재  3 | 중계율 0.12 | complete
Ep 172 | 드론4 목적지48 | 1000스텝 | 배송 41/48 | 재적재  7 | 중계율 0.12 | step_limit
Ep 173 | 드론4 목적지64 | 1000스텝 | 배송 27/64 | 재적재  4 | 중계율 0.13 | step_limit
Ep 174 | 드론7 목적지38 |  325스텝 | 배송 38/38 | 재적재  6 | 중계율 0.12 | complete
Ep 175 | 드론4 목적지56 | 1000스텝 | 배송 39/56 | 재적재  6 | 중계율 0.11 | step_limit
Ep 176 | 드론4 목적지68 | 1000스텝 | 배송 21/68 | 재적재  3 | 중계율 0.11 | step_limit
Ep 177 | 드론7 목적지74 |  536스텝 | 배송 74/74 | 재적재 11 | 중계율 0.15 | complete
Ep 178 | 드론7 목적지37 |  365스텝 | 배송 37/37 | 재적재  6 | 중계율 0.15 | complete
Ep 179 | 드론7 목적지48 |  370스텝 | 배송 48/48 | 재적재  7 | 중계율 0.13 | complete
Ep 180 | 드론4 목적지61 | 1000스텝 | 배송 49/61 | 재적재  8 | 중계율 0.14 | step_limit
Ep 181 | 드론3 목적지80 | 1000스텝 | 배송 28/80 | 재적재  4 | 중계율 0.21 | step_limit
Ep 182 | 드론6 목적지31 |  364스텝 | 배송 31/31 | 재적재  4 | 중계율 0.14 | complete
Ep 183 | 드론5 목적지53 |  984스텝 | 배송 53/53 | 재적재  9 | 중계율 0.15 | complete
Ep 184 | 드론5 목적지64 | 1000스텝 | 배송 48/64 | 재적재  7 | 중계율 0.11 | step_limit
Ep 185 | 드론4 목적지49 | 1000스텝 | 배송 45/49 | 재적재  7 | 중계율 0.12 | step_limit
Ep 186 | 드론7 목적지47 |  533스텝 | 배송 47/47 | 재적재  7 | 중계율 0.12 | complete
Ep 187 | 드론6 목적지59 |  972스텝 | 배송 59/59 | 재적재  9 | 중계율 0.21 | complete
Ep 188 | 드론3 목적지33 | 1000스텝 | 배송 14/33 | 재적재  2 | 중계율 0.04 | step_limit
Ep 189 | 드론7 목적지35 |  354스텝 | 배송 35/35 | 재적재  4 | 중계율 0.11 | complete
Ep 190 | 드론3 목적지30 | 1000스텝 | 배송 21/30 | 재적재  3 | 중계율 0.15 | step_limit
Ep 191 | 드론4 목적지70 | 1000스텝 | 배송 56/70 | 재적재  9 | 중계율 0.16 | step_limit
Ep 192 | 드론6 목적지36 |  319스텝 | 배송 36/36 | 재적재  3 | 중계율 0.16 | complete
Ep 193 | 드론4 목적지54 | 1000스텝 | 배송 34/54 | 재적재  5 | 중계율 0.16 | step_limit
Ep 194 | 드론5 목적지76 | 1000스텝 | 배송 56/76 | 재적재  9 | 중계율 0.10 | step_limit
Ep 195 | 드론7 목적지74 |  643스텝 | 배송 74/74 | 재적재 13 | 중계율 0.18 | complete
Ep 196 | 드론7 목적지70 |  603스텝 | 배송 70/70 | 재적재 11 | 중계율 0.19 | complete
Ep 197 | 드론5 목적지34 |  449스텝 | 배송 34/34 | 재적재  5 | 중계율 0.11 | complete
Ep 198 | 드론3 목적지33 | 1000스텝 | 배송 17/33 | 재적재  2 | 중계율 0.11 | step_limit
Ep 199 | 드론8 목적지46 |  355스텝 | 배송 46/46 | 재적재  5 | 중계율 0.12 | complete
Ep 200 | 드론8 목적지42 |  367스텝 | 배송 42/42 | 재적재  5 | 중계율 0.12 | complete
  [홀드아웃] 배송 28.0±7.9 완주 0.00 재적재 3.4 2홉+ 0.67 | 최고 35.5@ep100 정체 2/15
Ep 201 | 드론7 목적지51 |  473스텝 | 배송 51/51 | 재적재  6 | 중계율 0.16 | complete
Ep 202 | 드론6 목적지32 |  546스텝 | 배송 32/32 | 재적재  5 | 중계율 0.14 | complete
