/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=150
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:277: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 49 | 드론8 목적지78 |  477스텝 | 배송 78/78 | 재적재 14 | 중계율 0.12 | complete
Ep 50 | 드론7 목적지40 |  597스텝 | 배송 40/40 | 재적재  4 | 중계율 0.28 | complete
  [홀드아웃] 배송 37.8±9.8 완주 0.08 재적재 5.6 2홉+ 0.62 | 최고 37.8@ep50 정체 0/15  ← 갱신
Ep 51 | 드론8 목적지51 |  282스텝 | 배송 51/51 | 재적재  8 | 중계율 0.11 | complete
Ep 52 | 드론3 목적지42 |  714스텝 | 배송 19/42 | 재적재  2 | 중계율 0.24 | no_progress
Ep 53 | 드론8 목적지60 |  422스텝 | 배송 60/60 | 재적재  9 | 중계율 0.14 | complete
Ep 54 | 드론4 목적지49 |  582스텝 | 배송 49/49 | 재적재  7 | 중계율 0.17 | complete
Ep 55 | 드론5 목적지40 |  571스텝 | 배송 40/40 | 재적재  6 | 중계율 0.12 | complete
Ep 56 | 드론6 목적지61 |  785스텝 | 배송 61/61 | 재적재 11 | 중계율 0.17 | complete
Ep 57 | 드론3 목적지53 | 1000스텝 | 배송 31/53 | 재적재  5 | 중계율 0.18 | step_limit
Ep 58 | 드론8 목적지57 |  357스텝 | 배송 57/57 | 재적재  8 | 중계율 0.13 | complete
Ep 59 | 드론3 목적지50 | 1000스텝 | 배송 44/50 | 재적재  7 | 중계율 0.18 | step_limit
Ep 60 | 드론5 목적지21 |  268스텝 | 배송 21/21 | 재적재  1 | 중계율 0.19 | complete
Ep 61 | 드론7 목적지26 |  205스텝 | 배송 26/26 | 재적재  2 | 중계율 0.11 | complete
Ep 62 | 드론7 목적지55 |  506스텝 | 배송 55/55 | 재적재  9 | 중계율 0.14 | complete
Ep 63 | 드론7 목적지68 |  598스텝 | 배송 68/68 | 재적재 11 | 중계율 0.15 | complete
Ep 64 | 드론3 목적지41 | 1000스텝 | 배송 34/41 | 재적재  5 | 중계율 0.21 | step_limit
Ep 65 | 드론6 목적지68 |  452스텝 | 배송 68/68 | 재적재 11 | 중계율 0.10 | complete
Ep 66 | 드론3 목적지61 | 1000스텝 | 배송 49/61 | 재적재  9 | 중계율 0.07 | step_limit
Ep 67 | 드론3 목적지53 | 1000스텝 | 배송 36/53 | 재적재  6 | 중계율 0.10 | step_limit
Ep 68 | 드론4 목적지44 |  516스텝 | 배송 44/44 | 재적재  7 | 중계율 0.11 | complete
Ep 69 | 드론5 목적지34 |  391스텝 | 배송 34/34 | 재적재  4 | 중계율 0.14 | complete
Ep 70 | 드론5 목적지31 | 1000스텝 | 배송 26/31 | 재적재  3 | 중계율 0.18 | step_limit
Ep 71 | 드론7 목적지71 |  544스텝 | 배송 71/71 | 재적재 13 | 중계율 0.11 | complete
Ep 72 | 드론3 목적지53 | 1000스텝 | 배송 35/53 | 재적재  6 | 중계율 0.13 | step_limit
Ep 73 | 드론4 목적지21 | 1000스텝 | 배송 18/21 | 재적재  2 | 중계율 0.18 | step_limit
Ep 74 | 드론7 목적지45 |  284스텝 | 배송 45/45 | 재적재  6 | 중계율 0.16 | complete
Ep 75 | 드론6 목적지40 |  409스텝 | 배송 40/40 | 재적재  6 | 중계율 0.18 | complete
Ep 76 | 드론5 목적지75 | 1000스텝 | 배송 50/75 | 재적재  9 | 중계율 0.25 | step_limit
Ep 77 | 드론6 목적지24 |  178스텝 | 배송 24/24 | 재적재  0 | 중계율 0.15 | complete
Ep 78 | 드론5 목적지64 |  874스텝 | 배송 64/64 | 재적재 10 | 중계율 0.21 | complete
Ep 79 | 드론3 목적지41 | 1000스텝 | 배송 28/41 | 재적재  3 | 중계율 0.15 | step_limit
Ep 80 | 드론3 목적지69 | 1000스텝 | 배송 47/69 | 재적재  8 | 중계율 0.13 | step_limit
Ep 81 | 드론7 목적지47 |  318스텝 | 배송 47/47 | 재적재  7 | 중계율 0.14 | complete
Ep 82 | 드론8 목적지69 |  532스텝 | 배송 69/69 | 재적재 11 | 중계율 0.16 | complete
Ep 83 | 드론6 목적지31 |  492스텝 | 배송 31/31 | 재적재  3 | 중계율 0.17 | complete
Ep 84 | 드론4 목적지33 |  815스텝 | 배송 33/33 | 재적재  5 | 중계율 0.18 | complete
Ep 85 | 드론5 목적지38 |  401스텝 | 배송 38/38 | 재적재  5 | 중계율 0.15 | complete
Ep 86 | 드론8 목적지24 |  168스텝 | 배송 24/24 | 재적재  0 | 중계율 0.13 | complete
Ep 87 | 드론3 목적지30 | 1000스텝 | 배송 25/30 | 재적재  3 | 중계율 0.10 | step_limit
Ep 88 | 드론5 목적지38 | 1000스텝 | 배송 29/38 | 재적재  3 | 중계율 0.15 | step_limit
Ep 89 | 드론4 목적지57 | 1000스텝 | 배송 34/57 | 재적재  4 | 중계율 0.21 | step_limit
Ep 90 | 드론7 목적지21 |  208스텝 | 배송 21/21 | 재적재  0 | 중계율 0.19 | complete
Ep 91 | 드론8 목적지77 |  604스텝 | 배송 77/77 | 재적재 12 | 중계율 0.16 | complete
Ep 92 | 드론5 목적지69 | 1000스텝 | 배송 50/69 | 재적재  8 | 중계율 0.17 | step_limit
Ep 93 | 드론8 목적지60 |  309스텝 | 배송 60/60 | 재적재  9 | 중계율 0.14 | complete
Ep 94 | 드론7 목적지45 |  352스텝 | 배송 45/45 | 재적재  6 | 중계율 0.13 | complete
Ep 95 | 드론5 목적지71 | 1000스텝 | 배송 46/71 | 재적재  8 | 중계율 0.15 | step_limit
Ep 96 | 드론3 목적지74 | 1000스텝 | 배송 48/74 | 재적재  8 | 중계율 0.12 | step_limit
Ep 97 | 드론8 목적지47 |  371스텝 | 배송 47/47 | 재적재  7 | 중계율 0.13 | complete
Ep 98 | 드론8 목적지50 |  426스텝 | 배송 50/50 | 재적재  7 | 중계율 0.19 | complete
Ep 99 | 드론7 목적지35 |  232스텝 | 배송 35/35 | 재적재  4 | 중계율 0.12 | complete
Ep 100 | 드론4 목적지40 | 1000스텝 | 배송 33/40 | 재적재  4 | 중계율 0.20 | step_limit
  [홀드아웃] 배송 33.8±11.0 완주 0.08 재적재 4.8 2홉+ 0.63 | 최고 37.8@ep50 정체 1/15
Ep 101 | 드론3 목적지23 |  577스텝 | 배송 23/23 | 재적재  3 | 중계율 0.13 | complete
Ep 102 | 드론3 목적지21 |  978스텝 | 배송 21/21 | 재적재  3 | 중계율 0.10 | complete
Ep 103 | 드론8 목적지72 |  458스텝 | 배송 72/72 | 재적재 12 | 중계율 0.13 | complete
Ep 104 | 드론3 목적지27 | 1000스텝 | 배송 16/27 | 재적재  2 | 중계율 0.09 | step_limit
Ep 105 | 드론5 목적지63 | 1000스텝 | 배송 61/63 | 재적재 10 | 중계율 0.17 | step_limit
Ep 106 | 드론6 목적지58 |  532스텝 | 배송 58/58 | 재적재  9 | 중계율 0.13 | complete
Ep 107 | 드론7 목적지75 |  920스텝 | 배송 75/75 | 재적재 11 | 중계율 0.21 | complete
Ep 108 | 드론5 목적지55 | 1000스텝 | 배송 42/55 | 재적재  7 | 중계율 0.22 | step_limit
Ep 109 | 드론6 목적지64 |  677스텝 | 배송 64/64 | 재적재  8 | 중계율 0.11 | complete
Ep 110 | 드론5 목적지55 |  826스텝 | 배송 55/55 | 재적재  8 | 중계율 0.18 | complete
Ep 111 | 드론6 목적지67 |  923스텝 | 배송 67/67 | 재적재 10 | 중계율 0.18 | complete
Ep 112 | 드론4 목적지46 | 1000스텝 | 배송 36/46 | 재적재  5 | 중계율 0.11 | step_limit
Ep 113 | 드론6 목적지43 |  439스텝 | 배송 43/43 | 재적재  7 | 중계율 0.17 | complete
Ep 114 | 드론4 목적지80 | 1000스텝 | 배송 58/80 | 재적재 11 | 중계율 0.18 | step_limit
Ep 115 | 드론7 목적지78 |  634스텝 | 배송 78/78 | 재적재 14 | 중계율 0.17 | complete
Ep 116 | 드론7 목적지72 |  453스텝 | 배송 72/72 | 재적재 11 | 중계율 0.16 | complete
Ep 117 | 드론4 목적지54 | 1000스텝 | 배송 43/54 | 재적재  8 | 중계율 0.16 | step_limit
Ep 118 | 드론3 목적지63 | 1000스텝 | 배송 35/63 | 재적재  5 | 중계율 0.13 | step_limit
Ep 119 | 드론7 목적지66 |  645스텝 | 배송 66/66 | 재적재 10 | 중계율 0.14 | complete
Ep 120 | 드론7 목적지70 |  715스텝 | 배송 70/70 | 재적재 12 | 중계율 0.17 | complete
Ep 121 | 드론7 목적지45 |  576스텝 | 배송 45/45 | 재적재  4 | 중계율 0.13 | complete
Ep 122 | 드론6 목적지26 |  440스텝 | 배송 26/26 | 재적재  2 | 중계율 0.17 | complete
Ep 123 | 드론8 목적지30 |  401스텝 | 배송 30/30 | 재적재  2 | 중계율 0.16 | complete
Ep 124 | 드론3 목적지80 | 1000스텝 | 배송 40/80 | 재적재  6 | 중계율 0.17 | step_limit
Ep 125 | 드론8 목적지41 |  345스텝 | 배송 41/41 | 재적재  5 | 중계율 0.13 | complete
Ep 126 | 드론5 목적지50 | 1000스텝 | 배송 39/50 | 재적재  6 | 중계율 0.16 | step_limit
Ep 127 | 드론5 목적지37 | 1000스텝 | 배송 31/37 | 재적재  3 | 중계율 0.14 | step_limit
Ep 128 | 드론3 목적지42 | 1000스텝 | 배송 30/42 | 재적재  3 | 중계율 0.13 | step_limit
Ep 129 | 드론7 목적지52 |  487스텝 | 배송 52/52 | 재적재  7 | 중계율 0.18 | complete
Ep 130 | 드론3 목적지40 | 1000스텝 | 배송 22/40 | 재적재  2 | 중계율 0.08 | step_limit
Ep 131 | 드론5 목적지39 |  649스텝 | 배송 39/39 | 재적재  6 | 중계율 0.15 | complete
Ep 132 | 드론8 목적지63 |  417스텝 | 배송 63/63 | 재적재  9 | 중계율 0.11 | complete
Ep 133 | 드론5 목적지61 | 1000스텝 | 배송 51/61 | 재적재  8 | 중계율 0.18 | step_limit
