/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=150 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 36 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.69 교착최장 166 | step_limit
Ep 37 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.66 교착최장 119 | step_limit
Ep 38 |  1000스텝 | 배송 41/50 | 재적재  5 | 정지 0.62 교착최장 143 | step_limit
Ep 39 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.78 교착최장 387 | step_limit
Ep 40 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.70 교착최장 162 | step_limit
Ep 41 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.73 교착최장 133 | step_limit
Ep 42 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.67 교착최장 264 | step_limit
Ep 43 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.69 교착최장 273 | step_limit
Ep 44 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.75 교착최장 144 | step_limit
Ep 45 |  1000스텝 | 배송 20/50 | 재적재  3 | 정지 0.78 교착최장 271 | step_limit
Ep 46 |  1000스텝 | 배송 18/50 | 재적재  0 | 정지 0.80 교착최장 133 | step_limit
Ep 47 |  1000스텝 | 배송 14/50 | 재적재  0 | 정지 0.92 교착최장 630 | step_limit
Ep 48 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.70 교착최장 178 | step_limit
Ep 49 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.77 교착최장 148 | step_limit
Ep 50 |  1000스텝 | 배송 15/50 | 재적재  0 | 정지 0.86 교착최장 314 | step_limit
  [홀드아웃] 배송 26.2±7.9 재적재 3.4 2홉+ 0.66 | 최고 26.2@ep50 정체 0/15  ← 갱신
Ep 51 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.73 교착최장 140 | step_limit
Ep 52 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.72 교착최장  96 | step_limit
Ep 53 |  1000스텝 | 배송 29/50 | 재적재  5 | 정지 0.63 교착최장 135 | step_limit
Ep 54 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.62 교착최장 112 | step_limit
Ep 55 |  1000스텝 | 배송 15/50 | 재적재  0 | 정지 0.86 교착최장 173 | step_limit
Ep 56 |  1000스텝 | 배송 25/50 | 재적재  5 | 정지 0.67 교착최장 151 | step_limit
Ep 57 |  1000스텝 | 배송 23/50 | 재적재  4 | 정지 0.70 교착최장 281 | step_limit
Ep 58 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.76 교착최장 150 | step_limit
Ep 59 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.76 교착최장 247 | step_limit
Ep 60 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.73 교착최장 174 | step_limit
