episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,is_best,wall_sec
50,36.1667,8.153,5.6667,0.6214,821.0598,0.0,1,1179.0
100,30.0,8.5342,3.8333,0.6175,886.6868,0.0,0,2549.8
150,28.25,7.0015,3.3333,0.6394,899.5734,0.0,0,3911.0
200,27.5833,10.0205,3.4167,0.6672,901.0578,0.0,0,5275.2
250,28.8333,6.7309,3.6667,0.6607,899.9268,0.0,0,6638.8
