/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_e1_alpha
설정: relay_w=0.0 alpha_min=0.05 relay_credit=False n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 44 | Step 1000 | R   125.37 | 배송 17/50 | 미활동 0 | 2홉+ 0.65 | 도달  969 | 차단 1409
Ep 45 | Step 1000 | R   154.10 | 배송 19/50 | 미활동 0 | 2홉+ 0.60 | 도달  965 | 차단  529
Ep 46 | Step 1000 | R   122.85 | 배송 15/50 | 미활동 0 | 2홉+ 0.56 | 도달  816 | 차단  609
Ep 47 | Step 1000 | R   155.06 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달 1018 | 차단  517
Ep 48 | Step 1000 | R   163.75 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달 1050 | 차단  600
Ep 49 | Step 1000 | R   119.67 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달 1069 | 차단  287
Ep 50 | Step 1000 | R   143.08 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달 1037 | 차단 1072
  [홀드아웃] 배송 15.8±2.2 미활동 0.00 2홉+ 0.63 도달 985 | 최고 15.8@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R   121.09 | 배송 15/50 | 미활동 0 | 2홉+ 0.67 | 도달 1051 | 차단  307
Ep 52 | Step 1000 | R   153.74 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단   70
Ep 53 | Step 1000 | R   128.86 | 배송 17/50 | 미활동 0 | 2홉+ 0.67 | 도달 1070 | 차단  267
Ep 54 | Step 1000 | R   164.82 | 배송 19/50 | 미활동 0 | 2홉+ 0.58 | 도달 1074 | 차단  816
Ep 55 | Step 1000 | R   143.34 | 배송 18/50 | 미활동 0 | 2홉+ 0.64 | 도달  967 | 차단  809
Ep 56 | Step 1000 | R   169.70 | 배송 19/50 | 미활동 0 | 2홉+ 0.69 | 도달  871 | 차단  323
Ep 57 | Step 1000 | R   125.35 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달 1056 | 차단  157
Ep 58 | Step 1000 | R   125.17 | 배송 15/50 | 미활동 0 | 2홉+ 0.65 | 도달  992 | 차단  624
