episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,is_best,wall_sec
50,44.3333,3.0912,7.3333,0.6097,886.3453,0.0833,1,1241.2
100,44.25,3.9817,7.1667,0.6163,894.5644,0.1667,0,2623.6
150,46.9167,2.5967,8.3333,0.6106,907.1463,0.1667,1,4006.9
200,46.0833,3.4268,7.5833,0.6151,906.3013,0.1667,0,5371.2
250,47.3333,2.357,8.0,0.6168,918.4133,0.25,1,6737.3
300,46.25,2.8025,7.9167,0.6167,905.8906,0.1667,0,8121.6
350,46.6667,2.7487,8.0833,0.6113,912.6268,0.3333,0,9470.5
400,46.0,2.5166,7.75,0.5967,898.4643,0.1667,0,10814.5
450,47.9167,2.019,8.25,0.6203,916.8291,0.4167,1,12176.7
500,46.75,2.4537,8.1667,0.6065,906.2758,0.1667,0,13535.5
550,47.1667,1.993,7.9167,0.6099,923.4014,0.25,0,14763.5
600,48.0833,2.7221,8.1667,0.6088,924.2657,0.5833,1,16114.7
650,48.5833,1.9347,8.3333,0.6255,924.3776,0.4167,1,17446.6
700,48.9167,1.1873,8.1667,0.6347,926.2169,0.5,1,18637.6
750,49.25,1.1637,8.3333,0.6075,922.35,0.6667,1,19794.3
800,47.8333,2.3034,8.3333,0.6158,910.0802,0.3333,0,20953.6
850,47.5833,2.5644,8.0,0.618,917.5325,0.3333,0,22123.8
900,47.8333,3.9335,7.9167,0.5963,920.1945,0.5,0,23281.5
950,48.0833,1.6562,8.25,0.6184,914.4937,0.1667,0,24449.3
1000,47.0833,2.431,8.0,0.6275,903.1712,0.1667,0,25433.7
1050,47.5,2.7538,8.1667,0.6146,904.2473,0.5,0,26355.1
1100,47.8333,2.075,7.9167,0.6254,917.8411,0.4167,0,27289.9
1150,48.5,2.2546,8.3333,0.6156,921.7776,0.5833,0,27977.2
1200,48.4167,1.3202,8.3333,0.6191,912.3207,0.25,0,28652.0
1250,47.9167,2.5317,8.5,0.6233,922.4836,0.3333,0,29322.1
1300,48.25,3.0856,8.0,0.6105,923.1805,0.5833,0,30009.2
1350,48.25,1.8764,8.5,0.6082,919.3623,0.4167,0,30681.0
1400,49.3333,1.1785,8.3333,0.621,922.5551,0.6667,1,31352.3
1450,49.1667,1.2802,8.5833,0.626,925.81,0.6667,0,32019.4
1500,48.5833,1.8465,8.1667,0.6246,921.2285,0.5,0,32565.3
